* ユニット図鑑/501〜1000 [#ffbcea7f]

- ステータスの数値はLv1のもので、ユニット図鑑から確認できます。
-- ステータスは予告なく変更される可能性もあります。
-- 一部では計算によって算出しています。
- スキル欄の()内は習得Lvを表しています。ユニット図鑑で表示されるスキルはLv1のもの。
- テーブル(表)のヘッダから並び替えが可能です。
- 各ユニットのストーリーは「[[ストーリー]]」のページヘ。
- (編集者へ) ローマ数字が一文字になった記号は文字化けの可能性があるので使用を避けること。代わりにアルファベットの「I」や「V」を使うこと。

:&color(black,#eeeeee){ショートカット類};|
No.[[501>#no501]] - [[551>#no551]] - [[601>#no601]] - [[651>#no651]] - [[701>#no701]] - [[751>#no751]] - [[801>#no801]]- [[851>#no851]]
No.001〜500 > [[ユニット図鑑]]

#sortabletable(sort=Number|String|Number|String|String|String|Number|Number|Number|Number|Number|Number|String|String|String){{
|~No.|~名称|~★|~武|~主&br;属|~副&br;属|~HP|~攻撃|~回復|~進化pt|~最大Lv|~必要&br;進化pt|~パーティスキル|~アクティブスキル|~パネルスキル|h
|541|[鋼王]葉空すみれ|6|剣|BGCOLOR(#bba6f1):闇|-|3000|2150|1300|60|80|-|パネル・ヒーラー?(?)|ハート・コール?(?)|-|
|542|[手術王]オズワルド|5|槍|BGCOLOR(#f1f1a6):光|-|1200|1850|700|50|50|800|ソウル・サイエンスI(1)|ホーリー・カーズI(1)|-|
|543|[執刀王]オズワルド|6|槍|BGCOLOR(#f1f1a6):光|-|1700|2500|1000|60|80|-|ソウル・サイエンスII(?)|ホーリー・カーズIII(?)|-|
|544|[狩猟王]ヴィクター|5|弓|BGCOLOR(#f1bba6):火|-|1700|1650|800|50|50|800|ドラゴン・スレイヤーI(1)|ドラゴン・バインドI(1)|-|
|545|[狩竜王]ヴィクター|6|弓|BGCOLOR(#f1bba6):火|-|2200|2150|1100|60|80|-|ドラゴン・スレイヤー?(?)|ドラゴン・バインド?(?)|-|
|546|[滋王]イザナミ|5|杖|BGCOLOR(#a6f1f1):水|-||||50|50|800|ダブル・ブラスト?(?)|メタモルフォーゼ(1)|-|
|547|[艶王]イザナミ|6|杖|BGCOLOR(#a6f1f1):水|-|1500|2350|2150|60|80|-|ダブル・ブラストIV(1)|メタモル・フォーゼ(1)|-|
|548|[音王]ポルン|5|槍|BGCOLOR(#f1f1a6):光|-|1000|1800|900|50|50|800|クイック・ブラストI(1)|-|生命の祈り(1)|
|549|[音楽王]ポルン|6|槍|BGCOLOR(#f1f1a6):光|-|1600|2450|1350|60|80|-|クイック・ブラストIV(1)|-|生命の祈り(1)|
|550|[断王]ゾルス|5|剣|BGCOLOR(#f1bba6):火|-|2450|1450|300|50|50|800|アサルト・サポート(1)|-|四属の舞(1)|
//
|&aname(no551);551|[断罪王]ゾルス|6|剣|BGCOLOR(#f1bba6):火|-|3000|2150|700|60|80|-|アサルト・チャージ(1)|-|四属の舞(1)|
|552|[囚王]リドー|5|弓|BGCOLOR(#a6f1f1):水|-|1650|1600|1100|50|50|800|フレイム・ドレインI(1)|-|魂の召喚(1)|
|553|[囚水王]リドー|6|弓|BGCOLOR(#a6f1f1):水|-|2150|2000|1400|60|80|-|フレイム・ドレインII(1)|-|魂の召喚(1)|
|554|[あくじきおう]くてゅる|5|剣|BGCOLOR(#a6f1f1):水|-|2200|1500|700|50|99|-|ライフ・サポート(1)&br;ライフ・アップ(?)&br;ライフ・チャージ(?)&br;ライフ・バースト(?)&br;ライフ・マスター(?)&br;ライフ・マスター+(?)&br;|-|亜人の威嚇(1)|
|555|リィン・シュバルツァー|6|剣|BGCOLOR(#f1bba6):火|-|2300|1350|600|5|99|-|弧影斬(1)|紅葉切り(1)|-|
|556|アリサ・ラインフォルト|6|弓|BGCOLOR(#f1bba6):火|-|1500|1200|1300|5|99|-|フランベルジュ(1)|メルトレイン(1)|-|
|557|ラウラ･Ｓ･アルゼイド|6|剣|BGCOLOR(#a6f1f1):水|-|2200|1450|600|5|99|-|鉄砕刃(1)|奥義・洸刃乱舞(1)|-|
|558|ユーシス・アルバレア|6|剣|BGCOLOR(#f1f1a6):光|-|2250|1300|700|5|99|-|クイック・スラスト(1)|クリスタルセイバー(1)|-|
|559|フィー・クラウゼル|6|剣|BGCOLOR(#bba6f1):闇|-|2100|1400|750|5|99|-|リミット・サイクロン(1)|クロノ・バースト(1)|-|
|560|エリゼ・シュバルツァー|6|剣|BGCOLOR(#f1f1a6):光|-|2100|1350|950|5|99|-|ホーリースコール(1)|秘剣・鳳仙花(1)|-|
|561|サラ・バレスタイン|6|剣|BGCOLOR(#f1bba6):火|-|2250|1400|700|5|99|-|雷神攻(1)|鳴神(1)|-|
|562|[東将]セト|5|剣|BGCOLOR(#f1f1a6):光|-|2300|1500|600|50|50|800|リンクソード・ヒールI(1)|ツイン・ブレイドI(1)|-|
|563|[陽将]セト|6|剣|BGCOLOR(#f1f1a6):光|-|3100|2200|1000|60|80|-|リンクソード・ヒールIII(1)|ツイン・ブレイドIII(1)|-|
|564|[西将]イシス|5|杖|BGCOLOR(#bba6f1):闇|-|1300|1550|1400|50|50|800|リンクメイジ・ヒールI(1)|パネル・コピー(1)|-|
|565|[月将]イシス|6|杖|BGCOLOR(#bba6f1):闇|-|1700|2350|2000|60|80|-|リンクメイジ・ヒールIII(1)|パネル・コピー(1)|-|
|566|[犬王]ジェット|5|剣|BGCOLOR(#f1bba6):火|-|2150|1450|950|50|50|800|ダブル・ブラストI(1)&br;ダブル・ブラストII(?)&br;|-|吸収の一撃(1)|
|567|[狼王]ジェット|6|剣|BGCOLOR(#f1bba6):火|-|2950|2150|1400|60|80|-|ダブル・ブラストVI(60)|-|吸収の一撃(1)|
|568|[航王]ククル|5|弓|BGCOLOR(#a6f1f1):水|-|1550|1600|950|50|50|800|クロス・カウンターI(1)|-|一閃(1)|
|569|[航海王]ククル|6|弓|BGCOLOR(#a6f1f1):水|-|2050|2200|1200|60|80|-|クロス・カウンターIV(1)|-|一閃(1)|
|570|[蕾王]スイ|5|杖|BGCOLOR(#f1f1a6):光|-|1250|1300|1500|50|50|800|トリプル・サポートI(1)|-|魂の召喚(1)|
|571|[咲王]スイ|6|杖|BGCOLOR(#f1f1a6):光|-|1600|2100|2100|60|80|-|トリプル・サポートIII(1)|-|魂の召喚(1)|
|572|[骸王]ガイスト|5|槍|BGCOLOR(#bba6f1):闇|-|850|1900|900|50|50|800|ダブル・ブラストI(1)|-|呪いの一撃(1)|
|573|[呪魂王]ガイスト|6|槍|BGCOLOR(#bba6f1):闇|-|1450|2550|1200|60|80|-|ダブル・ブラストIV(1)|-|呪いの一撃(1)|
|574|[しょけいおう]くろろ|5|弓|BGCOLOR(#BBA6F1):闇|-|1600|1250|1150|50|99|-|ドラゴン・バスター(1)&br;ドラゴン・イーター(?)&br;ドラゴン・キラー(?)&br;ドラゴン・キラー+(?)&br;|-|修練の踊り(1)|
|575|[武士王]クロツチ|5|剣|BGCOLOR(#bba6f1):闇|-|2100|1450|600|50|50|800|ホーリー・ガード(1)&br;ホーリー・シールド(?)&br;|-|侍の魂(1)|
|576|[侍王]クロツチ|6|剣|BGCOLOR(#bba6f1):闇|-|2900|2150|1000|60|80|-|ホーリー・ディフェンス(1)&br;ホーリー・センチネル(?)&br;ホーリー・インペリアル(1)&br;|-|侍の魂(1)|
|577|[争王]G.S|5|弓|BGCOLOR(#f1bba6):火|-|1450|1200|1050|50|50|800|モブ・キラーI(1)&br;モブ・キラーII(?)&br;|ディフェンダーI(1)&br;ハイ・ディフェンダーIII(?)&br;|-|
|578|[戦王]G.S|6|弓|BGCOLOR(#f1bba6):火|-|1950|1800|1300|60|80|-|モブ・キラーIII(1)&br;モブ・キラーIV(?)&br;モブ・キラーV(?)&br;|ハイ・ディフェンダーIII(?)&br;ハイ・ディフェンダーIV(?)&br;ハイ・ディフェンダーV(?)&br;ハイ・ディフェンダーVI(?)&br;|-|
|579|[犠王]ニア|5|杖|BGCOLOR(#f1f1a6):光|-|1200|1300|1600|50|50|800|チェイス・サポートI(1)|リカバリーアップI(1)|-|
|580|[捧王]ニア|6|杖|BGCOLOR(#f1f1a6):光|-|1550|2100|2200|60|80|-|チェイス・サポートIII(1)|リカバリーアップIII(1)|-|
|581|[竜化王]クロマ|5|剣|BGCOLOR(#bba6f1):闇|-|1900|1400|900|50|80|-|ダブル・キラー+(1)|グラビティ・ヘルVI(1)|-|
|582|[炎獄王]アリシア|5|槍|BGCOLOR(#f1bba6):火|-|1200|1700|800|50|80|-|ライフ&アサルトIV(1)|ハイ・ディフェンダーVI(1)|-|
|583|[伝承王]カイト|5|弓|BGCOLOR(#f1f1a6):光|-|1450|1250|1150|50|80|-|アサルト&ヒーリングIV(1)|シャッフル(1)|-|
|584|[迷王]ニコラ|5|杖|BGCOLOR(#a6f1f1):水|-|1250|1100|1500|50|80|-|ヒーリング&ライフIV(1)|セイント・キュアVI(1)|-|
|585|[電撃子]リヒト|5|剣|BGCOLOR(#f1f1a6):光|-|1950|1300|600|50|50|-|ホーリー・ライフI(1)|ホーリー・ストックI(1)|-|
|586|[騎士団長]アレン|6|剣|BGCOLOR(#f1bba6):火|-|2900|2000|1000|60|80|-|ライフ・マスター+(1)|アルエリオル・ブレイブI(1)&br;アルエリオル・ブレイブII(?)&br;アルエリオル・ブレイブIII(?)&br;アルエリオル・ブレイブIV(?)&br;アルエリオル・ブレイブV(80)&br;|-|
|587|[魔竜騎士]カイン|6|槍|BGCOLOR(#bba6f1):闇|-|1400|2400|1100|60|80|-|アサルト・マスター+(1)|ガルディオス・スピアI(1)&br;ガルディオス・スピアII(?)&br;ガルディオス・スピアIII(?)&br;ガルディオス・スピアIV(?)&br;ガルディオス・スピアV(80)&br;|-|
|588|[禁書還士]ルカ|6|弓|BGCOLOR(#a6f1f1):水|-|1900|1800|1500|60|80|-|スラスト・マスター+(1)|ドラグオル・アスタI(1)&br;ドラグオル・アスタII(?)&br;ドラグオル・アスタIIII(?)&br;ドラグオル・アスタIV(?)&br;ドラグオル・アスタV(80)&br;|-|
|589|[神聖王女]マリア|6|杖|BGCOLOR(#f1f1a6):光|-|1750|1400|1950|60|80|-|ヒーリング・マスター+(1)|エンブリオン・シエルI(1)&br;エンブリオン・シエルII(?)&br;エンブリオン・シエルIII(?)&br;エンブリオン・シエルIV(?)&br;エンブリオン・シエルV(80)&br;|-|
|590|[暗闇王]ダリア|5|剣|BGCOLOR(#bba6f1):闇|-|1900|1650|950|50|50|800|ツーブラトンアタックI(1)|ダーク・エンハンスI(1)|-|
|591|[邪眼王]ダリア|6|剣|BGCOLOR(#bba6f1):闇|-|2650|2350|1400|60|80|-|ツープラトンアタックIII(1)&br;ツープラトンアタックIV(?)&br;ツープラトンアタックV(?)&br;|ダーク・エンハンスIII(1)|-|
|592|[瀧賊王]ギルバ|5|弓|BGCOLOR(#a6f1f1):水|-|1700|1600|900|50|50|800|ソウル・ハントI(1)|アルケイン・ヘルI(1)|-|
|593|[海賊王]ギルバ|6|弓|BGCOLOR(#a6f1f1):水|-|2200|2100|1200|60|80|-|ソウル・ハントI(1)&br;ソウル・ハントII(?)&br;ソウル・ハントIII(?)&br;ソウル・ハントIV(?)&br;ソウル・ハントV(?)&br;ソウル・ハントVI(?)&br;|アルケイン・ヘルIII(1)|-|
|594|[火猟王]ヴァッシュ|5|槍|BGCOLOR(#f1bba6):火|-|1200|1850|700|50|50|800|ダブル・ブラストI(1)|ツイン・ランスI(1)|-|
|595|[火竜王]ヴァッシュ|6|槍|BGCOLOR(#f1bba6):火|-|1700|2500|1000|60|80|-|ダブル・ブラストIV(1)&br;ダブル・ブラストV(?)&br;ダブル・ブラストVI(?)&br;|ツイン・ランスIII(1)&br;ツイン・ランスIV(?)&br;ツイン・ランスV(?)&br;|-|
|596|[水天王]バク|5|剣|BGCOLOR(#a6f1f1):水|-|2200|1450|850|50|50|800|アクア・アサルトI(1)|-|追撃の陣(1)|
|597|[飛天王]バク|6|剣|BGCOLOR(#a6f1f1):水|-|3000|2150|1300|60|80|-|アクア・アサルトIII(1)|-|追撃の陣(1)|
|598|[夜王]リリス|5|槍|BGCOLOR(#bba6f1):闇|-|900|1800|1000|50|50|800|プレデター・ライフI(1)|-|全身全霊(1)|
|599|[月光王]リリス|6|槍|BGCOLOR(#bba6f1):闇|-|1500|2450|1400|60|80|-|プレデター・ライフIII(1)|-|全身全霊(1)|
|600|[閃撃王]セレナ|5|弓|BGCOLOR(#f1f1a6):光|-|1500|1650|1200|50|50|800|エレメントフォースI(1)|-|一閃(1)|
//
|&aname(no601);601|[閃光王]セレナ|6|弓|BGCOLOR(#f1f1a6):光|-|2000|2050|1500|60|80|-|エレメントフォースIII(1)&br;エレメントフォースIV(?)&br;エレメントフォースV(?)&br;|-|一閃(1)|
|602|[鏡王]ジジル|5|杖|BGCOLOR(#a6f1f1):水|-|1300|1100|1400|50|50|800|クロス・カウンターI(1)&br;クロス・カウンターII(?)&br;クロス・カウンターIII(50)&br;|-|限界突破(1)|
|603|[鳴鏡王]ジジル|6|杖|BGCOLOR(#a6f1f1):水|-|1750|2150|2000|60|80|-|クロス・カウンターIV(1)&br;クロス・カウンターV(30)&br;クロス・カウンターVI(60)&br;|-|限界突破(1)|
|604|[零号使徒]ニヒルクラム|5|杖|BGCOLOR(#f1bba6):火|-|1000|1100|1350|50|50|800|ドラゴン・バスター(1)&br;ドラゴン・イーター(?)&br;|-|天界の魂(1)|
|605|[虚号使徒]ニヒルクラム|6|杖|BGCOLOR(#f1bba6):火|-|1450|2150|1950|60|80|-|ドラゴン・キラー(1)&br;ドラゴン・キラー+(?)&br;|-|天界の魂(1)|
|606|[四号使徒]ヴィルト|5|槍|BGCOLOR(#f1f1a6):光|-|900|1750|650|50|50|800|ライフ・サポート(1)|-|回復の陣(1)|
|607|[肆号使徒]ヴィルト|6|槍|BGCOLOR(#f1f1a6):光|-|1400|2400|950|60|80|-|ライフ・バースト(1)&br;ライフ・マスター(?)&br;ライフ・マスター+(?)&br;|-|回復の陣(1)|
|608|[三号使徒]エルク|5|剣|BGCOLOR(#bba6f1):闇|-|2050|1450|650|50|50|800|アサルト・サポート(1)|-|魂の踊り(1)|
|609|[参号使徒]エルク|6|剣|BGCOLOR(#bba6f1):闇|-|2850|2050|1050|60|80|-|アサルト・チャージ(1)&br;アサルト・バースト(?)&br;アサルト・マスター(?)&br;アサルト・マスター+(?)&br;|-|魂の踊り(1)|
|610|[二号使徒]シュメット|5|弓|BGCOLOR(#a6f1f1):水|-|1400|1250|1050|50|50|800|ヒーリング・サポート(1)|ハイ・ディフェンダーI(1)|-|
|611|[弐号使徒]シュメット|6|弓|BGCOLOR(#a6f1f1):水|-|1900|1750|1300|60|80|-|ヒーリング・バースト(1)&br;ヒーリング・マスター(?)&br;ヒーリング・マスター+(?)&br;|ハイ・ディフェンダーIV(1)&br;ハイ・ディフェンダーV(?)&br;ハイ・ディフェンダーVI(?)&br;|-|
|612|[封神]ジ・ウーラ|5|剣|BGCOLOR(#FFFFFF):無|-|2100|1500|700|50|50|800|ゴッド・ソウル(1)&br;|ゴッド・フォースI(1)&br;|-|
|613|[解神]ジ・ウーラ|6|剣|BGCOLOR(#FFFFFF):無|-|2900|2200|1100|60|80|-|ゴッド・ソウル(1)&br;|ゴッド・フォースIII(1)&br;|-|
|614|[絶園王]アルプトラウム|5|杖|BGCOLOR(#f1bba6):火|-|900|1150|1350|50|50|800|ヒーリング&ライフI(1)&br;ヒーリング&ライフII(30)&br;|-|魂の召喚(1)&br;|
|615|[呪絶王]アルプトラウム|6|杖|BGCOLOR(#f1bba6):火|-|1300|2200|1950|60|80|-|ヒーリング&ライフIII(1)&br;ヒーリング&ライフIV(30)&br;ヒーリング&ライフV(80)&br;|-|魂の召喚(1)&br;|
|616|ナナシ|5|槍|BGCOLOR(#FFFFFF):無|-|1700|1950|1650|50|50|-|アキバ・アサルトI(1)|アキバ・ガードI(1)|-|
|617|刻風 雫|5|杖|BGCOLOR(#bba6f1):闇|-|1500|1300|2000|50|50|-|アキバ・リカバリーI(1)|アキバ・ヒールI(1)|-|
|618|Rin|5|剣|BGCOLOR(#bba6f1):闇|-|2200|1950|1100|50|50|-|アキバ・ライフI(1)|アキバ・キュアI(1)|-|
|619|カティ・ライコネン|5|剣|BGCOLOR(#a6f1f1):水|-|2150|1800|1400|50|50|-|アキバ・魂(1)|メイド・フォースI(1)|-|
|620|迦具士 焼子|3|弓|BGCOLOR(#f1bba6):火|-|1100|900|1050|30|35|-|メイド・ソウル(1)|メイド・フレイムフォース(1)|-|
|621|照照 光|3|剣|BGCOLOR(#f1f1a6):光|-|1650|1000|700|30|35|-|メイド・ソウル(1)|メイド・ホーリーフォース(1)|-|
|622|沼袋 切り子|3|杖|BGCOLOR(#bba6f1):闇|-|1050|850|1350|30|35|-|メイド・ソウル(1)|メイド・ダークフォース(1)|-|
|623|影之無 踏絵|3|槍|BGCOLOR(#ffffff):無|-|800|1300|800|30|35|-|メイド・ソウル(1)|メイド・フォース(1)|-|
|624|||||-||||||||||
|625|秋のよりしろ(行楽用)|5|杖|BGCOLOR(#FFFFFF):無|-|500|500|500|200|1|-|なし|なし|-|
|626|||||-||||||||||
|627|[暗黒王]マスク・ド・Ｖ|5|弓|BGCOLOR(#bba6f1):闇|-|1550|1600|950|50|50|800|フージョン・ブラストI(1)|グラビティ・アタックIII(1)|-|
|628|[暗輝王]マスク・ド・Ｖ|6|弓|BGCOLOR(#bba6f1):闇|-|2050|2250|1200|60|80|-|フージョン・ブラストII(1)|グラビティ・アタックIV(1)|-|
|629|[氷王]レヴィア|5|剣|BGCOLOR(#a6f1f1):水|-|2200|1450|900|50|50|800|トリプル・サポートI(1)|セイント・ヒールIII(1)|-|
|630|[氷竜王]レヴィア|6|剣|BGCOLOR(#a6f1f1):水|-|2950|2150|1200|60|80|-|トリプル・サポートIII(1)|セイント・ヒールIV(1)|-|
|631|[森王]キコリ|5|杖|BGCOLOR(#f1f1a6):光|-|1300|1300|1300|50|50|800|ダブル・ブラスト?(?)|-|回復の雫(1)|
|632|[森守王]キコリ|6|杖|BGCOLOR(#f1f1a6):光|-|1700|2100|2000|60|80|-|ダブル・ブラスト?(?)|-|回復の雫(1)|
|633|[罰王]ギルガメッシュ|5|剣|BGCOLOR(#f1bba6):火|-|2250|1500|850|50|50|800|アブソリュート・パワー?(?)&br;|-|修練の構え(1)&br;|
|634|[契罰王]ギルガメッシュ|6|剣|BGCOLOR(#f1bba6):火|-|3000|2200|1000|60|80|-|アブソリュート・パワー?(?)&br;|-|修練の構え・改(1)&br;|
|635|[求愛王]キューピッド|5|弓|BGCOLOR(#f1bba6):火|-|1500|1400|1050|50|50|800|ソウル・ハントI(1)|-|魂の選定(1)|
|636|[渇愛王]キューピッド|6|弓|BGCOLOR(#f1bba6):火|-|2000|2050|1500|60|80|-|ソウル・ハント?(?)|-|魂の選定(1)|
|637|[夢中王]レム|5|槍|BGCOLOR(#bba6f1):闇|-|900|1700|500|50|50|800|ドリーム・ドレイン(1)|ナイトメア・シープ(1)|-|
|638|[現夢王]レム|6|槍|BGCOLOR(#bba6f1):闇|-|1000|2050|900|60|80|-|ドリーム・ドレイン(1)|ナイトメア・シープ(1)|-|
