* エヴァ コラボ [#d99a7d60]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|使徒襲来 超地獄級（テクニカル）	|50|7|25000|14000|&color(#080){''&calc(14000/50,1);''};|
|使徒襲来 地獄級（テクニカル）	|45|7|24000|12000|&color(#080){''&calc(12000/45,1);''};|
|使徒襲来 超級（テクニカル）		|40|7|16000|8600|&color(#080){''&calc(8600/40,1);''};|
|使徒襲来 上級（テクニカル）		|25|7|5000|2400|&color(#080){''&calc(2400/25,1);''};|
|使徒襲来 中級（テクニカル）		|15|5|1400|700|&color(#080){''&calc(700/15,1);''};|

- [[ヱヴァンゲリヲン新劇場版:http://mobile.gungho.jp/news/pad/130429_eva.html]]とコラボレーション
//- A.T.フィールド持ちは先制で状態異常無効にするので、威嚇・威圧は効かない
- 2014/02/24 第9の使徒が追加
- 2015/08/24 リニューアル
-- 超地獄級が追加（地獄級の消費スタミナ50→45）
-- エヴァたまドラが4種追加（1種はボスで稀にドロップ）

&color(#b00){''TIPS''}; [[エヴァンゲリオンコラボガチャ>ガチャ/エヴァンゲリオンコラボガチャ]]

|~面|~名前	|~属性|~攻撃力|~後|~HP|~防御|~備考|
|3|&mons708; [[第5の使徒・戦闘形態>モンスター図鑑/0708]]	|BGCOLOR(#f1bba6):火|&color(#b00){''8885''};|&color(#b00){1};|226893|4940||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):なぎ払う（計10080の連続攻撃）==HP75％以下で使用==&br;触手（神タイプ2～4ターンバインド）==HP50％以下で使用、1度きり==|
|~|&mons714; [[第4の使徒・戦闘形態>モンスター図鑑/0714]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''16025''};|&color(#b00){3};|450018|494||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):光のパイル（先制攻撃8013）&br;光線（計22436の連続攻撃）==HP75％以下で使用==|
|5|&mons710; [[第6の使徒・戦闘形態>モンスター図鑑/0710]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){7};|41|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):A.T.フィールド展開（先制・999ターン状態異常無効）&br;荷電粒子砲（146250）|
|6|&mons2329; [[初号機たまドラ>モンスター図鑑/2329]]	|BGCOLOR(#a6f1f1):水闇|&color(#b00){''-''};|&color(#b00){1};|19|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):プログレッシブナイフたまぁ！（計6862の連続攻撃）&br;逃げちゃダメたまぁ！（1体3ターンバインド）==HP50％以下で使用==|
|~|&mons2332; [[ミサトたまドラ>モンスター図鑑/2332]]	|BGCOLOR(#f1bba6):火光|&color(#b00){''-''};|&color(#b00){1};|19|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):緊急発進たまぁ！（先制・何もしない）&br;撃てたまぁ！（計6267の連続攻撃）|
|~|&mons2330; [[2号機たまドラ>モンスター図鑑/2330]]	|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|19|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):あんたたまぁ？（1ターン操作時間1秒短縮）&br;プログレッシブナイフたまぁ！（計7457の連続攻撃）|
|7|&mons712; [[第10の使徒・戦闘形態>モンスター図鑑/0712]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){3};|3377815|0|※稀に[[13号機たまドラ>モンスター図鑑/2331]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):A.T.フィールド展開（先制・999ターン状態異常無効）&br;エネルギーを溜めている（何もしない）==1度きり==&br;最大の拒絶（計99999の連続攻撃）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):使徒襲来 地獄級|
||&mons707; [[第5の使徒>モンスター図鑑/0707]]		|BGCOLOR(#f1bba6):火|&color(#b00){''4200''};|&color(#b00){1};|13200|1300||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons713; [[第4の使徒>モンスター図鑑/0713]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''6660''};|&color(#b00){2};|18450|260||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):光線（計9324の連続攻撃）==HP75％以下で使用==|
||&mons709; [[第6の使徒>モンスター図鑑/0709]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){5};|14|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):迎撃（計32100の連続攻撃）|
||&mons1204; [[第9の使徒>モンスター図鑑/1204]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''7620''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):侵食（リーダーを3ターンバインド）==HP50％以下で使用、1度きり==|
|3|&mons708; [[第5の使徒・戦闘形態>モンスター図鑑/0708]]	|BGCOLOR(#f1bba6):火|&color(#b00){''6720''};|&color(#b00){1};|171600|3800||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):なぎ払う（計10080の連続攻撃）==HP75％以下で使用==&br;触手（神タイプ2～4ターンバインド）==HP50％以下で使用、1度きり==|
|~|&mons714; [[第4の使徒・戦闘形態>モンスター図鑑/0714]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''12120''};|&color(#b00){3};|340350|380||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):光のパイル（先制攻撃6060）&br;光線（計16968の連続攻撃）==HP75％以下で使用==|
|5|&mons710; [[第6の使徒・戦闘形態>モンスター図鑑/0710]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){7};|37|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):A.T.フィールド展開（先制・999ターン状態異常無効）&br;荷電粒子砲（110610）|
|6|&mons2329; [[初号機たまドラ>モンスター図鑑/2329]]	|BGCOLOR(#a6f1f1):水闇|&color(#b00){''-''};|&color(#b00){1};|15|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):プログレッシブナイフたまぁ！（計5190の連続攻撃）&br;逃げちゃダメたまぁ！（1体3ターンバインド）==HP50％以下で使用==|
|~|&mons2332; [[ミサトたまドラ>モンスター図鑑/2332]]	|BGCOLOR(#f1bba6):火光|&color(#b00){''-''};|&color(#b00){1};|15|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):緊急発進たまぁ！（先制・何もしない）&br;撃てたまぁ！（計4740の連続攻撃）|
|~|&mons2330; [[2号機たまドラ>モンスター図鑑/2330]]	|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|15|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):あんたたまぁ？（1ターン操作時間1秒短縮）&br;プログレッシブナイフたまぁ！（計5640の連続攻撃）|
|7|&mons712; [[第10の使徒・戦闘形態>モンスター図鑑/0712]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){3};|2554650|0|※稀に[[13号機たまドラ>モンスター図鑑/2331]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):A.T.フィールド展開（先制・999ターン状態異常無効）&br;エネルギーを溜めている（何もしない）==1度きり==&br;最大の拒絶（計99999の連続攻撃）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):使徒襲来 超級|
||&mons707; [[第5の使徒>モンスター図鑑/0707]]		|BGCOLOR(#f1bba6):火|&color(#b00){''2847''};|&color(#b00){1};|8947|910||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons713; [[第4の使徒>モンスター図鑑/0713]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''4514''};|&color(#b00){2};|12505|182||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):光線（計6320連続攻撃）==HP75％以下で使用==|
||&mons709; [[第6の使徒>モンスター図鑑/0709]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){5};|11|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):迎撃（計21758の連続攻撃）|
||&mons1204; [[第9の使徒>モンスター図鑑/1204]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''5165''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):侵食（リーダーを3ターンバインド）==HP50％以下で使用、1度きり==|
|3|&mons708; [[第5の使徒・戦闘形態>モンスター図鑑/0708]]	|BGCOLOR(#f1bba6):火|&color(#b00){''4555''};|&color(#b00){1};|116307|2690||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):なぎ払う（計6835の連続攻撃）==HP75％以下で使用==&br;触手（神タイプ2～4ターンバインド）==HP50％以下で使用、1度きり==|
|~|&mons714; [[第4の使徒・戦闘形態>モンスター図鑑/0714]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''8215''};|&color(#b00){3};|230682|266||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):光のパイル（先制攻撃4108）&br;光線（計11502の連続攻撃）==HP75％以下で使用==|
|5|&mons710; [[第6の使徒・戦闘形態>モンスター図鑑/0710]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){7};|33|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):A.T.フィールド展開（先制・999ターン状態異常無効）&br;荷電粒子砲（74970）|
|6|&mons2329; [[初号機たまドラ>モンスター図鑑/2329]]	|BGCOLOR(#a6f1f1):水闇|&color(#b00){''-''};|&color(#b00){1};|11|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):プログレッシブナイフたまぁ！（計3518の連続攻撃）&br;逃げちゃダメたまぁ！（1体3ターンバインド）==HP50％以下で使用==|
|~|&mons2332; [[ミサトたまドラ>モンスター図鑑/2332]]	|BGCOLOR(#f1bba6):火光|&color(#b00){''-''};|&color(#b00){1};|11|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):緊急発進たまぁ！（先制・何もしない）&br;撃てたまぁ！（計3213の連続攻撃）|
|~|&mons2330; [[2号機たまドラ>モンスター図鑑/2330]]	|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|11|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):あんたたまぁ？（1ターン操作時間1秒短縮）&br;プログレッシブナイフたまぁ！（計3823の連続攻撃）|
|7|&mons712; [[第10の使徒・戦闘形態>モンスター図鑑/0712]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){3};|1731485|0|※稀に[[13号機たまドラ>モンスター図鑑/2331]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):A.T.フィールド展開（先制・999ターン状態異常無効）&br;エネルギーを溜めている（何もしない）==1度きり==&br;最大の拒絶（計99999の連続攻撃）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):使徒襲来 上級|
||&mons707; [[第5の使徒>モンスター図鑑/0707]]		|BGCOLOR(#f1bba6):火|&color(#b00){''591''};|&color(#b00){1};|1858|260||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons713; [[第4の使徒>モンスター図鑑/0713]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''937''};|&color(#b00){2};|2597|52||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons709; [[第6の使徒>モンスター図鑑/0709]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''4518''};|&color(#b00){5};|6|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons1204; [[第9の使徒>モンスター図鑑/1204]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''1072''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|5|&mons710; [[第6の使徒・戦闘形態>モンスター図鑑/0710]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''5189''};|&color(#b00){7};|25|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|6|&mons2329; [[初号機たまドラ>モンスター図鑑/2329]]	|BGCOLOR(#a6f1f1):水闇|&color(#b00){''730''};|&color(#b00){1};|4|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons2332; [[ミサトたまドラ>モンスター図鑑/2332]]	|BGCOLOR(#f1bba6):火光|&color(#b00){''667''};|&color(#b00){1};|4|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons2330; [[2号機たまドラ>モンスター図鑑/2330]]	|BGCOLOR(#f1bba6):火|&color(#b00){''794''};|&color(#b00){1};|4|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|7|&mons711; [[第10の使徒>モンスター図鑑/0711]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''10965''};|&color(#b00){3};|292000|0|※稀に[[13号機たまドラ>モンスター図鑑/2331]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):使徒襲来 中級|
||&mons707; [[第5の使徒>モンスター図鑑/0707]]		|BGCOLOR(#f1bba6):火|&color(#b00){''140''};|&color(#b00){1};|440|130||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons713; [[第4の使徒>モンスター図鑑/0713]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''222''};|&color(#b00){2};|615|26||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons709; [[第6の使徒>モンスター図鑑/0709]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''1070''};|&color(#b00){5};|5|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons1204; [[第9の使徒>モンスター図鑑/1204]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''263''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|4|&mons2329; [[初号機たまドラ>モンスター図鑑/2329]]	|BGCOLOR(#a6f1f1):水闇|&color(#b00){''173''};|&color(#b00){1};|3|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons2332; [[ミサトたまドラ>モンスター図鑑/2332]]	|BGCOLOR(#f1bba6):火光|&color(#b00){''158''};|&color(#b00){1};|3|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons2330; [[2号機たまドラ>モンスター図鑑/2330]]	|BGCOLOR(#f1bba6):火|&color(#b00){''188''};|&color(#b00){1};|3|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|5|&mons711; [[第10の使徒>モンスター図鑑/0711]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''1028''};|&color(#b00){3};|27375|0|※稀に[[13号機たまドラ>モンスター図鑑/2331]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

** 公開履歴 [#t7c66675]

//最新3件
|~ |~日時|~備考|
|4|2015/08/24～2015/09/06||
|3|2014/08/18～2014/08/24||
|2|2014/02/24～2014/03/09||

//折りたたみ開始
#div(start,dvPCExpand)
#style(class=pageLabel){{
過去の公開履歴
}}
#style(class=pageList){{

|~ |~日時|~備考|
|1|2013/05/27～2013/06/09||

}}
#div(end)
//折りたたみ終了


** スキル上げ用途 [#eb98b3fa]

|~素材|~スキル（最大Lv）|~対象モンスター|
|&mons714;|グングニール (9)|&mons1423; &mons1228;|
|&mons708;|クイックヒール (6)|&mons996; &mons997; &mons2017; &mons2023;|
|&mons710;|イビルノヴァ (16)|&mons1552; &mons1553;|
|&mons1204;|ドロップ強化・闇 (12)|&mons1214;|
|&mons2329;|逃げちゃダメだ (6)|&mons2326;|
|&mons2330;|あんたバカぁ？ (11)|&mons1200;|
|&mons2331;|時が満ちた… (11)|&mons1201;|
|&mons2332;|全艦、緊急発進！ (8)|&mons2328;|

** チーム編成例 [#me485941]

*** [[スコア機能>Tips/スコア機能]] Sランク [#y11234ef]

- 120000でSランク。

|~Ver|~チーム編成（左右がリーダー）|~HP|~石|~備考|
|||RIGHT:|RIGHT:||c
//| |&mons000; &mons000; &mons000; &mons000; &mons000; &mons000;| | | |

//折りたたみ開始
#div(start,dvPCExpand)
#style(class=pageLabel){{
過去のスコア機能（地獄級）
}}
#style(class=pageList){{

- 140000でSランク。
- 第6の使徒の対応で、クリアターンやコンボ数での加点は他ダンジョンより難しい。
- 第4の使徒・戦闘形態の先制攻撃があるのでHPが6061以上必要。

|~Ver|~チーム編成（左右がリーダー）|~HP|~石|~備考|
|||RIGHT:|RIGHT:||c
|v6.4|&mons694; &mons687; &mons164; &mons164; &mons164; &mons694;| | |回復PT、LFは+297、平均レア3.3でレアリティだけでスコア15万over&br;+297でない場合はキングヒカりんを2体にする等して調整するといいかも|
|v6.4|&mons647; &mons796; &mons688; &mons718; &mons718; &mons647;| | |サタンPT|

//| |&mons000; &mons000; &mons000; &mons000; &mons000; &mons000;| | | |

}}
#div(end)
//折りたたみ終了

- 編成の参考に。左右がリーダー。HPはフレンドを含めたもの。
- レベルやスキルレベルは省略しているので&color(#dc143c){あくまで参考程度に。};

* コメント [#md61e24d]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
