* &font2(60%){いーりすのにじのおか};イーリスの虹の丘 [#s64f954e]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|楽園の女神	|17|10|25000|6500|&color(#080){''382''};|
|女神の騎士	|14|7|28000|4000|&color(#080){''285''};|
|憩いの泉		|14|7|25000|4300|&color(#080){''307''};|
|輝く丘		|14|7|16000|3900|&color(#080){''278''};|
|愛と美の楽園	|14|7|24000|3900|&color(#080){''278''};|

-楽園の女神のエンジェルとヴィーナスはリザレクションを複数回使用する

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|9|[[天空の使徒・エンジェル>モンスター図鑑/0204]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''2769''};|&color(#b00){1};|230294|360|冷徹な目でにらみつけている&br;ドロップ排除・闇&br;リザレクション|
|10|[[慈愛神・ヴィーナス>モンスター図鑑/0129]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''3082''};|&color(#b00){1};|503466|780|退屈そうにこちらをながめている&br;ランダム排除&br;リザレクション&br;ラブストリーム（連続攻撃5397）|

- 攻撃ターン数は表記より1ターン前後することがあります。
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

* コメント [#kd028776]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
