* 高岡市コラボ【3色限定】 [#df513b57]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|大仏降臨？ 祭		|50|10|76000|17900|&color(#080){''&calc(17900/50,1);''};|
|大仏降臨？ 超級	|40|10|73000|12500|&color(#080){''&calc(12500/40,1);''};|
|大仏降臨？ 上級	|25|10|27000|4400|&color(#080){''&calc(4400/25,1);''};|
|大仏降臨？ 中級	|15|10|12000|2200|&color(#080){''&calc(2200/15,1);''};|

- [[富山県高岡市:http://mobile.gungho.jp/news/pad/130913_taka.html]]とコラボレーション
- 閃光の結界のスキル上げができることと、入手できるブリが制限ダンジョン用に有用だったことがあるぐらいで全体的に価値のあるモンスターが現在は少ない。進化シロエビの攻撃力に注意。（2016/03/04更新）
- 火、水、木ドロップと回復ドロップのみの3色限定ダンジョン
- 2014/03/02 氷見うどんが追加
- 2016/02/25 コインダンジョンに常設化

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|~|&mons837; %%%[[富山湾の神秘・ホタルイカ>モンスター図鑑/0837]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''1854''};|&color(#b00){2};|130873|96||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons839; %%%[[富山湾の宝石・シロエビ>モンスター図鑑/0839]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''3529''};|&color(#b00){5};|13|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|10|&mons840; %%%[[あみたん>モンスター図鑑/0840]]%%%		||BGCOLOR(#bbf1a6):木|&color(#b00){''1393''};|&color(#b00){2};|148200|400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):大仏降臨？ 中級|
||&mons832; %%%[[コズクラ>モンスター図鑑/0832]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''490''};|&color(#b00){1};|2681|28||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）|
||&mons838; %%%[[シロエビ>モンスター図鑑/0838]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''642''};|&color(#b00){1};|2132|44||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）|
||&mons1219; %%%[[氷見うどん>モンスター図鑑/1219]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''1229''};|&color(#b00){2};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|5|&mons833; %%%[[フクラギ>モンスター図鑑/0833]]%%%x3		||BGCOLOR(#a6f1f1):水|&color(#b00){''781''};|&color(#b00){2};|5552|52||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）|
|9|&mons836; %%%[[ホタルイカ>モンスター図鑑/0836]]%%%x3		||BGCOLOR(#f1f1a6):光|&color(#b00){''832''};|&color(#b00){2};|4032|44||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|10|&mons840; %%%[[あみたん>モンスター図鑑/0840]]%%%		||BGCOLOR(#bbf1a6):木|&color(#b00){''1393''};|&color(#b00){2};|148200|400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	||BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	||BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	||BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	||BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	||BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

** スキル上げ用途 [#u76c1cf4]

進化後はドロップしない

|~素材|~スキル（最大Lv）|~対象モンスター|
|&mons837;|閃光の結界 (6)|&mons922; &mons614;|
|&mons839;|ドロップ強化・火 (11)|&mons994; &mons995; &mons1210; &mons871;|

* コメント [#z97f525d]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
