[[スペシャルダンジョン/HUNTER×HUNTER コラボ]]

-1GET 解析データ通りだと地獄難易度かなり高そうな感じ スキラゲは禿げる奴多そう -- &color(#999){ [id:YWF25]}; &new{2013-12-22 (日) 23:19:55};
-L闇ノエルF天ルシ Sギガグラ×2、大國、ドラウンジョーカーでノーコンしたらしいけど大國→虹番でも行けるんじゃないかね？1Fのバインドさえ切り抜けられたら。要検証 -- &color(#999){ [id:MzZ129]}; &new{2013-12-25 (水) 16:36:29};
-プロ級、LデュークF天ルシSギガグラ2枚、ｴｷﾄﾞﾅ、ﾄﾞﾗｳﾝｼﾞｮｰｶｰで1Fﾀｰﾝずれなら・・ -- &color(#999){ [id:NWF123]}; &new{2013-12-25 (水) 17:11:54};
-プロ級、ＬＦ天ルシ　Ｓアーク、ドラウン、秘神、女帝でノーコン。一層目はパイク、二層目はヒナ、三層目はコルト、四層目はプフから倒す。明星以外のスキルは適宜使用。メルエムは２５％から明星、魔槍、明星で倒せる。時間は掛かります！ -- &color(#999){ [id:MTJ194]}; &new{2013-12-25 (水) 17:32:02};
-プロ LF天ルシ Sギガグラ×3 青おでんでノーコン  やり方は上と同じだが、ギガグラが3枚あればメルエムのHP半分よりちょい前に明星→回復→ギガグラ×3→明星でいける HPは17300以上 -- &color(#999){ [id:ODM8]}; &new{2013-12-25 (水) 18:25:37};
-道中が不安定では？ -- &color(#999){ [id:YWU230]}; &new{2013-12-25 (水) 19:03:14};
-↑一回しかやってないんで何とも言えませんが、特に苦戦した所はありませんでしたよ。課題は一階のHP確保だけっぽいです -- &color(#999){ [id:YzI9]}; &new{2013-12-25 (水) 20:40:21};
-L緑おでんF究極オオカミSギガグラ×3、天ルシ、HP2万ちょいで、プロ ノーコン。4階でスキルを使って先にプフ倒して再度スキル貯めてボスへ。ボスはギガグラ2発打った後、スキル貯め&#10145;&#65039;全スキル解放。緑おでんとオオカミがフル覚醒です -- &color(#999){ [id:OGI7]}; &new{2013-12-25 (水) 23:05:55};
-このダンジョンゼウスでいけますかね？ -- &color(#999){ [id:YmV187]}; &new{2013-12-26 (木) 01:09:54};
-ＬアスタロトF天ルシＳギガグラ持ち×3、ピエドラでプロノーコン出来ました。 -- &color(#999){ [id:NDc212]}; &new{2013-12-26 (木) 03:34:26};
-超級進化後泥確認 -- &color(#999){ [id:NjB179]}; &new{2013-12-26 (木) 04:42:02};
-天ﾙｼ報告祭りやな -- &color(#999){ [id:ZGF176]}; &new{2013-12-26 (木) 09:19:51};
-超級以上なら、ボス以外の泥が進化後になって、楽になりましたね。 -- &color(#999){ [id:ZGE134]}; &new{2013-12-26 (木) 09:29:39};
-↑5　ゼウスでプロいけるよ。 -- &color(#999){ [id:MzY242]}; &new{2013-12-26 (木) 13:47:07};
-ホルスホルスで、ﾗｽｺﾞためるのに3コンしてあと4ターンでボス行って威嚇4ターン以内で終了。何やってんだ俺(;´д｀) -- &color(#999){ [id:Mjh206]}; &new{2013-12-26 (木) 14:37:30};
-ピ、ピトーに会いたい… -- &color(#999){ [id:YzE171]}; &new{2013-12-26 (木) 15:04:18};
-超級のボスの必殺技のダメは、プロと同じなのかな？ -- &color(#999){ [id:YmN9]}; &new{2013-12-26 (木) 15:24:43};
-↑3　ホルホルならラスゴ溜めなくても威嚇で押しきれるんですがそれは・・・ -- &color(#999){ [id:NmQ158]}; &new{2013-12-26 (木) 15:55:34};
-だからそれを身を以て体感して後悔って話やろ -- &color(#999){ [id:ZWQ70]}; &new{2013-12-26 (木) 16:20:59};
-石1個帰って来たけど虚しい -- &color(#999){ [id:Mjh206]}; &new{2013-12-26 (木) 17:01:08};
-泥1.5倍だと超級でもぽろぽろおちるな、今のところ１００％泥してる。 -- &color(#999){ [id:MDV54]}; &new{2013-12-26 (木) 18:35:19};
-獲得経験値の目安：11,586～12,464程度／獲得コインの目安：18,576～20,304程度 -- &color(#999){ [id:YmN9]}; &new{2013-12-26 (木) 20:29:48};
-↑の補足。多い時は30000くらいのときもあるらしいです。幻獣が高いのかも。調整するなら気をつけて。 -- &color(#999){ [id:YmN9]}; &new{2013-12-26 (木) 20:32:26};
-LFホルスでノーコンです。ちなみに、プロです。 -- &color(#999){ [id:YjJ13]}; &new{2013-12-26 (木) 23:56:51};
-プロで進化後ドロするようになってんだけど・・・ -- &color(#999){ [id:Zjg108]}; &new{2013-12-27 (金) 02:48:22};
-ごめん↑書く前に訂正読んでなかった。昨日からなのね -- &color(#999){ [id:Zjg108]}; &new{2013-12-27 (金) 02:51:38};
-パズドラネーム。 -- &color(#999){ [id:NTd52]}; &new{2013-12-27 (金) 10:47:15};
-ナンデこれは簡単に進化後がドロップして、森羅万象は進化後ドロしてくれなかったのか -- &color(#999){ [id:NjF192]}; &new{2013-12-27 (金) 10:53:51};
-2倍時での上級、中級のドロップ率はどれくらいなのでしょうか？ -- &color(#999){ [id:Yzk236]}; &new{2013-12-28 (土) 12:42:19};
-超級でも、サクサク周回出来ない。俺って弱い。 -- &color(#999){ [id:ZDU47]}; &new{2013-12-28 (土) 13:18:38};
-超級何パで周回してる？アテナは結構キツい。サクヤはフレンド不足。ホルスかな？ -- &color(#999){ [id:ZDU47]}; &new{2013-12-28 (土) 13:25:50};
-↑ｻﾀﾝか猫でいいんじゃない -- &color(#999){ [id:ZTA127]}; &new{2013-12-28 (土) 20:12:23};
-↑あるならゼウステンプレオススメよ  つーかフウとルカのスキル上げハゲる  素材集めのスタミナを考えるとやばそうだから超級回ってるんだがどう思う？ -- &color(#999){ [id:N2F160]}; &new{2013-12-28 (土) 20:47:54};
-青瞬英ってなんですか？文字化けでもしてるんですか？末尾に絵文字やめたほうがいいですよ -- &color(#999){ [id:YjM61]}; &new{2013-12-28 (土) 21:19:15};
-プロ闇ノエル×天ルシでいく場合は25%まで減ってからギガグラギガグラ明星じゃないと削り切れないので注意 -- &color(#999){ [id:OTZ168]}; &new{2013-12-28 (土) 21:56:52};
-↑ちなみに上で要検証と書かれているギガグラギガグラ虹ドラウンのパーティーな -- &color(#999){ [id:OTZ168]}; &new{2013-12-28 (土) 22:02:07};
-超級なら、LFクシ、アテナ、メイ（或いは赤チェイサー）・・・HP15000、回復2000弱あれば安定。 -- &color(#999){ [id:NjJ60]}; &new{2013-12-29 (日) 00:05:46};
-超級はLFハク、S水バットマン、青おでん、ヴォイス、エキドナ  (イース、大國、究極ロキ、エキドナ)とりあえずHP18000ほどあればターン被ってても死なないかな -- &color(#999){ [id:NTg91]}; &new{2013-12-29 (日) 00:15:01};
-プロもＬアマテラス＋Fオデンで楽勝です。ピトーの出る階次第では負けますが。 -- &color(#999){ [id:MTk200]}; &new{2013-12-29 (日) 01:02:34};
-地獄級、ＬＦ：ウルズ・ソニアＰＴで安定です。Ｓはヘラ、ロード、究極ピエドラ、キンワルですが、キンワル以外は自由に組み替えても問題ないです。ステータスと相談です。 -- &color(#999){ [id:MTc34]}; &new{2013-12-29 (日) 01:35:51};
-進化考えたら超級で良いと思う。ゼウススキル上げ終わってないから、ラース貯めるの面倒なんだよな。そうは言っても、フレンドの関係からゼウスパが周回向きですね。サタンパはまだ行ってないけど、安定する？回ってる感じだと安定しない気がして行ってないけど？ -- &color(#999){ [id:OWY5]}; &new{2013-12-29 (日) 08:24:56};
-超級、サタン麒麟で育ち切ってなくてもほぼ安定。プロ、麒麟で1コン。上手く行けばノーコンも可能 -- &color(#999){ [id:YWF19]}; &new{2013-12-29 (日) 08:32:33};
-サタン麒麟だと、麒麟麒麟の方が良いんだよな。サタンサタンで安定なら、フレンド多いし、ゼウスよりサタンかなと思うけど。 -- &color(#999){ [id:OWY5]}; &new{2013-12-29 (日) 08:42:07};
-あと、麒麟で周回してると直ぐ眠くなって、長続きしな^_^周回は脳停止で回れないと厳しい。 -- &color(#999){ [id:OWY5]}; &new{2013-12-29 (日) 08:45:25};
-麒麟は降臨用に使ってるんで、使い慣れたサタンの方が自分は気楽に回せます。麒麟の方が安定はしそうですね。レベルマなら＋無しでも安定しそうですけどね。 -- &color(#999){ [id:YWR1]}; &new{2013-12-29 (日) 09:13:50};
-↑↑↑サタンでも -- &color(#999){ [id:YWR1]}; &new{2013-12-29 (日) 09:15:06};
-赤ソニアでいってねけど、ピトーで回復なくて詰んでばっかりだわ -- &color(#999){ [id:NTV58]}; &new{2013-12-29 (日) 09:49:30};
-ペルセポネのスキル上げのためにザザン集めてるんだけど、上級、超級、プロ級どれが一番効率いいんだろ。プロ級でも1/2だし他のスキル上げ系に比べて大分効率悪い気がするわ -- &color(#999){ [id:OGU76]}; &new{2013-12-29 (日) 16:14:05};
-↑いや、今回のは全部1/2だから全部効率悪いからな？ 進化素材のことも考えると超級より上がいいと思うぞ -- &color(#999){ [id:N2F160]}; &new{2013-12-29 (日) 16:24:06};
-背骨スキラゲ完了。超級128周。副産物で、王2体スキルマ。 -- &color(#999){ [id:N2Z197]}; &new{2013-12-29 (日) 22:51:12};
-王がほしくて超級チャレンジしたけどバトル１で敗退。上級で王はドロップしますか？ -- &color(#999){ [id:OTh39]}; &new{2013-12-30 (月) 08:00:50};
-↑中級でもする -- &color(#999){ [id:MjN132]}; &new{2013-12-30 (月) 13:32:03};
-↑きもい。 -- &color(#999){ [id:Zjc76]}; &new{2013-12-31 (火) 01:02:56};
-光ホルスでワンパンww -- &color(#999){ [id:YmY72]}; &new{2013-12-31 (火) 09:02:07};
-落ちこん重なっただけどねw -- &color(#999){ [id:YmY72]}; &new{2013-12-31 (火) 09:03:03};
-↑5 ありがとうございます♪遅くなってすいません。頑張ります -- &color(#999){ [id:M2E180]}; &new{2013-12-31 (火) 09:49:38};
-1.5倍時、2倍時に上級回ってれば終わるまでに1体は落ちると思う。王のLSかなり優秀だから確保頑張って -- &color(#999){ [id:ZjF106]}; &new{2013-12-31 (火) 17:39:56};
-↑王って強いか？ -- &color(#999){ [id:Mjh59]}; &new{2013-12-31 (火) 19:58:47};
-↑2進化しないと強くないね！ -- &color(#999){ [id:MTN210]}; &new{2013-12-31 (火) 20:49:38};
-イザナギを持っていない人には使えるかと。 -- &color(#999){ [id:OWI90]}; &new{2013-12-31 (火) 22:44:52};
-↑LSは初心者用だけど、コスト、メンツ的にはスキルは使いづらいと思う。アテナパならまだサンダーエンハの方が使いやすいと思う。 -- &color(#999){ [id:NWU3]}; &new{2013-12-31 (火) 23:20:26};
-もうスキル上がらず、心折れてきたが、地獄はゼウスパが良いと思う。 -- &color(#999){ [id:ZDU47]}; &new{2014-01-01 (水) 11:12:35};
-地獄の一階ピトームリゲーだった。9ターン粘ったが、回復消されさようなら。 -- &color(#999){ [id:ZDU47]}; &new{2014-01-01 (水) 18:44:31};
-ルカ以外全員スキルマになるまで回ったけど、そういやピトーに一度も出会ってないわ -- &color(#999){ [id:MDB114]}; &new{2014-01-05 (日) 15:41:30};
-L闇ノエル、F天ルシ、S虹番×４でなんとか超級ノーコン -- &color(#999){ [id:ZDF215]}; &new{2014-01-05 (日) 16:25:35};
-↑けど、時間がかかりすぎるので、あまりおすすめしない -- &color(#999){ [id:ZDF215]}; &new{2014-01-05 (日) 16:28:59};
-ガチャ回したらデュエルマスターズコラボキャラしかでねーww -- &color(#999){ [id:MGQ176]&good(e26c74-MGQ176);}; &new{2015-07-20 (月) 00:06:46};
-これは炎上の予感 -- &color(#999){ [id:NTg100]&good(26182f-NTg100);}; &new{2015-07-20 (月) 00:12:11};
-ガチャエラーひどい -- &color(#999){ [id:NDR137]&good(a9f039-NDR137);}; &new{2015-07-20 (月) 01:52:33};
-随分難易度上がったね -- &color(#999){ [id:NTh31]&good(17b806-NTh31);}; &new{2015-07-20 (月) 11:44:15};
-超プロ級ユピー、単発ダメージでした -- &color(#999){ [id:OGM123]&good(61be5b-OGM123);}; &new{2015-07-20 (月) 12:56:15};
-クリアだけだったら。 L覚醒ホルス、Ｆベジット、サブーエキドナ、エキドナ、闇メタ、緑オーディン。  リーダーフレンドで16倍が発動できて、エキドナがスキルマ2体と、色が揃う＆バインド耐性あればいけるかと思います。 -- &color(#999){ [id:NmM237]&good(22c2f4-NmM237);}; &new{2015-07-20 (月) 23:26:42};
-↑バランス糞 -- &color(#999){ [id:MWN157]&good(031c63-MWN157);}; &new{2015-07-22 (水) 07:44:47};
-クリアだけだったらもう何パでも行けるやろ。どうせならSランクのやつのせてください -- &color(#999){ [id:NDN39]&good(6f6bb7-NDN39);}; &new{2015-08-01 (土) 16:33:33};
