*天空龍の領域【回復なし】 [#s58610b4]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|宵闇の空		|30|10|24000|14009|&color(#080){''466''};|
|暁光の空		|30|10|24000|14009|&color(#080){''466''};|
|深緑の空		|30|10|24000|14009|&color(#080){''466''};|
|蒼海の空		|30|10|24000|14009|&color(#080){''466''};|
|緋天の空		|30|10|24000|14009|&color(#080){''466''};|

- 「[[伝説龍の足跡>ダンジョン/伝説龍の足跡]]」のクリアで出現
- スペシャルダンジョン「[[炎の天空龍>スペシャルダンジョン/炎の天空龍（回復なし）]]」「[[水の天空龍>スペシャルダンジョン/水の天空龍（回復なし）]]」「[[樹の天空龍>スペシャルダンジョン/樹の天空龍（回復なし）]]」「[[光の天空龍>スペシャルダンジョン/光の天空龍（回復なし）]]」「[[闇の天空龍>スペシャルダンジョン/闇の天空龍（回復なし）]]」の超級と同じ構成。消費スタミナが異なる。（50→30）
- 2015/06/02 幻獣シリーズが追加

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|5|[[大花龍ブラキオス>モンスター図鑑/0012]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''9375''};|&color(#b00){5};||||
|9|[[アルラウネ>モンスター図鑑/0093]]x2		|BGCOLOR(#bbf1a6):木|&color(#b00){''4312''};|&color(#b00){2};||||
|10|[[樹天龍・ホウライ>モンスター図鑑/0218]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''15570''};|&color(#b00){3};|1056900|||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):暁光の空|
||[[ハーピィデビル>モンスター図鑑/0197]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''2828''};|&color(#b00){1};||||
||[[ホワイトナイト>モンスター図鑑/0075]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''4146''};|&color(#b00){2};||||
||[[光の魔剣士>モンスター図鑑/0104]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''5830''};|&color(#b00){3};||||
||[[聖女の守護獣・ユニコーン>モンスター図鑑/0405]] 	|BGCOLOR(#f1f1a6):光|&color(#b00){''13664''};|&color(#b00){2};|256500||稀に出現、確定ドロップ|
|5|[[ホーリードラゴン>モンスター図鑑/0032]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''3390''};|&color(#b00){3};||||
|9|[[エンジェル>モンスター図鑑/0095]]x2		|BGCOLOR(#f1f1a6):光|&color(#b00){''4500''};|&color(#b00){2};||||
|10|[[聖天龍・シャングリラ>モンスター図鑑/0219]]|BGCOLOR(#f1f1a6):光|&color(#b00){''6570''};|&color(#b00){2};|831900|920||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):宵闇の空|
||[[ブラッドデビル>モンスター図鑑/0199]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''2898''};|&color(#b00){1};||||
||[[ブラックナイト>モンスター図鑑/0077]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''4216''};|&color(#b00){2};||||
||[[闇の魔剣士>モンスター図鑑/0108]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''5276''};|&color(#b00){3};||||
||[[地獄の番犬・ケルベロス>モンスター図鑑/0407]]|BGCOLOR(#bba6f1):闇|&color(#b00){''21062''};|&color(#b00){3};|||稀に出現、確定ドロップ|
|5|[[デビルドラゴン>モンスター図鑑/0035]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''3600''};|&color(#b00){3};|54750|||
|9|[[リリス>モンスター図鑑/0097]]x2		|BGCOLOR(#bba6f1):闇|&color(#b00){''4664''};|&color(#b00){2};|136856|||
|10|[[夜天龍・エリュシオン>モンスター図鑑/0220]]|BGCOLOR(#bba6f1):闇|&color(#b00){''6570''};|&color(#b00){1};|906900|920||

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

* コメント [#ve05d2db]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
