* デュエル・マスターズ コラボ [#v50435b8]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|革命伝説 革命級（テクニカル）	|50|6|32000|27000|&color(#080){''&calc(27000/50,1);''};|
|革命伝説 侵略級（テクニカル）	|45|6|22000|19000|&color(#080){''&calc(19000/45,1);''};|
|革命伝説 超級（テクニカル）		|40|6|15000|13000|&color(#080){''&calc(13000/40,1);''};|
|革命伝説 上級（テクニカル）		|25|6|8000|7400|&color(#080){''&calc(7400/25,1);''};|
|革命伝説 中級（テクニカル）		|15|5|2800|2500|&color(#080){''&calc(2500/15,1);''};|

- [[デュエル・マスターズ:http://pad.gungho.jp/member/dm.html]]とコラボレーション
- コラボモンスターと同一スキルを持つカードを稀にドロップ（ボスで2種）
-- 2015/06/27 カード追加（道中で5種）

|~面|~名前	|~属性|~攻撃力|~後|~HP|~防御|~備考|
||&mons2159; [[雷光の使徒ミール>モンスター図鑑/2159]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''5820''};|&color(#b00){1};|436200|160|※稀に[[ウルスカード>モンスター図鑑/2204]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):100万ボルトの電光（計6984の連続攻撃）&br;雷光（2ターン闇属性吸収）==HP70％以下で使用==&br;ジャッジメント・アロー（計10476の連続攻撃）==HP20％以下で使用==|
||&mons2161; [[マッド・ギター>モンスター図鑑/2161]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''6211''};|&color(#b00){1};|316200|160|※稀に[[カチュアカード>モンスター図鑑/2200]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===魔の演奏（残りHP50％ダメージ）&br;闇の旋律（1体2ターンバインド）|
|3|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2156; [[クリスタル・パラディン>モンスター図鑑/2156]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''6900''};|&color(#b00){1};|2582100|280|※稀に[[グレートブルーカード>モンスター図鑑/2202]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):氷槍パラディン・スピア（9660ダメージ＆横3列目→水ドロップ）==HP80％以下で使用==&br;禁断のプログラム（全員のスキル0～2ターン遅延）==HP50％以下で使用==|
|~|&mons2158; [[シェル・フォートレス>モンスター図鑑/2158]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){4};|35|1000000|※稀に[[呪紋の化身カード>モンスター図鑑/2203]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===自然の鳴動（999ターン状態異常無効）&br;大地削り（計96300の連続攻撃）|
|5|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2160; [[聖天使クラウゼ・バルキューラ>モンスター図鑑/2160]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|2777100|280|※稀に[[ウルスカード>モンスター図鑑/2204]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===高速突撃（6783ダメージ＆縦2,5列目→光ドロップ）&br;Ｗ・ブレイカー（計9690の連続攻撃）&br;オプティック・バインド（光属性2ターンバインド）==HP50％以下で使用==&br;フォトニック・チャージ（HP30％回復）==HP50％以下で使用==|
|~|&mons2162; [[死鬼者デスワルツ>モンスター図鑑/2162]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''9540''};|&color(#b00){2};|3159600|280|※稀に[[カチュアカード>モンスター図鑑/2200]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===死の合奏（残りHP99％ダメージ）&br;闇の旋律（1体2ターンバインド）&br;悪魔のダンス（11448ダメージ＆1ターンスキル使用不可）|
|6|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2151; [[精霊龍ライトデュエル・煌牙>モンスター図鑑/2151]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|4053900|520|※稀に[[ボルメテウスカード>モンスター図鑑/2177]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):#group#===先制===精霊龍の煌翼（999ターン状態異常無効）==下記と同時に使用==&br;光明の羽（4ターン4コンボ以下の攻撃吸収）#group#&br;Ｗ・ブレイカー（計11970の連続攻撃）&br;白光の龍輪（9576ダメージ＆2体2ターンバインド）==HP80％以下で使用==&br;エレメンタル・スラッシュ（16758ダメージ＆横5列目→お邪魔ドロップ）==HP65％以下で使用==&br;精霊龍の煌牙（計19152の連続攻撃）==HP30％以下で使用==|
|~|&mons2152; [[悪魔龍ダークマスターズ・滅角>モンスター図鑑/2152]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|3468900|520|※稀に[[ロマノフカード>モンスター図鑑/2178]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):#group#===先制===悪魔龍の滅角（999ターン状態異常無効）==下記と同時に使用==&br;封印の暗黒（3ターンスキル使用不可）#group#&br;Ｗ・ブレイカー（計12870の連続攻撃）&br;#group#絶望のパズル（ドロップが見えなくなる）==HP50％以下で下記と同時に使用==&br;隠されし希望（全ドロップ→火・水・木・光・闇）#group#&br;漆黒の龍輪（11583ダメージ＆回復ドロップ→お邪魔ドロップ）==HP80％以下で使用==&br;デーモンヘルブレス（計38610の連続攻撃）==HP20％以下で使用==|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):革命伝説 侵略級|
||&mons2153; [[コッコ・ルピア>モンスター図鑑/2153]]		|BGCOLOR(#f1bba6):火|&color(#b00){''3335''};|&color(#b00){1};|||※稀に[[ボルシャックカード>モンスター図鑑/2201]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):たたかうッピ！（999ターン攻撃力2倍）&br;竜呼びの舞（ドラゴンタイプ1ターンバインド）==HP50％以下で使用==|
||&mons2154; [[マッハ・ルピア>モンスター図鑑/2154]]		|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|||※稀に[[ボルシャックカード>モンスター図鑑/2201]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===マッハダイブ（1651）&br;パワーダイブ（計4954の連続攻撃）&br;竜呼びの舞（ドラゴンタイプ1ターンバインド）==HP50％以下で使用==|
||&mons2155; [[アクア・サーファー>モンスター図鑑/2155]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''3640''};|&color(#b00){1};|||※稀に[[グレートブルーカード>モンスター図鑑/2202]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):波がきてるね～、俺♪（補助スキル解除）&br;アクア・360°（4368ダメージ＆縦2,3列目→水ドロップ）==HP80％以下で使用==&br;神秘のサーフボード（全員のスキル0～1ターン遅延）==HP50％以下で使用==|
||&mons2157; [[シェル・ファクトリーγ>モンスター図鑑/2157]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){2};|17|1000000|※稀に[[呪紋の化身カード>モンスター図鑑/2203]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):サバイバー大増殖（2ターン被ダメージ50％減）&br;サバイバー総攻撃（計31720の連続攻撃）|
||&mons2159; [[雷光の使徒ミール>モンスター図鑑/2159]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''3945''};|&color(#b00){1};|||※稀に[[ウルスカード>モンスター図鑑/2204]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):100万ボルトの電光（計4734の連続攻撃）&br;雷光（2ターン闇属性吸収）==HP70％以下で使用==&br;ジャッジメント・アロー（計7101の連続攻撃）==HP20％以下で使用==|
||&mons2161; [[マッド・ギター>モンスター図鑑/2161]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''4209''};|&color(#b00){1};|||※稀に[[カチュアカード>モンスター図鑑/2200]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===魔の演奏（残りHP50％ダメージ）&br;闇の旋律（1体2ターンバインド）|
|3|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2156; [[クリスタル・パラディン>モンスター図鑑/2156]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''4677''};|&color(#b00){1};|||※稀に[[グレートブルーカード>モンスター図鑑/2202]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):氷槍パラディン・スピア（6548ダメージ＆横3列目→水ドロップ）==HP80％以下で使用==&br;禁断のプログラム（全員のスキル0～2ターン遅延）==HP50％以下で使用==|
|~|&mons2158; [[シェル・フォートレス>モンスター図鑑/2158]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){4};|28|1000000|※稀に[[呪紋の化身カード>モンスター図鑑/2203]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===自然の鳴動（999ターン状態異常無効）&br;大地削り（計65270の連続攻撃）|
|5|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2160; [[聖天使クラウゼ・バルキューラ>モンスター図鑑/2160]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|||※稀に[[ウルスカード>モンスター図鑑/2204]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===高速突撃（4598ダメージ＆縦2,5列目→光ドロップ）&br;Ｗ・ブレイカー（計6568の連続攻撃）&br;オプティック・バインド（光属性2ターンバインド）==HP50％以下で使用==&br;フォトニック・チャージ（HP30％回復）==HP50％以下で使用==|
|~|&mons2162; [[死鬼者デスワルツ>モンスター図鑑/2162]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''6466''};|&color(#b00){2};|||※稀に[[カチュアカード>モンスター図鑑/2200]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===死の合奏（残りHP99％ダメージ）&br;闇の旋律（1体2ターンバインド）&br;悪魔のダンス（7759ダメージ＆1ターンスキル使用不可）|
|6|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2151; [[精霊龍ライトデュエル・煌牙>モンスター図鑑/2151]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|||※稀に[[ボルメテウスカード>モンスター図鑑/2177]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):#group#===先制===精霊龍の煌翼（999ターン状態異常無効）==下記と同時に使用==&br;光明の羽（4ターン4コンボ以下の攻撃吸収）#group#&br;Ｗ・ブレイカー（計8114の連続攻撃）&br;白光の龍輪（6490ダメージ＆2体2ターンバインド）==HP80％以下で使用==&br;エレメンタル・スラッシュ（11358ダメージ＆横5列目→お邪魔ドロップ）==HP65％以下で使用==&br;精霊龍の煌牙（計12980の連続攻撃）==HP30％以下で使用==|
|~|&mons2152; [[悪魔龍ダークマスターズ・滅角>モンスター図鑑/2152]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|||※稀に[[ロマノフカード>モンスター図鑑/2178]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):#group#===先制===悪魔龍の滅角（999ターン状態異常無効）==下記と同時に使用==&br;封印の暗黒（3ターンスキル使用不可）#group#&br;Ｗ・ブレイカー（計8724の連続攻撃）&br;#group#絶望のパズル（ドロップが見えなくなる）==HP50％以下で下記と同時に使用==&br;隠されし希望（全ドロップ→火・水・木・光・闇）#group#&br;漆黒の龍輪（7851ダメージ＆回復ドロップ→お邪魔ドロップ）==HP80％以下で使用==&br;デーモンヘルブレス（計26169の連続攻撃）==HP20％以下で使用==|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):革命伝説 超級|
||&mons2153; [[コッコ・ルピア>モンスター図鑑/2153]]		|BGCOLOR(#f1bba6):火|&color(#b00){''2278''};|&color(#b00){1};|||※稀に[[ボルシャックカード>モンスター図鑑/2201]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):たたかうッピ！（999ターン攻撃力2倍）&br;竜呼びの舞（ドラゴンタイプ1ターンバインド）==HP50％以下で使用==|
||&mons2154; [[マッハ・ルピア>モンスター図鑑/2154]]		|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|||※稀に[[ボルシャックカード>モンスター図鑑/2201]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===マッハダイブ（1128）&br;パワーダイブ（計3383の連続攻撃）&br;竜呼びの舞（ドラゴンタイプ1ターンバインド）==HP50％以下で使用==|
||&mons2155; [[アクア・サーファー>モンスター図鑑/2155]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''2486''};|&color(#b00){1};|||※稀に[[グレートブルーカード>モンスター図鑑/2202]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):波がきてるね～、俺♪（補助スキル解除）&br;アクア・360°（2983ダメージ＆縦2,3列目→水ドロップ）==HP80％以下で使用==&br;神秘のサーフボード（全員のスキル0～1ターン遅延）==HP50％以下で使用==|
||&mons2157; [[シェル・ファクトリーγ>モンスター図鑑/2157]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){2};|15|1000000|※稀に[[呪紋の化身カード>モンスター図鑑/2203]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):サバイバー大増殖（2ターン被ダメージ50％減）&br;サバイバー総攻撃（計21665の連続攻撃）|
||&mons2159; [[雷光の使徒ミール>モンスター図鑑/2159]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''2694''};|&color(#b00){1};|||※稀に[[ウルスカード>モンスター図鑑/2204]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):100万ボルトの電光（計3232の連続攻撃）&br;雷光（2ターン闇属性吸収）==HP70％以下で使用==&br;ジャッジメント・アロー（計4849の連続攻撃）==HP20％以下で使用==|
||&mons2161; [[マッド・ギター>モンスター図鑑/2161]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''2875''};|&color(#b00){1};|||※稀に[[カチュアカード>モンスター図鑑/2200]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===魔の演奏（残りHP50％ダメージ）&br;闇の旋律（1体2ターンバインド）|
|3|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2156; [[クリスタル・パラディン>モンスター図鑑/2156]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''3194''};|&color(#b00){1};|||※稀に[[グレートブルーカード>モンスター図鑑/2202]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):氷槍パラディン・スピア（4472ダメージ＆横3列目→水ドロップ）==HP80％以下で使用==&br;禁断のプログラム（全員のスキル0～2ターン遅延）==HP50％以下で使用==|
|~|&mons2158; [[シェル・フォートレス>モンスター図鑑/2158]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){4};|23|1000000|※稀に[[呪紋の化身カード>モンスター図鑑/2203]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===自然の鳴動（999ターン状態異常無効）&br;大地削り（計44580の連続攻撃）|
|5|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2160; [[聖天使クラウゼ・バルキューラ>モンスター図鑑/2160]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|||※稀に[[ウルスカード>モンスター図鑑/2204]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===高速突撃（3140ダメージ＆縦2,5列目→光ドロップ）&br;Ｗ・ブレイカー（計4486の連続攻撃）&br;オプティック・バインド（光属性2ターンバインド）==HP50％以下で使用==&br;フォトニック・チャージ（HP30％回復）==HP50％以下で使用==|
|~|&mons2162; [[死鬼者デスワルツ>モンスター図鑑/2162]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''4417''};|&color(#b00){2};|||※稀に[[カチュアカード>モンスター図鑑/2200]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===死の合奏（残りHP99％ダメージ）&br;闇の旋律（1体2ターンバインド）&br;悪魔のダンス（5300ダメージ＆1ターンスキル使用不可）|
|6|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2151; [[精霊龍ライトデュエル・煌牙>モンスター図鑑/2151]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|||※稀に[[ボルメテウスカード>モンスター図鑑/2177]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):#group#===先制===精霊龍の煌翼（999ターン状態異常無効）==下記と同時に使用==&br;光明の羽（4ターン4コンボ以下の攻撃吸収）#group#&br;Ｗ・ブレイカー（計5542の連続攻撃）&br;白光の龍輪（4434ダメージ＆2体2ターンバインド）==HP80％以下で使用==&br;エレメンタル・スラッシュ（7759ダメージ＆横5列目→お邪魔ドロップ）==HP65％以下で使用==&br;精霊龍の煌牙（計8868の連続攻撃）==HP30％以下で使用==|
|~|&mons2152; [[悪魔龍ダークマスターズ・滅角>モンスター図鑑/2152]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|||※稀に[[ロマノフカード>モンスター図鑑/2178]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):#group#===先制===悪魔龍の滅角（999ターン状態異常無効）==下記と同時に使用==&br;封印の暗黒（3ターンスキル使用不可）#group#&br;Ｗ・ブレイカー（計5958の連続攻撃）&br;#group#絶望のパズル（ドロップが見えなくなる）==HP50％以下で下記と同時に使用==&br;隠されし希望（全ドロップ→火・水・木・光・闇）#group#&br;漆黒の龍輪（5362ダメージ＆回復ドロップ→お邪魔ドロップ）==HP80％以下で使用==&br;デーモンヘルブレス（計17874の連続攻撃）==HP20％以下で使用==|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):革命伝説 上級|
||&mons2153; [[コッコ・ルピア>モンスター図鑑/2153]]		|BGCOLOR(#f1bba6):火|&color(#b00){''692''};|&color(#b00){1};|42391|32|※稀に[[ボルシャックカード>モンスター図鑑/2201]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons2155; [[アクア・サーファー>モンスター図鑑/2155]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''756''};|&color(#b00){1};|48724|32|※稀に[[グレートブルーカード>モンスター図鑑/2202]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons2157; [[シェル・ファクトリーγ>モンスター図鑑/2157]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''1317''};|&color(#b00){2};|12|1000000|※稀に[[呪紋の化身カード>モンスター図鑑/2203]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons2159; [[雷光の使徒ミール>モンスター図鑑/2159]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''819''};|&color(#b00){1};|61391|32|※稀に[[ウルスカード>モンスター図鑑/2204]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons2161; [[マッド・ギター>モンスター図鑑/2161]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''874''};|&color(#b00){1};|44502|32|※稀に[[カチュアカード>モンスター図鑑/2200]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|3|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2156; [[クリスタル・パラディン>モンスター図鑑/2156]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''971''};|&color(#b00){1};|363407|56|※稀に[[グレートブルーカード>モンスター図鑑/2202]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons2158; [[シェル・フォートレス>モンスター図鑑/2158]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''1355''};|&color(#b00){4};|16|1000000|※稀に[[呪紋の化身カード>モンスター図鑑/2203]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|5|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2160; [[聖天使クラウゼ・バルキューラ>モンスター図鑑/2160]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''1364''};|&color(#b00){1};|390851|56|※稀に[[ウルスカード>モンスター図鑑/2204]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons2162; [[死鬼者デスワルツ>モンスター図鑑/2162]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''1343''};|&color(#b00){2};|444684|56|※稀に[[カチュアカード>モンスター図鑑/2200]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|6|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2151; [[精霊龍ライトデュエル・煌牙>モンスター図鑑/2151]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''1685''};|&color(#b00){1};|570549|104|※稀に[[ボルメテウスカード>モンスター図鑑/2177]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons2152; [[悪魔龍ダークマスターズ・滅角>モンスター図鑑/2152]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''1811''};|&color(#b00){1};|488216|104|※稀に[[ロマノフカード>モンスター図鑑/2178]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):革命伝説 中級|
||&mons2153; [[コッコ・ルピア>モンスター図鑑/2153]]		|BGCOLOR(#f1bba6):火|&color(#b00){''164''};|&color(#b00){1};|10040|16|※稀に[[ボルシャックカード>モンスター図鑑/2201]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons2155; [[アクア・サーファー>モンスター図鑑/2155]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''179''};|&color(#b00){1};|11540|16|※稀に[[グレートブルーカード>モンスター図鑑/2202]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons2157; [[シェル・ファクトリーγ>モンスター図鑑/2157]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''312''};|&color(#b00){2};|11|1000000|※稀に[[呪紋の化身カード>モンスター図鑑/2203]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons2159; [[雷光の使徒ミール>モンスター図鑑/2159]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''194''};|&color(#b00){1};|14540|16|※稀に[[ウルスカード>モンスター図鑑/2204]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons2161; [[マッド・ギター>モンスター図鑑/2161]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''207''};|&color(#b00){1};|10540|16|※稀に[[カチュアカード>モンスター図鑑/2200]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|5|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons2151; [[精霊龍ライトデュエル・煌牙>モンスター図鑑/2151]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''399''};|&color(#b00){1};|135130|52|※稀に[[ボルメテウスカード>モンスター図鑑/2177]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons2152; [[悪魔龍ダークマスターズ・滅角>モンスター図鑑/2152]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''429''};|&color(#b00){1};|115630|52|※稀に[[ロマノフカード>モンスター図鑑/2178]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

** 公開履歴 [#hfb76c35]

//最新3件
|~ |~日時|~備考|
|2|2016/01/18～2016/01/31||
|1|2015/06/22～2015/07/05||

** スキル上げ用途 [#rf636b77]

|~素材|~スキル（最大Lv）|~対象モンスター|
|&mons2154;|イモータルガード (6)|&mons2094;|
|&mons2156;|ディープスパイラル (6)|&mons2096;|
|&mons2158;|ロイヤルゲイル (6)|&mons2098;|
|&mons2160;|セイクリッドホーン (6)|&mons2100;|
|&mons2177;|ボルメテウス・Ｗ・フレア (6)|&mons2166;|
