* パズバト コラボ [#xdf985aa]

|~名称 |~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|龍の寝床 地獄級（テクニカル）	|50|7|30000|19000|&color(#080){''380''};|
|龍の寝床 超級（テクニカル）		|40|7|27000|13000|&color(#080){''325''};|
|龍の寝床 上級（テクニカル）		|25|7|9200|1600|&color(#080){''64''};|
|龍の寝床 中級（テクニカル）		|15|5|2000|550|&color(#080){''36''};|

- [[パズドラ バトルトーナメント:http://mobile.gungho.jp/news/pad/140424_padbt.html]]とコラボレーション
- 2015/05/11 「ヨウたまドラ」「ティンニンたまドラ」が追加

|~面|~モンスター |~属性|~攻撃力|~後|~HP|~防御|~備考|
|~|&mons263; [[マグマキマイラ>モンスター図鑑/0263]]	|BGCOLOR(#f1bba6):火|&color(#b00){''9882''};|&color(#b00){2};|570757|980||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）&br;ダブルバインド|
|~|&mons265; [[ディープキマイラ>モンスター図鑑/0265]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''9740''};|&color(#b00){2};|565673|980||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）&br;ダブルバインド|
|~|&mons267; [[フラワーキマイラ>モンスター図鑑/0267]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''9577''};|&color(#b00){2};|560590|980||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）&br;ダブルバインド|
|~|&mons269; [[サンダーキマイラ>モンスター図鑑/0269]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''10045''};|&color(#b00){2};|575840|980||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）&br;ダブルバインド|
|~|&mons271; [[フォッグキマイラ>モンスター図鑑/0271]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''10187''};|&color(#b00){2};|580293|980||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）&br;ダブルバインド|
|4|&mons078; [[フレイムガーディアン>モンスター図鑑/0078]]	|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){3};|525583|7800||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):防御の構え（先制・999ターン状態異常無効）&br;クラッシャーハンド（9822）|
|~|&mons082; [[アースガーディアン>モンスター図鑑/0082]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){3};|572806|7800||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):防御の構え（先制・999ターン状態異常無効）&br;クラッシャーハンド（10956）|
|5|&mons1275; [[ジャッジゴーレム>モンスター図鑑/1275]]	|BGCOLOR(#f1bba6):火木|&color(#b00){''15120''};|&color(#b00){3};|835650|3200|※稀に[[ヨウたまドラ>モンスター図鑑/2071]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):資格ノ有無ヲ確認スル（先制・3ターンスキル使用不可）&br;我ガ力ヲ、行使スル（12852ダメージ＆ランダム1色→木ドロップ）&br;異常事態、発生（連続攻撃18900）==HP30％以下で使用==|
|6|&mons1276; [[マドロミドラゴン>モンスター図鑑/1276]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''10140''};|&color(#b00){2};|1503750|0||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):その力を見せてみなさい（先制・何もしない）&br;どれ、遊んでやろう（10140ダメージ＆ランダム1色→ランダムに変換）&br;これはまずいのう（次回攻撃力5倍）==HP30％以下で使用==|
|7|&mons1277; [[カクセイドラゴン>モンスター図鑑/1277]]	|BGCOLOR(#bba6f1):闇光|&color(#b00){''9720''};|&color(#b00){1};|2856900||※稀に[[ティンニンたまドラ>モンスター図鑑/2072]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):行くぞ、人の子よ（先制・プレイヤーのHP全回復）&br;耐えてみよ（5832ダメージ＆ランダム1色→お邪魔ドロップ）&br;これぞドラゴンの真なる技（999ターン3コンボ以下の攻撃吸収）==HP50％以下で使用==&br;これで終わりにしてやろう（連続攻撃14580）==HP30％以下で使用==|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):龍の寝床 超級|
|1|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons037; [[デカホノりん>モンスター図鑑/0037]]		|BGCOLOR(#f1bba6):火|&color(#b00){''1431''};|&color(#b00){1};|21778|100||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons039; [[デカアワりん>モンスター図鑑/0039]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''1493''};|&color(#b00){1};|28000|100||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons041; [[デカモリりん>モンスター図鑑/0041]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''1618''};|&color(#b00){1};|34222|100||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons043; [[デカヒカりん>モンスター図鑑/0043]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''1680''};|&color(#b00){1};|42000|100||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons045; [[デカワルりん>モンスター図鑑/0045]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''1867''};|&color(#b00){1};|48222|100||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|2|&mons191; [[パイロデビル>モンスター図鑑/0191]]		|BGCOLOR(#f1bba6):火|&color(#b00){''2359''};|&color(#b00){1};|12912|980||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons193; [[フロストデビル>モンスター図鑑/0193]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''2379''};|&color(#b00){1};|13013|980||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons195; [[タウロスデビル>モンスター図鑑/0195]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''2420''};|&color(#b00){1};|13115|980||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons197; [[ハーピィデビル>モンスター図鑑/0197]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''2440''};|&color(#b00){1};|13318|980||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons199; [[ブラッドデビル>モンスター図鑑/0199]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''2501''};|&color(#b00){1};|13420|980||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|3|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons263; [[マグマキマイラ>モンスター図鑑/0263]]	|BGCOLOR(#f1bba6):火|&color(#b00){''6750''};|&color(#b00){2};|389861|700||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）&br;ダブルバインド|
|~|&mons265; [[ディープキマイラ>モンスター図鑑/0265]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''6653''};|&color(#b00){2};|386389|700||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）&br;ダブルバインド|
|~|&mons267; [[フラワーキマイラ>モンスター図鑑/0267]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''6542''};|&color(#b00){2};|382917|700||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）&br;ダブルバインド|
|~|&mons269; [[サンダーキマイラ>モンスター図鑑/0269]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''6861''};|&color(#b00){2};|393333|700||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）&br;ダブルバインド|
|~|&mons271; [[フォッグキマイラ>モンスター図鑑/0271]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''6958''};|&color(#b00){2};|396806|700||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）&br;ダブルバインド|
|4|&mons078; [[フレイムガーディアン>モンスター図鑑/0078]]	|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){3};|346267|5200||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):防御の構え（先制・999ターン状態異常無効）&br;クラッシャーハンド（6471）|
|~|&mons082; [[アースガーディアン>モンスター図鑑/0082]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){3};|475092|5200||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):防御の構え（先制・999ターン状態異常無効）&br;クラッシャーハンド（9084）|
|5|&mons1275; [[ジャッジゴーレム>モンスター図鑑/1275]]	|BGCOLOR(#f1bba6):火木|&color(#b00){''10248''};|&color(#b00){3};|566385|2240|※稀に[[ヨウたまドラ>モンスター図鑑/2071]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):資格ノ有無ヲ確認スル（先制・3ターンスキル使用不可）&br;我ガ力ヲ、行使スル（8711ダメージ＆ランダム1色→木ドロップ）&br;異常事態、発生（連続攻撃12810）==HP30％以下で使用==|
|6|&mons1276; [[マドロミドラゴン>モンスター図鑑/1276]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''6873''};|&color(#b00){2};|1019208|0||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):その力を見せてみなさい（先制・何もしない）&br;どれ、遊んでやろう（6873ダメージ＆ランダム1色→ランダムに変換）&br;これはまずいのう（次回攻撃力5倍）==HP30％以下で使用==|
|7|&mons1277; [[カクセイドラゴン>モンスター図鑑/1277]]	|BGCOLOR(#bba6f1):闇光|&color(#b00){''6588''};|&color(#b00){1};|1936343|6804|※稀に[[ティンニンたまドラ>モンスター図鑑/2072]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):行くぞ、人の子よ（先制・プレイヤーのHP全回復）&br;耐えてみよ（3953ダメージ＆ランダム1色→お邪魔ドロップ）&br;これぞドラゴンの真なる技（999ターン3コンボ以下の攻撃吸収）==HP50％以下で使用==&br;これで終わりにしてやろう（連続攻撃9882）==HP30％以下で使用==|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):龍の寝床 上級|
|1|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons036; [[ホノりん>モンスター図鑑/0036]]	|BGCOLOR(#f1bba6):火|&color(#b00){''330''};|&color(#b00){1};|1050|20||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons038; [[アワりん>モンスター図鑑/0038]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''360''};|&color(#b00){1};|1200|20||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons040; [[モリりん>モンスター図鑑/0040]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''420''};|&color(#b00){1};|1350|20||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons042; [[ヒカりん>モンスター図鑑/0042]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''510''};|&color(#b00){1};|1650|20||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons044; [[ワルりん>モンスター図鑑/0044]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''540''};|&color(#b00){1};|1800|20||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|2,4|>|>|>|>|>|>|BGCOLOR(#ffffff):バトル2で4体、バトル4で5体が出現|
|~|&mons191; [[パイロデビル>モンスター図鑑/0191]]		|BGCOLOR(#f1bba6):火|&color(#b00){''490''};|&color(#b00){1};|2681|280||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons193; [[フロストデビル>モンスター図鑑/0193]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''494''};|&color(#b00){1};|2702|280||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons195; [[タウロスデビル>モンスター図鑑/0195]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''502''};|&color(#b00){1};|2723|280||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons197; [[ハーピィデビル>モンスター図鑑/0197]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''507''};|&color(#b00){1};|2766|280||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons199; [[ブラッドデビル>モンスター図鑑/0199]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''519''};|&color(#b00){1};|2787|280||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|3,5|>|>|>|>|>|>|BGCOLOR(#ffffff):バトル3で3体、バトル5で4体が出現|
|~|&mons262; [[フレイムキメラ>モンスター図鑑/0262]]	|BGCOLOR(#f1bba6):火|&color(#b00){''1077''};|&color(#b00){2};|4856|100||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）|
|~|&mons264; [[バブルキメラ>モンスター図鑑/0264]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''1047''};|&color(#b00){2};|4644|100||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）|
|~|&mons266; [[リーフキメラ>モンスター図鑑/0266]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''1013''};|&color(#b00){2};|4433|100||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）|
|~|&mons268; [[ボルトキメラ>モンスター図鑑/0268]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''1110''};|&color(#b00){2};|5067|100||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）|
|~|&mons270; [[ミストキメラ>モンスター図鑑/0270]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''1140''};|&color(#b00){2};|5278|100||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）|
|6|&mons1275; [[ジャッジゴーレム>モンスター図鑑/1275]]	|BGCOLOR(#f1bba6):火木|&color(#b00){''2128''};|&color(#b00){3};|117610|640|※稀に[[ヨウたまドラ>モンスター図鑑/2071]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|7|&mons1276; [[マドロミドラゴン>モンスター図鑑/1276]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''1427''};|&color(#b00){2};|211639|0|※稀に[[ティンニンたまドラ>モンスター図鑑/2072]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):龍の寝床 中級|
|1|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons036; [[ホノりん>モンスター図鑑/0036]]	|BGCOLOR(#f1bba6):火|&color(#b00){''153''};|&color(#b00){1};|486|10||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons038; [[アワりん>モンスター図鑑/0038]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''160''};|&color(#b00){1};|556|10||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons040; [[モリりん>モンスター図鑑/0040]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''194''};|&color(#b00){1};|625|10||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons042; [[ヒカりん>モンスター図鑑/0042]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''236''};|&color(#b00){1};|764|10||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons044; [[ワルりん>モンスター図鑑/0044]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''250''};|&color(#b00){1};|833|10||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|2|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons191; [[パイロデビル>モンスター図鑑/0191]]		|BGCOLOR(#f1bba6):火|&color(#b00){''116''};|&color(#b00){1};|635|140||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons193; [[フロストデビル>モンスター図鑑/0193]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''117''};|&color(#b00){1};|640|140||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons195; [[タウロスデビル>モンスター図鑑/0195]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''119''};|&color(#b00){1};|645|140||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons197; [[ハーピィデビル>モンスター図鑑/0197]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''120''};|&color(#b00){1};|655|140||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons199; [[ブラッドデビル>モンスター図鑑/0199]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''123''};|&color(#b00){1};|660|140||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|3|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons262; [[フレイムキメラ>モンスター図鑑/0262]]	|BGCOLOR(#f1bba6):火|&color(#b00){''245''};|&color(#b00){2};|1150|50||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）|
|~|&mons264; [[バブルキメラ>モンスター図鑑/0264]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''248''};|&color(#b00){2};|1100|50||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）|
|~|&mons266; [[リーフキメラ>モンスター図鑑/0266]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''240''};|&color(#b00){2};|1050|50||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）|
|~|&mons268; [[ボルトキメラ>モンスター図鑑/0268]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''263''};|&color(#b00){2};|1200|50||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）|
|~|&mons270; [[ミストキメラ>モンスター図鑑/0270]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''270''};|&color(#b00){2};|1250|50||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）|
|4|&mons1275; [[ジャッジゴーレム>モンスター図鑑/1275]]	|BGCOLOR(#f1bba6):火木|&color(#b00){''504''};|&color(#b00){3};|27855|320|※稀に[[ヨウたまドラ>モンスター図鑑/2071]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|5|&mons1276; [[マドロミドラゴン>モンスター図鑑/1276]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''338''};|&color(#b00){2};|50125|0|※稀に[[ティンニンたまドラ>モンスター図鑑/2072]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

** 公開履歴 [#kcabb279]

//最新3件
|~ |~日時|~備考|
|4|2015/05/11～2015/05/17||
|3|2014/11/24～2014/11/30||
|2|2014/07/07～2014/07/11||
|1|2014/04/28～2014/05/11||

** スキル上げ用途 [#xc99ad4d]

|~素材|~スキル（最大Lv）|~対象モンスター|
|&mons2071;|蒼覇王の援護 (5)|&mons1279;|
|&mons2072;|ハイヒール (5)|&mons2070; &mons1449;|
|&mons037;|攻撃態勢・火 (7)|&mons689; &mons984; &mons1728; &mons1283; &mons2019;|
|&mons039;|防御態勢・水 (7)|&mons690; &mons1100; &mons758; &mons1285;|
|&mons041;|ドロップリフレッシュ (7)|&mons691; &mons1317;|
|&mons043;|防御態勢・光 (7)|&mons760; &mons727;|
|&mons045;|攻撃態勢・闇 (7)|&mons894; &mons895; &mons1731;|
|&mons263;|マグマブレス (23)|&mons480; &mons1919; &mons322; &mons323; &mons324; &mons325; &mons1109;|
|&mons265;|ブリザードブレス (23)|&mons481; &mons1920; &mons326; &mons327; &mons328; &mons329; &mons1095;|
|&mons267;|ガイアブレス (23)|&mons482; &mons1921; &mons330; &mons331; &mons332; &mons333; &mons1096;|
|&mons269;|ホーリーブレス (22)|&mons483; &mons334; &mons335; &mons336; &mons337; &mons1110;|
|&mons271;|ヘルブレス (22)|&mons484; &mons338; &mons339; &mons340; &mons341; &mons1111;|

** チーム編成例 [#y14024d4]

*** [[スコア機能>Tips/スコア機能]] Sランク [#w22d988c]

- 100000でSランク

|~Ver|~チーム編成（左右がリーダー）|~HP|~石|~備考|
|||RIGHT:|RIGHT:||c
|v6.4|&mons647; &mons796; &mons688; &mons718; &mons912; &mons644;||0|キングワルりんはスキルマ推奨|
|v6.4|&mons1216; &mons761; &mons044; &mons587; &mons587; &mons1216;||0|非常に時間が掛かる上に運も絡むが、総レアリティ23以下でSランク確定。&br;1F：明星をスキル溜め。闇ドロップを大量に残して2Fへ。&br;2F：全体攻撃でワンパン。&br;3F：相手の攻撃ターンと回復ドロップを見ながら明星でまず1匹を倒す。&br;　　 その後LFダブルバインドされないことを祈りつつ、明星をスキル溜め。&br;　　 （片方はバインドされてもいいように通常時HP7132を確保。）&br;4F：明星で木ガーディアンを倒してスキル溜め。火ガーディアンも明星で倒すかは自由に。&br;5F～7F：明星を溜めてHP30%以下になる直前に使用して倒す。&br;防御態勢は回復ドロップの枯渇に合わせて適宜使用する。（スキルマ推奨。）|

//| |&mons000; &mons000; &mons000; &mons000; &mons000; &mons000;| | | |

- 編成の参考に。左右がリーダー。HPはフレンドを含めたもの。
- レベルやスキルレベルは省略しているので&color(#dc143c){あくまで参考程度に。};

* コメント [#m102374a]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
