* &font2(60%){ふういんのとう};封印の塔（リーダースキル無効） [#o10a30ac]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|封印の主		|15|10|19000|3400|&color(#080){''226''};|
|陰陽の扉		|12|7|16000|2100|&color(#080){''175''};|
|火炎の扉		|12|7|16000|2600|&color(#080){''216''};|
|水氷の扉		|12|7|12000|2400|&color(#080){''200''};|
|樹木の扉		|12|7|8900|2600|&color(#080){''216''};|

- ''リーダースキル無効''

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
||[[ペンペンドラ>モンスター図鑑/0305]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''1519''};|&color(#b00){2};|11018|36|ようすを見ている|
||[[アイスオーガ>モンスター図鑑/0065]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''3410''};|&color(#b00){3};|8761|0|気合溜め（6820）|
||[[ダブサファリット>モンスター図鑑/0247]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''6666''};|&color(#b00){3};|10|100000||
||[[キングメタルドラゴン>モンスター図鑑/0178]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''384''};|&color(#b00){1};|25|60000||
|6|[[神化の蒼面>モンスター図鑑/0172]]x3		|BGCOLOR(#a6f1f1):水|&color(#b00){''9999''};|&color(#b00){6};|18|60000|リーフバインド|
|7|[[愛と水の精霊・ウンディーネ>モンスター図鑑/0355]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''2668''};|&color(#b00){2};|186220|294|スキルガード（10ターン状態異常無効）&br;キュアー&br;アクアストーム（計3603の連続攻撃）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):火炎の扉|
||[[パイロデビル>モンスター図鑑/0191]]		|BGCOLOR(#f1bba6):火|&color(#b00){''864''};|&color(#b00){1};||450|怒り（3ターン攻撃力1.3倍）|
||[[パイロデーモン>モンスター図鑑/0192]]		|BGCOLOR(#f1bba6):火|&color(#b00){''1355''};|&color(#b00){1};||660|ウォーターバインド|
||[[フレイムキメラ>モンスター図鑑/0262]]		|BGCOLOR(#f1bba6):火|&color(#b00){''1898''};|&color(#b00){2};||150|連続攻撃（2658）|
||[[フレイムナイト>モンスター図鑑/0069]]		|BGCOLOR(#f1bba6):火|&color(#b00){''1221''};|&color(#b00){2};||81||
||[[ホノペンドラ>モンスター図鑑/0303]]		|BGCOLOR(#f1bba6):火|&color(#b00){''1630''};|&color(#b00){2};|||ようすを見ている|
||[[サムライオーガ>モンスター図鑑/0063]]		|BGCOLOR(#f1bba6):火|&color(#b00){''3350''};|&color(#b00){3};||0|気合溜め（6700）|
||[[ダブルビリット>モンスター図鑑/0246]]		|BGCOLOR(#f1bba6):火|&color(#b00){''6666''};|&color(#b00){3};|10|100000||
||[[キングメタルドラゴン>モンスター図鑑/0178]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''384''};|&color(#b00){1};|25|60000||
|6|[[神化の紅面>モンスター図鑑/0171]]x3		|BGCOLOR(#f1bba6):火|&color(#b00){''9999''};|&color(#b00){6};|18|60000|ウォーターバインド|
|7|[[怒りと炎の精霊・シャイターン>モンスター図鑑/0353]]	|BGCOLOR(#f1bba6):火|&color(#b00){''2866''};|&color(#b00){2};|188334|294|激怒（10ターン攻撃力1.5倍）&br;フレイムブリッド（3582）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):陰陽の扉|
||[[ハーピィデビル>モンスター図鑑/0197]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''893''};|&color(#b00){1};|||怒り（3ターン攻撃力1.3倍）|
||[[ブラッドデビル>モンスター図鑑/0199]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''916''};|&color(#b00){1};|||怒り（3ターン攻撃力1.3倍）|
||[[ハーピィデーモン>モンスター図鑑/0198]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''1377''};|&color(#b00){1};||660|ダークバインド|
||[[ブラッドデーモン>モンスター図鑑/0200]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''1385''};|&color(#b00){1};||660|フラッシュバインド|
||[[ボルトキメラ>モンスター図鑑/0268]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''1958''};|&color(#b00){2};||150|連続攻撃（2742）|
||[[ミストキメラ>モンスター図鑑/0270]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''2010''};|&color(#b00){2};||150|連続攻撃（2814）|
||[[ダブトパリット>モンスター図鑑/0249]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''6666''};|&color(#b00){3};|10|100000||
||[[キングメタルドラゴン>モンスター図鑑/0178]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''384''};|&color(#b00){1};|25|60000||
|6|[[富と光の精霊・ジーニャ>モンスター図鑑/0359]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''1655''};|&color(#b00){1};|190444|294|ランプの奇跡&br;ランプの暴走（連続攻撃3640?）|
|7|[[死と闇の精霊・タナトス>モンスター図鑑/0361]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''2985''};|&color(#b00){2};|192554|294|スキルガード（10ターン状態異常無効）&br;ブラッディクロス（連続攻撃）&br;死の招待状（次回攻撃力6倍→17910）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):封印の主|
|1~8|>|>|>|>|>|>|BGCOLOR(#ffffff):上記から出現|
||[[ダブアメリット>モンスター図鑑/0250]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''6666''};|&color(#b00){3};|10|100000||
|9|[[ジーニャ>モンスター図鑑/0358]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''963''};|&color(#b00){1};|||ランプの奇跡|
|~|[[タナトス>モンスター図鑑/0360]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''1723''};|&color(#b00){2};|||スキルガード（10ターン状態異常無効）&br;連続攻撃（2412）|
|10|[[ピエドラウン>モンスター図鑑/0301]]x2		|BGCOLOR(#bba6f1):闇|&color(#b00){''1735''};|&color(#b00){2};|79463||連続攻撃（2430）|
|~|[[ヴァンパイアロード>モンスター図鑑/0111]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''3029''};|&color(#b00){2};|214080|280|リセットウェーブ（スキルの効果が消える）&br;ダークワールド（ドロップが見えなくなる）&br;ナイトメアスラッシュ（計5451の連続攻撃）&br;リザレクション|

- 攻撃ターン数は表記より1ターン前後することがあります。
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

* コメント [#deb08508]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
