* &font2(60%){さんがいのしんでん};三界の神殿 [#l697db14]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|三界の龍		|16|10|21000|5400|&color(#080){''337''};|
|三界の扉		|13|7|17000|3700|&color(#080){''284''};|
|三獣乱舞		|13|7|15000|3400|&color(#080){''261''};|
|乙女達のワルツ	|13|7|17000|3100|&color(#080){''238''};|
|赤く青い緑の宝珠	|13|7|17000|3300|&color(#080){''258''};|

-どのエリアもボスがランダムなので半減などの耐久パーティーが組みにくい。
-神秘の仮面の毎ターン4000ダメージに注意。

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|~|[[大海の歌姫・セイレーン>モンスター図鑑/0202]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''3648''};|&color(#b00){1};|219627|360|鼻歌を口ずさんでいる&br;ドロップ排除・木&br;リザレクション|
|~|[[大樹の精霊・アルラウネ>モンスター図鑑/0203]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''3808''};|&color(#b00){1};|||やさしく微笑んでいる&br;ドロップ排除・火&br;リザレクション|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):三獣乱舞|
|6|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|[[マグマキマイラ>モンスター図鑑/0263]]		|BGCOLOR(#f1bba6):火|&color(#b00){''5184''};|&color(#b00){2};|299413||ダブルバインド&br;連続攻撃（7258）|
|~|[[ディープキマイラ>モンスター図鑑/0265]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''5109''};|&color(#b00){2};|||ダブルバインド&br;連続攻撃（7154）|
|~|[[フラワーキマイラ>モンスター図鑑/0267]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''5024''};|&color(#b00){2};|294080|560|ダブルバインド&br;連続攻撃（7034）|
|7|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|[[マグマキマイラ>モンスター図鑑/0263]]		|BGCOLOR(#f1bba6):火|&color(#b00){''3618''};|&color(#b00){2};|||ダブルバインド&br;連続攻撃（5066）|
|~|[[ディープキマイラ>モンスター図鑑/0265]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''3566''};|&color(#b00){2};|||ダブルバインド&br;連続攻撃（4992）|
|~|[[フラワーキマイラ>モンスター図鑑/0267]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''3506''};|&color(#b00){2};|205243|420|ダブルバインド&br;連続攻撃（4908）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):三界の扉|
|6|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか4体が出現|
|~|[[ドラール>モンスター図鑑/0288]]			|BGCOLOR(#f1bba6):火|&color(#b00){''1973''};|&color(#b00){1};|107093|320|バインドアタック|
|~|[[シャードラ>モンスター図鑑/0291]]			|BGCOLOR(#a6f1f1):水|&color(#b00){''1728''};|&color(#b00){1};|133760|0|バインドアタック|
|~|[[トイトプス>モンスター図鑑/0294]]			|BGCOLOR(#bbf1a6):木|&color(#b00){''1888''};|&color(#b00){1};|||バインドアタック|
|7|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|[[アグドラール>モンスター図鑑/0289]]			|BGCOLOR(#f1bba6):火|&color(#b00){''4224''};|&color(#b00){2};|||気合溜め（次回8448）|
|~|[[シャードラン>モンスター図鑑/0292]]			|BGCOLOR(#a6f1f1):水|&color(#b00){''2624''};|&color(#b00){1};|187413|0|連続攻撃（3674）|
|~|[[トイケラトプス>モンスター図鑑/0295]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''3904''};|&color(#b00){2};|||気合溜め（次回7808）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):三界の龍|
|9|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|[[フレアドラール>モンスター図鑑/0290]]		|BGCOLOR(#f1bba6):火|&color(#b00){''4191''};|&color(#b00){2};|||気合溜め（次回8382）|
|~|[[メガロドラン>モンスター図鑑/0293]]			|BGCOLOR(#a6f1f1):水|&color(#b00){''2568''};|&color(#b00){1};|261300|0|大連撃（3595）|
|~|[[フォートトイトプス>モンスター図鑑/0296]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''4132''};|&color(#b00){2};||4200|気合溜め（次回8264）|
|10|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|[[フレアドラール>モンスター図鑑/0290]]		|BGCOLOR(#f1bba6):火|&color(#b00){''6005''};|&color(#b00){2};|321067|800|気合溜め（次回12010）|
|~|[[メガロドラン>モンスター図鑑/0293]]			|BGCOLOR(#a6f1f1):水|&color(#b00){''3680''};|&color(#b00){1};|||大連撃（6624）|
|~|[[フォートトイトプス>モンスター図鑑/0296]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''5920''};|&color(#b00){2};||5600|気合溜め（次回11840）|


- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

* コメント [#ef2f9994]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
