* モンスター図鑑 [#de0cefec]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]] - [[2401>#no2401]] - [[2501>#no2501]] - [[2601>#no2601]] - [[2701>#no2701]] - [[2801>#no2801]] - [[2901>#no2901]] - [[3001>#no3101]] - [[3101>#no3101]] - [[3201>#no3201]]- [[3301>#no3301]]- [[3401>#no3401]]- [[3501>#no3501]]- [[3601>#no3601]]- [[3701>#no3701]]- [[3801>#no3801]]]]- [[3901>#no3901]]]]- [[4001>#no4001]]]]

#style(class=enableFilter){{
|~No|~名称			|~タイプ|~属性|h
|0011|[[ブラキオス>モンスター図鑑/0011]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0012|[[大花龍ブラキオス>モンスター図鑑/0012]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0013|[[プテーラ>モンスター図鑑/0013]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|0014|[[プテラス>モンスター図鑑/0014]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|0015|[[プテラドス>モンスター図鑑/0015]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|0016|[[太陽龍プテラドス>モンスター図鑑/0016]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|0017|[[スピノン>モンスター図鑑/0017]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0018|[[スピナス>モンスター図鑑/0018]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0019|[[デスピナス>モンスター図鑑/0019]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0020|[[月光龍デスピナス>モンスター図鑑/0020]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0021|[[レッドコドラ>モンスター図鑑/0021]]|ドラゴン|BGCOLOR(#f1bba6):火|
|0022|[[レッドドラゴン>モンスター図鑑/0022]]|ドラゴン|BGCOLOR(#f1bba6):火|
|0023|[[ボルケーノドラゴン>モンスター図鑑/0023]]|ドラゴン|BGCOLOR(#f1bba6):火|
|0024|[[ブルーコドラ>モンスター図鑑/0024]]|ドラゴン|BGCOLOR(#a6f1f1):水|
|0025|[[ブルードラゴン>モンスター図鑑/0025]]|ドラゴン|BGCOLOR(#a6f1f1):水|
|0026|[[オーロラドラゴン>モンスター図鑑/0026]]|ドラゴン|BGCOLOR(#a6f1f1):水|
|0027|[[グリーンコドラ>モンスター図鑑/0027]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0028|[[グリーンドラゴン>モンスター図鑑/0028]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0029|[[アースドラゴン>モンスター図鑑/0029]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0030|[[ホワイトコドラ>モンスター図鑑/0030]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|0031|[[ホワイトドラゴン>モンスター図鑑/0031]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|0032|[[ホーリードラゴン>モンスター図鑑/0032]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|0033|[[ブラックコドラ>モンスター図鑑/0033]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0034|[[ブラックドラゴン>モンスター図鑑/0034]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0035|[[デビルドラゴン>モンスター図鑑/0035]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0036|[[ホノりん>モンスター図鑑/0036]]|バランス|BGCOLOR(#f1bba6):火|
|0037|[[デカホノりん>モンスター図鑑/0037]]|バランス|BGCOLOR(#f1bba6):火|
|0038|[[アワりん>モンスター図鑑/0038]]|バランス|BGCOLOR(#a6f1f1):水|
|0039|[[デカアワりん>モンスター図鑑/0039]]|バランス|BGCOLOR(#a6f1f1):水|
|0040|[[モリりん>モンスター図鑑/0040]]|バランス|BGCOLOR(#bbf1a6):木|
|0041|[[デカモリりん>モンスター図鑑/0041]]|バランス|BGCOLOR(#bbf1a6):木|
|0042|[[ヒカりん>モンスター図鑑/0042]]|バランス|BGCOLOR(#f1f1a6):光|
|0043|[[デカヒカりん>モンスター図鑑/0043]]|バランス|BGCOLOR(#f1f1a6):光|
|0044|[[ワルりん>モンスター図鑑/0044]]|バランス|BGCOLOR(#bba6f1):闇|
|0045|[[デカワルりん>モンスター図鑑/0045]]|バランス|BGCOLOR(#bba6f1):闇|
|0046|[[レッドカーバンクル>モンスター図鑑/0046]]|回復|BGCOLOR(#f1bba6):火|
|0047|[[ルビーカーバンクル>モンスター図鑑/0047]]|回復|BGCOLOR(#f1bba6):火|
|0048|[[ブルーカーバンクル>モンスター図鑑/0048]]|回復|BGCOLOR(#a6f1f1):水|
|0049|[[サファイアカーバンクル>モンスター図鑑/0049]]|回復|BGCOLOR(#a6f1f1):水|
|0050|[[グリーンカーバンクル>モンスター図鑑/0050]]|回復|BGCOLOR(#bbf1a6):木|
|0051|[[エメラルドカーバンクル>モンスター図鑑/0051]]|回復|BGCOLOR(#bbf1a6):木|
|0052|[[イエローカーバンクル>モンスター図鑑/0052]]|回復|BGCOLOR(#f1f1a6):光|
|0053|[[トパーズカーバンクル>モンスター図鑑/0053]]|回復|BGCOLOR(#f1f1a6):光|
|0054|[[パープルカーバンクル>モンスター図鑑/0054]]|回復|BGCOLOR(#bba6f1):闇|
|0055|[[アメジストカーバンクル>モンスター図鑑/0055]]|回復|BGCOLOR(#bba6f1):闇|
|0056|[[レッドゴブリン>モンスター図鑑/0056]]|攻撃|BGCOLOR(#f1bba6):火|
|0057|[[武者ゴブリン>モンスター図鑑/0057]]|攻撃|BGCOLOR(#f1bba6):火|
|0058|[[ブルーゴブリン>モンスター図鑑/0058]]|攻撃|BGCOLOR(#a6f1f1):水|
|0059|[[マリンゴブリン>モンスター図鑑/0059]]|攻撃|BGCOLOR(#a6f1f1):水|
|0060|[[ゴブリン>モンスター図鑑/0060]]|攻撃|BGCOLOR(#bbf1a6):木|
|0061|[[ホブゴブリン>モンスター図鑑/0061]]|攻撃|BGCOLOR(#bbf1a6):木|
|0062|[[レッドオーガ>モンスター図鑑/0062]]|体力|BGCOLOR(#f1bba6):火|
|0063|[[サムライオーガ>モンスター図鑑/0063]]|体力|BGCOLOR(#f1bba6):火|
|0064|[[ブルーオーガ>モンスター図鑑/0064]]|体力|BGCOLOR(#a6f1f1):水|
|0065|[[アイスオーガ>モンスター図鑑/0065]]|体力|BGCOLOR(#a6f1f1):水|
|0066|[[オーガ>モンスター図鑑/0066]]|体力|BGCOLOR(#bbf1a6):木|
|0067|[[アーマーオーガ>モンスター図鑑/0067]]|体力|BGCOLOR(#bbf1a6):木|
|0068|[[フレイムファイター>モンスター図鑑/0068]]|バランス|BGCOLOR(#f1bba6):火|
|0069|[[フレイムナイト>モンスター図鑑/0069]]|バランス|BGCOLOR(#f1bba6):火|
|0070|[[アクアファイター>モンスター図鑑/0070]]|バランス|BGCOLOR(#a6f1f1):水|
|0071|[[アクアナイト>モンスター図鑑/0071]]|バランス|BGCOLOR(#a6f1f1):水|
|0072|[[アースファイター>モンスター図鑑/0072]]|バランス|BGCOLOR(#bbf1a6):木|
|0073|[[アースナイト>モンスター図鑑/0073]]|バランス|BGCOLOR(#bbf1a6):木|
|0074|[[ホワイトファイター>モンスター図鑑/0074]]|バランス|BGCOLOR(#f1f1a6):光|
|0075|[[ホワイトナイト>モンスター図鑑/0075]]|バランス|BGCOLOR(#f1f1a6):光|
|0076|[[ブラックファイター>モンスター図鑑/0076]]|バランス|BGCOLOR(#bba6f1):闇|
|0077|[[ブラックナイト>モンスター図鑑/0077]]|バランス|BGCOLOR(#bba6f1):闇|
|0078|[[フレイムゴーレム>モンスター図鑑/0078]]|体力/マシン|BGCOLOR(#f1bba6):火|
|0079|[[フレイムガーディアン>モンスター図鑑/0079]]|体力/マシン|BGCOLOR(#f1bba6):火|
|0080|[[アイスゴーレム>モンスター図鑑/0080]]|体力/マシン|BGCOLOR(#a6f1f1):水|
|0081|[[アイスガーディアン>モンスター図鑑/0081]]|体力/マシン|BGCOLOR(#a6f1f1):水|
|0082|[[アースゴーレム>モンスター図鑑/0082]]|体力/マシン|BGCOLOR(#bbf1a6):木|
|0083|[[アースガーディアン>モンスター図鑑/0083]]|体力/マシン|BGCOLOR(#bbf1a6):木|
|0084|[[マシンゴーレム>モンスター図鑑/0084]]|体力/マシン|BGCOLOR(#f1f1a6):光|
|0085|[[マシンゴーレムMk-II>モンスター図鑑/0085]]|体力/マシン|BGCOLOR(#f1f1a6):光|
|0086|[[ダークゴーレム>モンスター図鑑/0086]]|体力/マシン|BGCOLOR(#bba6f1):闇|
|0087|[[ダークゴーレムMk-II>モンスター図鑑/0087]]|体力/マシン|BGCOLOR(#bba6f1):闇|
|0088|[[ナーガ>モンスター図鑑/0088]]|回復|BGCOLOR(#f1bba6):火|
|0089|[[エキドナ>モンスター図鑑/0089]]|回復|BGCOLOR(#f1bba6):火|
|0090|[[マーメイド>モンスター図鑑/0090]]|回復|BGCOLOR(#a6f1f1):水|
|0091|[[セイレーン>モンスター図鑑/0091]]|回復|BGCOLOR(#a6f1f1):水|
|0092|[[ドリヤード>モンスター図鑑/0092]]|回復|BGCOLOR(#bbf1a6):木|
|0093|[[アルラウネ>モンスター図鑑/0093]]|回復|BGCOLOR(#bbf1a6):木|
|0094|[[キューピッド>モンスター図鑑/0094]]|回復|BGCOLOR(#f1f1a6):光|
|0095|[[エンジェル>モンスター図鑑/0095]]|回復|BGCOLOR(#f1f1a6):光|
|0096|[[サキュバス>モンスター図鑑/0096]]|回復|BGCOLOR(#bba6f1):闇|
|0097|[[リリス>モンスター図鑑/0097]]|回復|BGCOLOR(#bba6f1):闇|
|0098|[[炎の魔剣士>モンスター図鑑/0098]]|バランス|BGCOLOR(#f1bba6):火|
|0099|[[フェニックスナイト>モンスター図鑑/0099]]|バランス|BGCOLOR(#f1bba6):火|
|0100|[[氷の魔剣士>モンスター図鑑/0100]]|バランス|BGCOLOR(#a6f1f1):水|
|0101&aname(no0101);|[[フェンリルナイト>モンスター図鑑/0101]]|バランス|BGCOLOR(#a6f1f1):水|
|0102|[[岩の魔剣士>モンスター図鑑/0102]]|バランス|BGCOLOR(#bbf1a6):木|
|0103|[[ドラゴンナイト>モンスター図鑑/0103]]|バランス|BGCOLOR(#bbf1a6):木|
|0104|[[光の魔剣士>モンスター図鑑/0104]]|バランス|BGCOLOR(#f1f1a6):光|
|0105|[[ヴァーチェ>モンスター図鑑/0105]]|バランス|BGCOLOR(#f1f1a6):光|
|0106|[[タイタン>モンスター図鑑/0106]]|体力|BGCOLOR(#f1bba6):火|
|0107|[[ギガンテス>モンスター図鑑/0107]]|体力|BGCOLOR(#f1bba6):火|
|0108|[[闇の魔剣士>モンスター図鑑/0108]]|バランス|BGCOLOR(#bba6f1):闇|
|0109|[[ダークドラゴンナイト>モンスター図鑑/0109]]|バランス|BGCOLOR(#bba6f1):闇|
|0110|[[ヴァンパイア>モンスター図鑑/0110]]|バランス|BGCOLOR(#bba6f1):闇|
|0111|[[ヴァンパイアロード>モンスター図鑑/0111]]|バランス|BGCOLOR(#bba6f1):闇|
|0112|[[サラマンダー>モンスター図鑑/0112]]|ドラゴン|BGCOLOR(#f1bba6):火|
|0113|[[イフリート>モンスター図鑑/0113]]|ドラゴン|BGCOLOR(#f1bba6):火|
|0114|[[シーサーペント>モンスター図鑑/0114]]|ドラゴン|BGCOLOR(#a6f1f1):水|
|0115|[[リヴァイアサン>モンスター図鑑/0115]]|ドラゴン|BGCOLOR(#a6f1f1):水|
|0116|[[ドラゴネット>モンスター図鑑/0116]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0117|[[ファフニール>モンスター図鑑/0117]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0118|[[白龍>モンスター図鑑/0118]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|0119|[[神龍>モンスター図鑑/0119]]|ドラゴン/神|BGCOLOR(#f1f1a6):光|
|0120|[[バジリスク>モンスター図鑑/0120]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0121|[[ティアマット>モンスター図鑑/0121]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0122|[[ミネルヴァ>モンスター図鑑/0122]]|神|BGCOLOR(#f1bba6):火|
|0123|[[戦女神・ミネルヴァ>モンスター図鑑/0123]]|神|BGCOLOR(#f1bba6):火火|
|0124|[[ネプチューン>モンスター図鑑/0124]]|神|BGCOLOR(#a6f1f1):水|
|0125|[[海王神・ネプチューン>モンスター図鑑/0125]]|神|BGCOLOR(#a6f1f1):水水|
|0126|[[セレス>モンスター図鑑/0126]]|神|BGCOLOR(#bbf1a6):木|
|0127|[[豊穣神・セレス>モンスター図鑑/0127]]|神|BGCOLOR(#bbf1a6):木木|
|0128|[[ヴィーナス>モンスター図鑑/0128]]|神|BGCOLOR(#f1f1a6):光|
|0129|[[慈愛神・ヴィーナス>モンスター図鑑/0129]]|神|BGCOLOR(#f1f1a6):光光|
|0130|[[ハーデス>モンスター図鑑/0130]]|神|BGCOLOR(#bba6f1):闇|
|0131|[[冥界神・ハーデス>モンスター図鑑/0131]]|神|BGCOLOR(#bba6f1):闇闇|
|0132|[[カグツチ>モンスター図鑑/0132]]|神|BGCOLOR(#f1bba6):火|
|0133|[[ヒノカグツチ>モンスター図鑑/0133]]|神|BGCOLOR(#f1bba6):火火|
|0134|[[オロチ>モンスター図鑑/0134]]|神|BGCOLOR(#a6f1f1):水|
|0135|[[ヤマタノオロチ>モンスター図鑑/0135]]|神|BGCOLOR(#a6f1f1):水水|
|0136|[[スサノオ>モンスター図鑑/0136]]|神|BGCOLOR(#bbf1a6):木|
|0137|[[スサノオノミコト>モンスター図鑑/0137]]|神|BGCOLOR(#bbf1a6):木木|
|0138|[[アマテラス>モンスター図鑑/0138]]|神|BGCOLOR(#f1f1a6):光|
|0139|[[アマテラスオオカミ>モンスター図鑑/0139]]|神|BGCOLOR(#f1f1a6):光光|
|0140|[[ヨミ>モンスター図鑑/0140]]|神|BGCOLOR(#bba6f1):闇|
|0141|[[ツクヨミ>モンスター図鑑/0141]]|神|BGCOLOR(#bba6f1):闇闇|
|0142|[[炎龍・ムスプルヘイム>モンスター図鑑/0142]]|ドラゴン|BGCOLOR(#f1bba6):火|
|0143|[[氷龍・ニブルヘイム>モンスター図鑑/0143]]|ドラゴン|BGCOLOR(#a6f1f1):水|
|0144|[[島龍・ユグドラシル>モンスター図鑑/0144]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0145|[[機龍・ヴァルハラ>モンスター図鑑/0145]]|ドラゴン/マシン|BGCOLOR(#f1f1a6):光|
|0146|[[邪龍・ヘルヘイム>モンスター図鑑/0146]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0147|[[炎の番人>モンスター図鑑/0147]]|進化用|BGCOLOR(#f1bba6):火|
|0148|[[水の番人>モンスター図鑑/0148]]|進化用|BGCOLOR(#a6f1f1):水|
|0149|[[森の番人>モンスター図鑑/0149]]|進化用|BGCOLOR(#bbf1a6):木|
|0150|[[光の番人>モンスター図鑑/0150]]|進化用|BGCOLOR(#f1f1a6):光|
|0151|[[闇の番人>モンスター図鑑/0151]]|進化用|BGCOLOR(#bba6f1):闇|
|0152|[[ドラゴンシード>モンスター図鑑/0152]]|進化用|BGCOLOR(#bbf1a6):木|
|0153|[[ドラゴンプラント>モンスター図鑑/0153]]|進化用|BGCOLOR(#bbf1a6):木|
|0154|[[ドラゴンフラワー>モンスター図鑑/0154]]|進化用|BGCOLOR(#bbf1a6):木|
|0155|[[ルビリット>モンスター図鑑/0155]]|進化用|BGCOLOR(#f1bba6):火|
|0156|[[サファリット>モンスター図鑑/0156]]|進化用|BGCOLOR(#a6f1f1):水|
|0157|[[エメリット>モンスター図鑑/0157]]|進化用|BGCOLOR(#bbf1a6):木|
|0158|[[トパリット>モンスター図鑑/0158]]|進化用|BGCOLOR(#f1f1a6):光|
|0159|[[アメリット>モンスター図鑑/0159]]|進化用|BGCOLOR(#bba6f1):闇|
|0160|[[ミスリット>モンスター図鑑/0160]]|進化用|BGCOLOR(#bba6f1):闇|
|0161|[[進化の赤仮面>モンスター図鑑/0161]]|進化用|BGCOLOR(#f1bba6):火|
|0162|[[進化の青仮面>モンスター図鑑/0162]]|進化用|BGCOLOR(#a6f1f1):水|
|0163|[[進化の緑仮面>モンスター図鑑/0163]]|進化用|BGCOLOR(#bbf1a6):木|
|0164|[[進化の黄仮面>モンスター図鑑/0164]]|進化用|BGCOLOR(#f1f1a6):光|
|0165|[[進化の紫仮面>モンスター図鑑/0165]]|進化用|BGCOLOR(#bba6f1):闇|
|0166|[[朱色の鬼神面>モンスター図鑑/0166]]|進化用|BGCOLOR(#f1bba6):火|
|0167|[[蒼色の鬼神面>モンスター図鑑/0167]]|進化用|BGCOLOR(#a6f1f1):水|
|0168|[[碧色の鬼神面>モンスター図鑑/0168]]|進化用|BGCOLOR(#bbf1a6):木|
|0169|[[黄金の鬼神面>モンスター図鑑/0169]]|進化用|BGCOLOR(#f1f1a6):光|
|0170|[[紫色の鬼神面>モンスター図鑑/0170]]|進化用|BGCOLOR(#bba6f1):闇|
|0171|[[神化の紅面>モンスター図鑑/0171]]|進化用|BGCOLOR(#f1bba6):火|
|0172|[[神化の蒼面>モンスター図鑑/0172]]|進化用|BGCOLOR(#a6f1f1):水|
|0173|[[神化の碧面>モンスター図鑑/0173]]|進化用|BGCOLOR(#bbf1a6):木|
|0174|[[神化の金面>モンスター図鑑/0174]]|進化用|BGCOLOR(#f1f1a6):光|
|0175|[[神化の黒面>モンスター図鑑/0175]]|進化用|BGCOLOR(#bba6f1):闇|
|0176|[[メタルドラゴン>モンスター図鑑/0176]]|強化合成用|BGCOLOR(#bba6f1):闇|
|0177|[[ハイメタルドラゴン>モンスター図鑑/0177]]|強化合成用|BGCOLOR(#bba6f1):闇|
|0178|[[キングメタルドラゴン>モンスター図鑑/0178]]|強化合成用|BGCOLOR(#bba6f1):闇|
|0179|[[ゴールドドラゴン>モンスター図鑑/0179]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0180|[[ハイゴールドドラゴン>モンスター図鑑/0180]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0181|[[キングゴールドドラゴン>モンスター図鑑/0181]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0182|[[ポリン>モンスター図鑑/0182]]|強化合成用|BGCOLOR(#f1bba6):火|
|0183|[[マーリン>モンスター図鑑/0183]]|強化合成用|BGCOLOR(#a6f1f1):水|
|0184|[[ポポリン>モンスター図鑑/0184]]|強化合成用|BGCOLOR(#bbf1a6):木|
|0185|[[ドロップス>モンスター図鑑/0185]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0186|[[ゴーストリング>モンスター図鑑/0186]]|強化合成用|BGCOLOR(#bba6f1):闇|
|0187|[[ゼウス>モンスター図鑑/0187]]|神|BGCOLOR(#f1f1a6):光|
|0188|[[覚醒ゼウス>モンスター図鑑/0188]]|神|BGCOLOR(#f1f1a6):光|
|0189|[[ヘラ>モンスター図鑑/0189]]|神|BGCOLOR(#bba6f1):闇|
|0190|[[覚醒ヘラ>モンスター図鑑/0190]]|悪魔/神|BGCOLOR(#bba6f1):闇|
|0191|[[パイロデビル>モンスター図鑑/0191]]|攻撃|BGCOLOR(#f1bba6):火|
|0192|[[パイロデーモン>モンスター図鑑/0192]]|攻撃|BGCOLOR(#f1bba6):火|
|0193|[[フロストデビル>モンスター図鑑/0193]]|攻撃|BGCOLOR(#a6f1f1):水|
|0194|[[フロストデーモン>モンスター図鑑/0194]]|攻撃|BGCOLOR(#a6f1f1):水|
|0195|[[タウロスデビル>モンスター図鑑/0195]]|攻撃|BGCOLOR(#bbf1a6):木|
|0196|[[タウロスデーモン>モンスター図鑑/0196]]|攻撃|BGCOLOR(#bbf1a6):木|
|0197|[[ハーピィデビル>モンスター図鑑/0197]]|攻撃|BGCOLOR(#f1f1a6):光|
|0198|[[ハーピィデーモン>モンスター図鑑/0198]]|攻撃|BGCOLOR(#f1f1a6):光|
|0199|[[ブラッドデビル>モンスター図鑑/0199]]|攻撃|BGCOLOR(#bba6f1):闇|
|0200|[[ブラッドデーモン>モンスター図鑑/0200]]|攻撃|BGCOLOR(#bba6f1):闇|
|0201&aname(no0201);|[[紅蓮の女帝・エキドナ>モンスター図鑑/0201]]|回復|BGCOLOR(#f1bba6):火|
|0202|[[大海の歌姫・セイレーン>モンスター図鑑/0202]]|回復|BGCOLOR(#a6f1f1):水|
|0203|[[大樹の精霊・アルラウネ>モンスター図鑑/0203]]|回復|BGCOLOR(#bbf1a6):木|
|0204|[[天空の使徒・エンジェル>モンスター図鑑/0204]]|回復|BGCOLOR(#f1f1a6):光|
|0205|[[常夜の魔女・リリス>モンスター図鑑/0205]]|回復/悪魔|BGCOLOR(#bba6f1):闇|
|0206|[[マーズライトカーバンクル>モンスター図鑑/0206]]|回復|BGCOLOR(#f1bba6):火|
|0207|[[マーキュライトカーバンクル>モンスター図鑑/0207]]|回復|BGCOLOR(#a6f1f1):水|
|0208|[[アースライトカーバンクル>モンスター図鑑/0208]]|回復|BGCOLOR(#bbf1a6):木|
|0209|[[サンライトカーバンクル>モンスター図鑑/0209]]|回復|BGCOLOR(#f1f1a6):光|
|0210|[[ムーンライトカーバンクル>モンスター図鑑/0210]]|回復|BGCOLOR(#bba6f1):闇|
|0211|[[メテオボルケーノドラゴン>モンスター図鑑/0211]]|ドラゴン|BGCOLOR(#f1bba6):火|
|0212|[[クリスタルオーロラドラゴン>モンスター図鑑/0212]]|ドラゴン|BGCOLOR(#a6f1f1):水|
|0213|[[グラビトンアースドラゴン>モンスター図鑑/0213]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0214|[[ライトニングホーリードラゴン>モンスター図鑑/0214]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|0215|[[カオスデビルドラゴン>モンスター図鑑/0215]]|ドラゴン/悪魔|BGCOLOR(#bba6f1):闇|
|0216|[[緋天龍・エルドラド>モンスター図鑑/0216]]|ドラゴン|BGCOLOR(#f1bba6):火|
|0217|[[蒼天龍・ニライカナイ>モンスター図鑑/0217]]|ドラゴン|BGCOLOR(#a6f1f1):水|
|0218|[[樹天龍・ホウライ>モンスター図鑑/0218]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0219|[[聖天龍・シャングリラ>モンスター図鑑/0219]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|0220|[[夜天龍・エリュシオン>モンスター図鑑/0220]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0221|[[ベルセルク>モンスター図鑑/0221]]|体力|BGCOLOR(#a6f1f1):水|
|0222|[[蒼剣の覇王・ジークフリート>モンスター図鑑/0222]]|体力|BGCOLOR(#a6f1f1):水|
|0223|[[ハイランダー>モンスター図鑑/0223]]|バランス|BGCOLOR(#bbf1a6):木|
|0224|[[碧槍の英雄・クーフーリン>モンスター図鑑/0224]]|バランス|BGCOLOR(#bbf1a6):木|
|0225|[[ワルキューレ>モンスター図鑑/0225]]|回復|BGCOLOR(#f1f1a6):光|
|0226|[[白盾の女神・ヴァルキリー>モンスター図鑑/0226]]|回復|BGCOLOR(#f1f1a6):光|
|0227|[[ドラゴンフルーツ>モンスター図鑑/0227]]|進化用|BGCOLOR(#bbf1a6):木|
|0228|[[マスターリング>モンスター図鑑/0228]]|体力|BGCOLOR(#f1bba6):火|
|0229|[[フェニックスナイト・ホムラ>モンスター図鑑/0229]]|バランス|BGCOLOR(#f1bba6):火|
|0230|[[フェンリルナイト・カムイ>モンスター図鑑/0230]]|バランス|BGCOLOR(#a6f1f1):水|
|0231|[[エンシェントドラゴンナイト>モンスター図鑑/0231]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|0232|[[天空の騎士・ヴァーチェ>モンスター図鑑/0232]]|神/バランス|BGCOLOR(#f1f1a6):光|
|0233|[[カオスドラゴンナイト>モンスター図鑑/0233]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|0234|[[神秘の仮面>モンスター図鑑/0234]]|進化用|BGCOLOR(#f1f1a6):光|
|0235|[[キングゴールドネッキー>モンスター図鑑/0235]]|強化合成用|BGCOLOR(#f1f1a6):光|
|0236|[[シヴァ>モンスター図鑑/0236]]|神|BGCOLOR(#f1bba6):火|
|0237|[[破壊神・シヴァ>モンスター図鑑/0237]]|神|BGCOLOR(#f1bba6):火火|
|0238|[[ラクシュミー>モンスター図鑑/0238]]|神|BGCOLOR(#a6f1f1):水|
|0239|[[幸運の女神・ラクシュミー>モンスター図鑑/0239]]|神|BGCOLOR(#a6f1f1):水水|
|0240|[[パールヴァティー>モンスター図鑑/0240]]|神|BGCOLOR(#bbf1a6):木|
|0241|[[金色の女神・パールヴァティー>モンスター図鑑/0241]]|神|BGCOLOR(#bbf1a6):木木|
|0242|[[インドラ>モンスター図鑑/0242]]|神|BGCOLOR(#f1f1a6):光|
|0243|[[雷霆龍・インドラ>モンスター図鑑/0243]]|神|BGCOLOR(#f1f1a6):光光|
|0244|[[ヴリトラ>モンスター図鑑/0244]]|神|BGCOLOR(#bba6f1):闇|
