* HUNTER×HUNTER コラボ [#lcc6c5bc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|東ゴルトー 超プロ級（テクニカル）	|50|5|22500|13700|&color(#080){''&calc(13700/50,1);''};|
|東ゴルトー プロ級（テクニカル）	|45|5|19000|12000|&color(#080){''&calc(12000/45,1);''};|
|東ゴルトー 超級（テクニカル）	|40|5|13000|8000|&color(#080){''&calc(8000/40,1);''};|
|東ゴルトー 上級（テクニカル）	|25|5|3000|1600|&color(#080){''&calc(1600/25,1);''};|
|東ゴルトー 中級（テクニカル）	|15|5|1000|500|&color(#080){''&calc(500/15,1);''};|

- [[HUNTER×HUNTER:http://mobile.gungho.jp/news/pad/HxH.html]]とコラボレーション
- 2013/12/26 道中で進化後がドロップするように変更
- 2015/07/20 リニューアル
-- 超プロ級が追加（プロ級の消費スタミナ50→45）
-- プフとユピーのステータス・スキル変更、2体同時出現→いずれか1体出現に変更（超級以上）

|~面|~名前	|~属性|~攻撃力|~後|~HP|~防御|~備考|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):大波(ビッグウォール)!!!（15978ダメージ＆ランダム1色→水ドロップ）&br;渦波(トルネイヴ)!!!（5体を1～2ターンバインド）==HP50％以下で使用、1度きり==|
|3|&mons1040; [[コルト隊兵隊長・ラモット>モンスター図鑑/1040]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''12974''};|&color(#b00){2};|640511|360||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):不運だと観念するんだな（先制・ドロップが見えなくなる）|
|~|&mons1038; [[師団長・コルト>モンスター図鑑/1038]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''9293''};|&color(#b00){1};|41|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):すべては女王の為に（6120ダメージ＆ランダム1色→お邪魔ドロップ）&br;調子に乗るなよ（次回攻撃力2倍）==HP75％以下で使用、1度きり==|
|4|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons1034; [[陶酔の蝶・プフ>モンスター図鑑/1034]]	|BGCOLOR(#f1f1a6):光木|&color(#b00){''-''};|&color(#b00){1};|2553000|400||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):麟粉乃愛泉（先制・999ターン状態異常無効）&br;ただ、それだけの事（連続攻撃11250）&br;催眠作用のある鱗粉（3体を2～3ターンバインド）==HP75％以下で使用、1度きり==&br;#group#蠅の王（99ターン被ダメージ30％減）==HP50％以下で下記と同時に使用==&br;分身からの攻撃（計6750の連続攻撃）#group#&br;#group#ただ、それだけの事（連続攻撃11250）==HP50％以下で下記と同時に使用==&br;分身からの攻撃（計6750の連続攻撃）#group#|
|~|&mons1036; [[形態変化・ユピー>モンスター図鑑/1036]]	|BGCOLOR(#f1bba6):火光|&color(#b00){''-''};|&color(#b00){1};|2853000|400||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):底見えぬオーラ（先制・99ターン4コンボ以下の攻撃吸収）&br;怒りが蓄積していく（何もしない）==2回使用==&br;おのれェエええ（56700）|
|5|&mons1030; [[メルエム>モンスター図鑑/1030]]	|BGCOLOR(#f1f1a6):光闇|&color(#b00){''15635''};|&color(#b00){1};|3650093|3720||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):しっかり体調を戻せ（先制・プレイヤーのHP全回復）&br;まぁよいわ（15635ダメージ＆ランダム1色→お邪魔ドロップ）&br;おぬし なかなか強いな（次回攻撃力2倍）==HP75％以下で使用、1度きり==&br;余の力こそが（次回この世の頂点に在る！使用）==HP25％以下で使用==&br;この世の頂点に在る！（連続攻撃62540）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):東ゴルトー プロ級|
||&mons1031; [[ピトー>モンスター図鑑/1031]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''9613''};|&color(#b00){1};|1340763||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):念人形創出（9613ダメージ＆ランダム1色→お邪魔ドロップ）&br;うにゃ～（連続攻撃15380）==HP50％以下で使用==|
|1|&mons1046; [[審美的転生注射・ザザン>モンスター図鑑/1046]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''9453''};|&color(#b00){2};|671453|||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):我は女王なり!!（先制・999ターン状態異常無効）&br;おのれぁぁああ（連続攻撃15124）==HP50％以下で使用==|
|~|&mons1048; [[愛の放射線・パイク>モンスター図鑑/1048]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''7846''};|&color(#b00){2};|269786|||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):愛の放射線（5体を1～2ターンバインド）|
|2|&mons1044; [[除念能力・ヒナ>モンスター図鑑/1044]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''6239''};|&color(#b00){1};|336731|||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):びびってたりしてぇ～（ランダム3色→お邪魔ドロップ）==2回に1度==|
|~|&mons1042; [[謝債発行機・レオル>モンスター図鑑/1042]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''14674''};|&color(#b00){2};|537564|||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):大波(ビッグウォール)!!!（11739ダメージ＆ランダム1色→水ドロップ）&br;渦波(トルネイヴ)!!!（5体を1～2ターンバインド）==HP50％以下で使用、1度きり==|
|3|&mons1040; [[コルト隊兵隊長・ラモット>モンスター図鑑/1040]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''9533''};|&color(#b00){2};|470619|||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):不運だと観念するんだな（先制・ドロップが見えなくなる）|
|~|&mons1038; [[師団長・コルト>モンスター図鑑/1038]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''6828''};|&color(#b00){1};|33|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):すべては女王の為に（6120ダメージ＆ランダム1色→お邪魔ドロップ）&br;調子に乗るなよ（次回攻撃力2倍）==HP75％以下で使用、1度きり==|
|4|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons1034; [[陶酔の蝶・プフ>モンスター図鑑/1034]]	|BGCOLOR(#f1f1a6):光木|&color(#b00){''-''};|&color(#b00){1};|1730367|280||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):麟粉乃愛泉（先制・999ターン状態異常無効）&br;ただ、それだけの事（連続攻撃7625）&br;催眠作用のある鱗粉（3体を2～3ターンバインド）==HP75％以下で使用、1度きり==&br;#group#蠅の王（99ターン被ダメージ30％減）==HP50％以下で下記と同時に使用==&br;分身からの攻撃（計4578の連続攻撃）#group#&br;#group#ただ、それだけの事（連続攻撃7625）==HP50％以下で下記と同時に使用==&br;分身からの攻撃（計4578の連続攻撃）#group#|
|~|&mons1036; [[形態変化・ユピー>モンスター図鑑/1036]]	|BGCOLOR(#f1bba6):火光|&color(#b00){''-''};|&color(#b00){1};|1933700|280||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):底見えぬオーラ（先制・99ターン4コンボ以下の攻撃吸収）&br;怒りが蓄積していく（何もしない）==2回使用==&br;おのれェエええ（38430）|
|5|&mons1030; [[メルエム>モンスター図鑑/1030]]	|BGCOLOR(#f1f1a6):光闇|&color(#b00){''11488''};|&color(#b00){1};|2681928|||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):しっかり体調を戻せ（先制・プレイヤーのHP全回復）&br;まぁよいわ（11488ダメージ＆ランダム1色→お邪魔ドロップ）&br;おぬし なかなか強いな（次回攻撃力2倍）==HP75％以下で使用、1度きり==&br;余の力こそが（次回この世の頂点に在る！使用）==HP25％以下で使用==&br;この世の頂点に在る！（連続攻撃45952）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):東ゴルトー 超級|
||&mons1031; [[ピトー>モンスター図鑑/1031]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''6143''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):念人形創出（6143ダメージ＆ランダム1色→お邪魔ドロップ）&br;うにゃ～（連続攻撃9828）==HP50％以下で使用==|
|1|&mons1046; [[審美的転生注射・ザザン>モンスター図鑑/1046]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''6040''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):我は女王なり!!（先制・999ターン状態異常無効）&br;おのれぁぁああ（連続攻撃9664）==HP50％以下で使用==|
|~|&mons1048; [[愛の放射線・パイク>モンスター図鑑/1048]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''5014''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):愛の放射線（5体を1～2ターンバインド）|
|2|&mons1044; [[除念能力・ヒナ>モンスター図鑑/1044]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''3987''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):びびってたりしてぇ～（ランダム3色→お邪魔ドロップ）==2回に1度==|
|~|&mons1042; [[謝債発行機・レオル>モンスター図鑑/1042]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''9377''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):大波(ビッグウォール)!!!（7502ダメージ＆ランダム1色→水ドロップ）&br;渦波(トルネイヴ)!!!（5体を1～2ターンバインド）==HP50％以下で使用、1度きり==|
|3|&mons1040; [[コルト隊兵隊長・ラモット>モンスター図鑑/1040]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''6092''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):不運だと観念するんだな（先制・ドロップが見えなくなる）|
|~|&mons1038; [[師団長・コルト>モンスター図鑑/1038]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''4363''};|&color(#b00){1};|25|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):すべては女王の為に（6120ダメージ＆ランダム1色→お邪魔ドロップ）&br;調子に乗るなよ（次回攻撃力2倍）==HP75％以下で使用、1度きり==|
|4|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons1034; [[陶酔の蝶・プフ>モンスター図鑑/1034]]	|BGCOLOR(#f1f1a6):光木|&color(#b00){''-''};|&color(#b00){1};|1181944|200||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):麟粉乃愛泉（先制・999ターン状態異常無効）&br;ただ、それだけの事（連続攻撃5208）&br;催眠作用のある鱗粉（3体を2～3ターンバインド）==HP75％以下で使用、1度きり==&br;#group#蠅の王（99ターン被ダメージ30％減）==HP50％以下で下記と同時に使用==&br;分身からの攻撃（計3126の連続攻撃）#group#&br;#group#ただ、それだけの事（連続攻撃5208）==HP50％以下で下記と同時に使用==&br;分身からの攻撃（計3126の連続攻撃）#group#|
|~|&mons1036; [[形態変化・ユピー>モンスター図鑑/1036]]	|BGCOLOR(#f1bba6):火光|&color(#b00){''-''};|&color(#b00){1};|1320833|200||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):底見えぬオーラ（先制・99ターン4コンボ以下の攻撃吸収）&br;怒りが蓄積していく（何もしない）==2回使用==&br;おのれェエええ（26250）|
|5|&mons1030; [[メルエム>モンスター図鑑/1030]]	|BGCOLOR(#f1f1a6):光闇|&color(#b00){''7341''};|&color(#b00){1};|1713764|||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):しっかり体調を戻せ（先制・プレイヤーのHP全回復）&br;まぁよいわ（11488ダメージ＆ランダム1色→お邪魔ドロップ）&br;おぬし なかなか強いな（次回攻撃力2倍）==HP75％以下で使用、1度きり==&br;余の力こそが（次回この世の頂点に在る！使用）==HP25％以下で使用==&br;この世の頂点に在る！（連続攻撃45952）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):東ゴルトー 上級|
||&mons1031; [[ピトー>モンスター図鑑/1031]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''2673''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|1|&mons1045; [[ザザン>モンスター図鑑/1045]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''2561''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons1047; [[パイク>モンスター図鑑/1047]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''2072''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|2|&mons1043; [[ヒナ>モンスター図鑑/1043]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''1668''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons1041; [[レオル>モンスター図鑑/1041]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''3933''};|&color(#b00){3};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|3|&mons1039; [[ラモット>モンスター図鑑/1039]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''2530''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons1037; [[コルト>モンスター図鑑/1037]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''1794''};|&color(#b00){1};|17|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|4|&mons1033; [[プフ>モンスター図鑑/1033]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''1831''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons1035; [[ユピー>モンスター図鑑/1035]]	|BGCOLOR(#f1bba6):火|&color(#b00){''4808''};|&color(#b00){3};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|5|&mons1029; [[王>モンスター図鑑/1029]]	|BGCOLOR(#f1f1a6):光闇|&color(#b00){''3075''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):東ゴルトー 中級|
||&mons1031; [[ピトー>モンスター図鑑/1031]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''359''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|1|&mons1045; [[ザザン>モンスター図鑑/1045]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''344''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons1047; [[パイク>モンスター図鑑/1047]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''284''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|2|&mons1043; [[ヒナ>モンスター図鑑/1043]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''224''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons1041; [[レオル>モンスター図鑑/1041]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''539''};|&color(#b00){3};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|3|&mons1039; [[ラモット>モンスター図鑑/1039]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''347''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons1037; [[コルト>モンスター図鑑/1037]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''246''};|&color(#b00){1};|12|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|4|&mons1033; [[プフ>モンスター図鑑/1033]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''246''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons1035; [[ユピー>モンスター図鑑/1035]]	|BGCOLOR(#f1bba6):火|&color(#b00){''659''};|&color(#b00){3};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
|5|&mons1029; [[王>モンスター図鑑/1029]]	|BGCOLOR(#f1f1a6):光闇|&color(#b00){''413''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

** 公開履歴 [#q49af120]

//最新3件
|~ |~日時|~備考|
|2|2015/07/20～2015/08/02||
|1|2013/12/23～2014/01/05||

** スキル上げ用途 [#uc68eb8e]

|~素材|~スキル（最大Lv）|~対象モンスター|
|&mons1034;|ドロップ強化・光 (12)|&mons1213; &mons1447;|
|&mons1036;|ダブル攻撃態勢・火 (9)|&mons889; &mons2235; &mons763;|
|&mons1038;|ダブル攻撃態勢・木 (9)|&mons891; &mons1287; &mons767;|
|&mons1046;|ダブル攻撃態勢・闇 (9)|&mons893; &mons2239; &mons796;|
|&mons1042;|ダブル防御態勢・水 (6)|&mons1512; &mons1635; &mons1989;|
|&mons1044;|ダブル防御態勢・光 (6)|&mons1514; &mons1475; &mons1639;|
|&mons1040;|氷の呪い (11)|&mons1258; &mons665;|
|&mons1048;|アースエンハンス (9)|&mons654; &mons1346; &mons1173; &mons725;|

** チーム編成例 [#cf6e0089]

*** [[スコア機能>Tips/スコア機能]] Sランク [#j72468ff]

- 80000でSランク

|~Ver|~チーム編成（左右がリーダー）|~HP|~石|~備考|
|||RIGHT:|RIGHT:||c

//| |&mons000; &mons000; &mons000; &mons000; &mons000; &mons000;| | | |

#include(Parts/チーム編成例の注意,notitle)

* コメント [#c1d95d85]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
