* モンスター（以前の形式）  [#de0cefec]

- パラメータについては各モンスターの詳細ページを参照してださい。
- 関連ページ
-- [[モンスター図鑑/最大値]]
-- [[入手方法]]
-- [[覚醒スキル]]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~名称			|~☆|~タイプ|~属|~CO|~スキル|~リーダースキル|~最大Lv|h
|017|[[スピノン>モンスター図鑑/0017]]	|2|ドラゴン|BGCOLOR(#bba6f1):闇|2|ダークブレス|闇の力|5(150)|
|018|[[スピナス>モンスター図鑑/0018]]	|3|ドラゴン|BGCOLOR(#bba6f1):闇|4|ダークブレス|闇の力|15(150)|
|019|[[デスピナス>モンスター図鑑/0019]]	|4|ドラゴン|BGCOLOR(#bba6f1):闇|6|ヘルブレス|闇の力|35(150)|
|020|[[月光龍デスピナス>モンスター図鑑/0020]]	|5|ドラゴン|BGCOLOR(#bba6f1):闇|10|ヘルブレス|暗黒の力|99(150)|
|021|[[レッドコドラ>モンスター図鑑/0021]]	|2|ドラゴン|BGCOLOR(#f1bba6):火|2|ヒートボール|なし|15(150)|
|022|[[レッドドラゴン>モンスター図鑑/0022]]	|3|ドラゴン|BGCOLOR(#f1bba6):火|5|ヒートボール|火の守り|25(150)|
|023|[[ボルケーノドラゴン>モンスター図鑑/0023]]	|4|ドラゴン|BGCOLOR(#f1bba6):火|11|ファイアボール|火の守り|70(150)|
|024|[[ブルーコドラ>モンスター図鑑/0024]]	|2|ドラゴン|BGCOLOR(#a6f1f1):水|2|コールドボール|なし|15(150)|
|025|[[ブルードラゴン>モンスター図鑑/0025]]	|3|ドラゴン|BGCOLOR(#a6f1f1):水|5|コールドボール|水の守り|25(150)|
|026|[[オーロラドラゴン>モンスター図鑑/0026]]	|4|ドラゴン|BGCOLOR(#a6f1f1):水|11|アイスボール|水の守り|70(150)|
|027|[[グリーンコドラ>モンスター図鑑/0027]]	|2|ドラゴン|BGCOLOR(#bbf1a6):木|2|ウィンドボール|なし|15(150)|
|028|[[グリーンドラゴン>モンスター図鑑/0028]]	|3|ドラゴン|BGCOLOR(#bbf1a6):木|5|ウィンドボール|木の守り|25(150)|
|029|[[アースドラゴン>モンスター図鑑/0029]]	|4|ドラゴン|BGCOLOR(#bbf1a6):木|11|アースボール|木の守り|70(150)|
|030|[[ホワイトコドラ>モンスター図鑑/0030]]	|2|ドラゴン|BGCOLOR(#f1f1a6):光|2|フラッシュボール|なし|15(150)|
|031|[[ホワイトドラゴン>モンスター図鑑/0031]]	|3|ドラゴン|BGCOLOR(#f1f1a6):光|5|フラッシュボール|光の守り|25(150)|
|032|[[ホーリードラゴン>モンスター図鑑/0032]]	|4|ドラゴン|BGCOLOR(#f1f1a6):光|11|サンダーボール|光の守り|70(150)|
|033|[[ブラックコドラ>モンスター図鑑/0033]]	|2|ドラゴン|BGCOLOR(#bba6f1):闇|2|ダークボール|なし|15(150)|
|034|[[ブラックドラゴン>モンスター図鑑/0034]]	|3|ドラゴン|BGCOLOR(#bba6f1):闇|5|ダークボール|闇の守り|25(150)|
|035|[[デビルドラゴン>モンスター図鑑/0035]]	|4|ドラゴン|BGCOLOR(#bba6f1):闇|11|カオスボール|闇の守り|70(150)|
|036|[[ホノりん>モンスター図鑑/0036]]	|1|バランス|BGCOLOR(#f1bba6):火|1|なし|なし|10(100)|
|037|[[デカホノりん>モンスター図鑑/0037]]	|2|バランス|BGCOLOR(#f1bba6):火|3|攻撃態勢・火|なし|30(100)|
|038|[[アワりん>モンスター図鑑/0038]]	|1|バランス|BGCOLOR(#a6f1f1):水|1|なし|なし|10(100)|
|039|[[デカアワりん>モンスター図鑑/0039]]	|2|バランス|BGCOLOR(#a6f1f1):水|3|防御態勢・水|なし|30(100)|
|040|[[モリりん>モンスター図鑑/0040]]	|1|バランス|BGCOLOR(#bbf1a6):木|1|なし|なし|10(100)|
|041|[[デカモリりん>モンスター図鑑/0041]]	|2|バランス|BGCOLOR(#bbf1a6):木|3|ドロップリフレッシュ|なし|30(100)|
|042|[[ヒカりん>モンスター図鑑/0042]]	|1|バランス|BGCOLOR(#f1f1a6):光|1|なし|なし|10(100)|
|043|[[デカヒカりん>モンスター図鑑/0043]]	|2|バランス|BGCOLOR(#f1f1a6):光|3|防御態勢・光|なし|30(100)|
|044|[[ワルりん>モンスター図鑑/0044]]	|1|バランス|BGCOLOR(#bba6f1):闇|1|なし|なし|10(100)|
|045|[[デカワルりん>モンスター図鑑/0045]]	|2|バランス|BGCOLOR(#bba6f1):闇|3|攻撃態勢・闇|なし|30(100)|
|046|[[レッドカーバンクル>モンスター図鑑/0046]]	|1|回復|BGCOLOR(#f1bba6):火|2|癒しの光|なし|10(100)|
|047|[[ルビーカーバンクル>モンスター図鑑/0047]]	|2|回復|BGCOLOR(#f1bba6):火|5|回復の光|なし|30(100)|
|048|[[ブルーカーバンクル>モンスター図鑑/0048]]	|1|回復|BGCOLOR(#a6f1f1):水|2|癒しの光|なし|10(100)|
|049|[[サファイアカーバンクル>モンスター図鑑/0049]]	|2|回復|BGCOLOR(#a6f1f1):水|5|回復の光|なし|30(100)|
|050|[[グリーンカーバンクル>モンスター図鑑/0050]]	|1|回復|BGCOLOR(#bbf1a6):木|2|癒しの光|なし|10(100)|
|051|[[エメラルドカーバンクル>モンスター図鑑/0051]]	|2|回復|BGCOLOR(#bbf1a6):木|5|回復の光|なし|30(100)|
|052|[[イエローカーバンクル>モンスター図鑑/0052]]	|1|回復|BGCOLOR(#f1f1a6):光|2|癒しの光|なし|10(100)|
|053|[[トパーズカーバンクル>モンスター図鑑/0053]]	|2|回復|BGCOLOR(#f1f1a6):光|5|回復の光|なし|30(100)|
|054|[[パープルカーバンクル>モンスター図鑑/0054]]	|1|回復|BGCOLOR(#bba6f1):闇|2|癒しの光|なし|10(100)|
|055|[[アメジストカーバンクル>モンスター図鑑/0055]]	|2|回復|BGCOLOR(#bba6f1):闇|5|回復の光|なし|30(100)|
|056|[[レッドゴブリン>モンスター図鑑/0056]]	|1|攻撃|BGCOLOR(#f1bba6):火|2|なし|なし|10(150)|
|057|[[武者ゴブリン>モンスター図鑑/0057]]	|2|攻撃|BGCOLOR(#f1bba6):火|5|攻撃態勢・火|なし|30(150)|
|058|[[ブルーゴブリン>モンスター図鑑/0058]]	|1|攻撃|BGCOLOR(#a6f1f1):水|2|なし|なし|10(150)|
|059|[[マリンゴブリン>モンスター図鑑/0059]]	|2|攻撃|BGCOLOR(#a6f1f1):水|5|防御態勢・水|なし|30(150)|
|060|[[ゴブリン>モンスター図鑑/0060]]		|1|攻撃|BGCOLOR(#bbf1a6):木|2|なし|なし|10(150)|
|061|[[ホブゴブリン>モンスター図鑑/0061]]	|2|攻撃|BGCOLOR(#bbf1a6):木|5|ドロップリフレッシュ|なし|30(150)|
|062|[[レッドオーガ>モンスター図鑑/0062]]	|2|体力|BGCOLOR(#f1bba6):火|4|なし|根性|15(150)|
|063|[[サムライオーガ>モンスター図鑑/0063]]	|3|体力|BGCOLOR(#f1bba6):火|7|なし|根性|50(150)|
|064|[[ブルーオーガ>モンスター図鑑/0064]]	|2|体力|BGCOLOR(#a6f1f1):水|4|なし|根性|15(150)|
|065|[[アイスオーガ>モンスター図鑑/0065]]	|3|体力|BGCOLOR(#a6f1f1):水|7|なし|根性|50(150)|
|066|[[オーガ>モンスター図鑑/0066]]		|2|体力|BGCOLOR(#bbf1a6):木|4|なし|根性|15(150)|
|067|[[アーマーオーガ>モンスター図鑑/0067]]	|3|体力|BGCOLOR(#bbf1a6):木|7|なし|根性|50(150)|
|068|[[フレイムファイター>モンスター図鑑/0068]]	|2|バランス|BGCOLOR(#f1bba6):火|3|ガードブレイク|なし|15(100)|
|069|[[フレイムナイト>モンスター図鑑/0069]]	|3|バランス|BGCOLOR(#f1bba6):火|6|ガードブレイク|なし|50(100)|
|070|[[アクアファイター>モンスター図鑑/0070]]	|2|バランス|BGCOLOR(#a6f1f1):水|3|ガードブレイク|なし|15(100)|
|071|[[アクアナイト>モンスター図鑑/0071]]	|3|バランス|BGCOLOR(#a6f1f1):水|6|ガードブレイク|なし|50(100)|
|072|[[アースファイター>モンスター図鑑/0072]]	|2|バランス|BGCOLOR(#bbf1a6):木|3|ガードブレイク|なし|15(100)|
|073|[[アースナイト>モンスター図鑑/0073]]	|3|バランス|BGCOLOR(#bbf1a6):木|6|ガードブレイク|なし|50(100)|
|074|[[ホワイトファイター>モンスター図鑑/0074]]	|2|バランス|BGCOLOR(#f1f1a6):光|3|ガードブレイク|なし|15(100)|
|075|[[ホワイトナイト>モンスター図鑑/0075]]	|3|バランス|BGCOLOR(#f1f1a6):光|6|ガードブレイク|なし|50(100)|
|076|[[ブラックファイター>モンスター図鑑/0076]]	|2|バランス|BGCOLOR(#bba6f1):闇|3|ガードブレイク|なし|15(100)|
|077|[[ブラックナイト>モンスター図鑑/0077]]	|3|バランス|BGCOLOR(#bba6f1):闇|6|ガードブレイク|なし|50(100)|
|078|[[フレイムゴーレム>モンスター図鑑/0078]]	|3|体力/マシン|BGCOLOR(#f1bba6):火|6|防御の構え|守りの心得|25(150)|
|079|[[フレイムガーディアン>モンスター図鑑/0079]]	|4|体力/マシン|BGCOLOR(#f1bba6):火|9|防御の構え|守りの心得|70(150)|
|080|[[アイスゴーレム>モンスター図鑑/0080]]		|3|体力/マシン|BGCOLOR(#a6f1f1):水|6|防御の構え|守りの心得|25(150)|
|081|[[アイスガーディアン>モンスター図鑑/0081]]		|4|体力/マシン|BGCOLOR(#a6f1f1):水|9|防御の構え|守りの心得|70(150)|
|082|[[アースゴーレム>モンスター図鑑/0082]]		|3|体力/マシン|BGCOLOR(#bbf1a6):木|6|防御の構え|守りの心得|25(150)|
|083|[[アースガーディアン>モンスター図鑑/0083]]		|4|体力/マシン|BGCOLOR(#bbf1a6):木|9|防御の構え|守りの心得|70(150)|
|084|[[マシンゴーレム>モンスター図鑑/0084]]		|3|体力/マシン|BGCOLOR(#f1f1a6):光|6|アーマーブレイク|守りの心得|25(150)|
|085|[[マシンゴーレムMk-II>モンスター図鑑/0085]]	|4|体力/マシン|BGCOLOR(#f1f1a6):光|9|アーマーブレイク|守りの心得|70(150)|
|086|[[ダークゴーレム>モンスター図鑑/0086]]		|3|体力/マシン|BGCOLOR(#bba6f1):闇|6|アーマーブレイク|守りの心得|25(150)|
|087|[[ダークゴーレムMk-II>モンスター図鑑/0087]]	|4|体力/マシン|BGCOLOR(#bba6f1):闇|9|アーマーブレイク|守りの心得|70(150)|
|088|[[ナーガ>モンスター図鑑/0088]]	|3|回復|BGCOLOR(#f1bba6):火|5|威嚇|業火|25(100)|
|089|[[エキドナ>モンスター図鑑/0089]]	|4|回復|BGCOLOR(#f1bba6):火|8|威嚇|業火|70(100)|
|090|[[マーメイド>モンスター図鑑/0090]]	|3|回復|BGCOLOR(#a6f1f1):水|5|防御態勢・水|癒しの唄|25(100)|
|091|[[セイレーン>モンスター図鑑/0091]]	|4|回復|BGCOLOR(#a6f1f1):水|8|防御態勢・水|癒しの唄|70(100)|
|092|[[ドリヤード>モンスター図鑑/0092]]	|3|回復|BGCOLOR(#bbf1a6):木|5|キュアー|癒しの祈り|25(100)|
|093|[[アルラウネ>モンスター図鑑/0093]]	|4|回復|BGCOLOR(#bbf1a6):木|8|キュアー|癒しの祈り|70(100)|
|094|[[キューピッド>モンスター図鑑/0094]]	|3|回復|BGCOLOR(#f1f1a6):光|5|ヒール|癒しの唄|25(100)|
|095|[[エンジェル>モンスター図鑑/0095]]	|4|回復|BGCOLOR(#f1f1a6):光|8|ヒール|癒しの唄|70(100)|
|096|[[サキュバス>モンスター図鑑/0096]]	|3|回復|BGCOLOR(#bba6f1):闇|5|毒の霧|クイック|25(100)|
|097|[[リリス>モンスター図鑑/0097]]	|4|回復|BGCOLOR(#bba6f1):闇|8|毒の霧|クイック|70(100)|
|098|[[炎の魔剣士>モンスター図鑑/0098]]	|3|バランス|BGCOLOR(#f1bba6):火|6|ドロップ変化・火|火の守り|25(150)|
|099|[[フェニックスナイト>モンスター図鑑/0099]]|4|バランス|BGCOLOR(#f1bba6):火|9|ドロップ変化・火|火の守り|70(150)|
|100|[[氷の魔剣士>モンスター図鑑/0100]]	|3|バランス|BGCOLOR(#a6f1f1):水|6|ドロップ変化・水|水の守り|25(150)|
|101&aname(no101);|[[フェンリルナイト>モンスター図鑑/0101]]|4|バランス|BGCOLOR(#a6f1f1):水|9|ドロップ変化・水|水の守り|70(150)|
|102|[[岩の魔剣士>モンスター図鑑/0102]]	|3|バランス|BGCOLOR(#bbf1a6):木|6|ドロップ変化・木|木の守り|25(150)|
|103|[[ドラゴンナイト>モンスター図鑑/0103]]|4|バランス|BGCOLOR(#bbf1a6):木|9|ドロップ変化・木|木の守り|70(150)|
|104|[[光の魔剣士>モンスター図鑑/0104]]	|3|バランス|BGCOLOR(#f1f1a6):光|6|ドロップ変化・光|光の守り|25(150)|
|105|[[ヴァーチェ>モンスター図鑑/0105]]	|4|バランス|BGCOLOR(#f1f1a6):光|9|ドロップ変化・光|光の守り|70(150)|
|106|[[タイタン>モンスター図鑑/0106]]	|3|体力|BGCOLOR(#f1bba6):火|7|攻撃態勢・火|根性|25(150)|
|107|[[ギガンテス>モンスター図鑑/0107]]	|4|体力|BGCOLOR(#f1bba6):火|10|攻撃態勢・火|根性|70(400)|
|108|[[闇の魔剣士>モンスター図鑑/0108]]	|3|バランス|BGCOLOR(#bba6f1):闇|6|ドロップ変化・闇|闇の守り|25(150)|
|109|[[ダークドラゴンナイト>モンスター図鑑/0109]]|4|バランス|BGCOLOR(#bba6f1):闇|9|ドロップ変化・闇|闇の守り|70(150)|
|110|[[ヴァンパイア>モンスター図鑑/0110]]	|3|バランス|BGCOLOR(#bba6f1):闇|6|攻撃態勢・闇|なし|25(150)|
|111|[[ヴァンパイアロード>モンスター図鑑/0111]]|4|バランス|BGCOLOR(#bba6f1):闇|10|攻撃態勢・闇|暗黒の力|70(400)|
|112|[[サラマンダー>モンスター図鑑/0112]]	|4|ドラゴン|BGCOLOR(#f1bba6):火|7|ファイアブレス|火の力|35(150)|
|113|[[イフリート>モンスター図鑑/0113]]	|5|ドラゴン|BGCOLOR(#f1bba6):火|13|マグマブレス|爆炎の力|99(400)|
|114|[[シーサーペント>モンスター図鑑/0114]]|4|ドラゴン|BGCOLOR(#a6f1f1):水|7|アイスブレス|水の力|35(150)|
|115|[[リヴァイアサン>モンスター図鑑/0115]]|5|ドラゴン|BGCOLOR(#a6f1f1):水|13|ブリザードブレス|激流の力|99(400)|
|116|[[ドラゴネット>モンスター図鑑/0116]]	|4|ドラゴン|BGCOLOR(#bbf1a6):木|7|アースブレス|木の力|35(150)|
|117|[[ファフニール>モンスター図鑑/0117]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木|13|ガイアブレス|大地の力|99(400)|
|118|[[白龍>モンスター図鑑/0118]]	|4|ドラゴン|BGCOLOR(#f1f1a6):光|7|サンダーブレス|光の力|35(150)|
|119|[[神龍>モンスター図鑑/0119]]	|5|ドラゴン/神|BGCOLOR(#f1f1a6):光|13|ホーリーブレス|閃光の力|99(400)|
|120|[[バジリスク>モンスター図鑑/0120]]	|4|ドラゴン|BGCOLOR(#bba6f1):闇|7|カオスブレス|闇の力|35(150)|
|121|[[ティアマット>モンスター図鑑/0121]]	|5|ドラゴン|BGCOLOR(#bba6f1):闇|13|ヘルブレス|暗黒の力|99(400)|
|122|[[ミネルヴァ>モンスター図鑑/0122]]	|5|神|BGCOLOR(#f1bba6):火|15|エナジーボム|炎の防壁|50(400)|
|123|[[戦女神・ミネルヴァ>モンスター図鑑/0123]]|6|神|BGCOLOR(#f1bba6):火|20|クイックボム|炎の防壁|99(400)|
|124|[[ネプチューン>モンスター図鑑/0124]]	|5|神|BGCOLOR(#a6f1f1):水|15|猛毒の霧|氷の防壁|50(400)|
|125|[[海王神・ネプチューン>モンスター図鑑/0125]]|6|神|BGCOLOR(#a6f1f1):水|20|ヒュドラの毒|氷の防壁|99(400)|
|126|[[セレス>モンスター図鑑/0126]]	|5|神|BGCOLOR(#bbf1a6):木|15|完治の光|大樹の防壁|50(400)|
|127|[[豊穣神・セレス>モンスター図鑑/0127]]|6|神|BGCOLOR(#bbf1a6):木|20|完治の光|大樹の防壁|99(400)|
|128|[[ヴィーナス>モンスター図鑑/0128]]	|5|神|BGCOLOR(#f1f1a6):光|15|ワールド|光の防壁|50(400)|
|129|[[慈愛神・ヴィーナス>モンスター図鑑/0129]]|6|神|BGCOLOR(#f1f1a6):光|20|チェンジ・ザ・ワールド|光の防壁|99(400)|
|130|[[ハーデス>モンスター図鑑/0130]]	|5|神|BGCOLOR(#bba6f1):闇|15|グラビティ|闇の防壁|50(400)|
|131|[[冥界神・ハーデス>モンスター図鑑/0131]]|6|神|BGCOLOR(#bba6f1):闇|20|ギガグラビティ|闇の防壁|99(400)|
|132|[[カグツチ>モンスター図鑑/0132]]	|5|神|BGCOLOR(#f1bba6):火|15|エナジーボム|煉獄|50(400)|
|133|[[ヒノカグツチ>モンスター図鑑/0133]]	|6|神|BGCOLOR(#f1bba6):火|20|バーストボム|神の業火|99(400)|
|134|[[オロチ>モンスター図鑑/0134]]	|5|神|BGCOLOR(#a6f1f1):水|15|威圧|ド根性|50(400)|
|135|[[ヤマタノオロチ>モンスター図鑑/0135]]|6|神|BGCOLOR(#a6f1f1):水|20|威圧|ド根性|99(400)|
|136|[[スサノオ>モンスター図鑑/0136]]	|5|神|BGCOLOR(#bbf1a6):木|15|鉄壁の構え|鉄壁の心得|50(400)|
|137|[[スサノオノミコト>モンスター図鑑/0137]]|6|神|BGCOLOR(#bbf1a6):木|20|鉄壁の構え|鉄壁の心得|99(400)|
|138|[[アマテラス>モンスター図鑑/0138]]	|5|神|BGCOLOR(#f1f1a6):光|15|完治の光|癒しの唄|50(400)|
|139|[[アマテラスオオカミ>モンスター図鑑/0139]]|6|神|BGCOLOR(#f1f1a6):光|20|完治の光|神の奇跡|99(400)|
|140|[[ヨミ>モンスター図鑑/0140]]	|5|神|BGCOLOR(#bba6f1):闇|15|チェンジ・ザ・ワールド|クイックブースト|50(400)|
|141|[[ツクヨミ>モンスター図鑑/0141]]	|6|神|BGCOLOR(#bba6f1):闇|20|チェンジ・ザ・ワールド|神の一手|99(400)|
|142|[[炎龍・ムスプルヘイム>モンスター図鑑/0142]]|6|ドラゴン|BGCOLOR(#f1bba6):火|25|マグマブレス|炎の防壁|99(400)|
|143|[[氷龍・ニブルヘイム>モンスター図鑑/0143]]|6|ドラゴン|BGCOLOR(#a6f1f1):水|25|ブリザードブレス|氷の防壁|99(400)|
|144|[[島龍・ユグドラシル>モンスター図鑑/0144]]|6|ドラゴン|BGCOLOR(#bbf1a6):木|25|ガイアブレス|大樹の防壁|99(400)|
|145|[[機龍・ヴァルハラ>モンスター図鑑/0145]]|6|ドラゴン/マシン|BGCOLOR(#f1f1a6):光|25|ホーリーブレス|光の防壁|99(400)|
|146|[[邪龍・ヘルヘイム>モンスター図鑑/0146]]|6|ドラゴン|BGCOLOR(#bba6f1):闇|25|ヘルブレス|闇の防壁|99(400)|
|147|[[炎の番人>モンスター図鑑/0147]]	|4|進化用|BGCOLOR(#f1bba6):火|11|防御の構え|守りの心得|1|
|148|[[水の番人>モンスター図鑑/0148]]	|4|進化用|BGCOLOR(#a6f1f1):水|11|防御の構え|守りの心得|1|
|149|[[森の番人>モンスター図鑑/0149]]	|4|進化用|BGCOLOR(#bbf1a6):木|11|防御の構え|守りの心得|1|
|150|[[光の番人>モンスター図鑑/0150]]	|4|進化用|BGCOLOR(#f1f1a6):光|11|防御の構え|守りの心得|1|
|151|[[闇の番人>モンスター図鑑/0151]]	|4|進化用|BGCOLOR(#bba6f1):闇|11|防御の構え|守りの心得|1|
|152|[[ドラゴンシード>モンスター図鑑/0152]]|2|進化用|BGCOLOR(#bbf1a6):木|1|なし|なし|1|
|153|[[ドラゴンプラント>モンスター図鑑/0153]]|3|進化用|BGCOLOR(#bbf1a6):木|1|なし|なし|1|
|154|[[ドラゴンフラワー>モンスター図鑑/0154]]|4|進化用|BGCOLOR(#bbf1a6):木|1|なし|なし|1|
|155|[[ルビリット>モンスター図鑑/0155]]	|2|進化用|BGCOLOR(#f1bba6):火|1|なし|なし|1|
|156|[[サファリット>モンスター図鑑/0156]]	|2|進化用|BGCOLOR(#a6f1f1):水|1|なし|なし|1|
|157|[[エメリット>モンスター図鑑/0157]]	|2|進化用|BGCOLOR(#bbf1a6):木|1|なし|なし|1|
|158|[[トパリット>モンスター図鑑/0158]]	|2|進化用|BGCOLOR(#f1f1a6):光|1|なし|なし|1|
|159|[[アメリット>モンスター図鑑/0159]]	|2|進化用|BGCOLOR(#bba6f1):闇|1|なし|なし|1|
|160|[[ミスリット>モンスター図鑑/0160]]	|5|進化用|BGCOLOR(#bba6f1):闇|1|なし|なし|1|
|161|[[進化の赤仮面>モンスター図鑑/0161]]	|1|進化用|BGCOLOR(#f1bba6):火|1|なし|なし|1|
|162|[[進化の青仮面>モンスター図鑑/0162]]	|1|進化用|BGCOLOR(#a6f1f1):水|1|なし|なし|1|
|163|[[進化の緑仮面>モンスター図鑑/0163]]	|1|進化用|BGCOLOR(#bbf1a6):木|1|なし|なし|1|
|164|[[進化の黄仮面>モンスター図鑑/0164]]	|1|進化用|BGCOLOR(#f1f1a6):光|1|なし|なし|1|
|165|[[進化の紫仮面>モンスター図鑑/0165]]	|1|進化用|BGCOLOR(#bba6f1):闇|1|なし|なし|1|
|166|[[朱色の鬼神面>モンスター図鑑/0166]]	|3|進化用|BGCOLOR(#f1bba6):火|1|なし|なし|1|
|167|[[蒼色の鬼神面>モンスター図鑑/0167]]	|3|進化用|BGCOLOR(#a6f1f1):水|1|なし|なし|1|
|168|[[碧色の鬼神面>モンスター図鑑/0168]]	|3|進化用|BGCOLOR(#bbf1a6):木|1|なし|なし|1|
|169|[[黄金の鬼神面>モンスター図鑑/0169]]	|3|進化用|BGCOLOR(#f1f1a6):光|1|なし|なし|1|
|170|[[紫色の鬼神面>モンスター図鑑/0170]]	|3|進化用|BGCOLOR(#bba6f1):闇|1|なし|なし|1|
|171|[[神化の紅面>モンスター図鑑/0171]]	|5|進化用|BGCOLOR(#f1bba6):火|1|なし|なし|1|
|172|[[神化の蒼面>モンスター図鑑/0172]]	|5|進化用|BGCOLOR(#a6f1f1):水|1|なし|なし|1|
|173|[[神化の碧面>モンスター図鑑/0173]]	|5|進化用|BGCOLOR(#bbf1a6):木|1|なし|なし|1|
|174|[[神化の金面>モンスター図鑑/0174]]	|5|進化用|BGCOLOR(#f1f1a6):光|1|なし|なし|1|
|175|[[神化の黒面>モンスター図鑑/0175]]	|5|進化用|BGCOLOR(#bba6f1):闇|1|なし|なし|1|
|176|[[メタルドラゴン>モンスター図鑑/0176]]|3|強化用|BGCOLOR(#bba6f1):闇|1|なし|なし|1|
|177|[[ハイメタルドラゴン>モンスター図鑑/0177]]|4|強化用|BGCOLOR(#bba6f1):闇|1|なし|なし|1|
|178|[[キングメタルドラゴン>モンスター図鑑/0178]]|5|強化用|BGCOLOR(#bba6f1):闇|1|龍撃態勢・闇|なし|1|
|179|[[ゴールドドラゴン>モンスター図鑑/0179]]|3|強化用|BGCOLOR(#f1f1a6):光|1|なし|なし|1|
|180|[[ハイゴールドドラゴン>モンスター図鑑/0180]]|4|強化用|BGCOLOR(#f1f1a6):光|1|なし|なし|1|
|181|[[キングゴールドドラゴン>モンスター図鑑/0181]]|5|強化用|BGCOLOR(#f1f1a6):光|1|龍撃態勢・輝|なし|1|
|182|[[ポリン>モンスター図鑑/0182]]	|3|強化用|BGCOLOR(#f1bba6):火|10|アーマーブレイク|炎の防壁|1|
|183|[[マーリン>モンスター図鑑/0183]]	|3|強化用|BGCOLOR(#a6f1f1):水|10|攻撃態勢・水|氷の防壁|1|
