* 降臨チャレンジ！9【ノーコン】 [#rba4c151]

- [[降臨チャレンジ！>スペシャルダンジョン/降臨チャレンジ！]]

|~名称		|~スタミナ|~バトル|~備考|~宝玉|~クリア報酬|
|&mons2069; 遊楽魔		|50|8|[[アーミル降臨！>スペシャルダンジョン/アーミル降臨！]]&br;超地獄級|&mons752;|[[潜在たまドラ☆HP強化>モンスター図鑑/2207]]|
|&mons1629; 魔公子		|50|5|[[コシュまる降臨！>スペシャルダンジョン/コシュまる降臨！]]&br;超地獄級|&mons750;|[[潜在たまドラ☆攻撃強化>モンスター図鑑/2208]]|
|&mons1532; 海澪神		|50|10|[[ゼウス・マーキュリー降臨！>スペシャルダンジョン/ゼウス・マーキュリー降臨！]]&br;超地獄級|&mons748;|[[潜在たまドラ☆回復強化>モンスター図鑑/2209]]|
|&mons599; 魔炎妃		|50|5|[[ヘラ・ウルズ降臨！>スペシャルダンジョン/ヘラ・ウルズ降臨！]]&br;超地獄級|&mons746;|[[潜在たまドラ☆自動回復>モンスター図鑑/2210]]|
|&mons645; 狂皇子		|50|5|[[ベルゼブブ降臨！>スペシャルダンジョン/ベルゼブブ降臨！]]&br;超地獄級|&mons754;|[[闇の宝玉>モンスター図鑑/1329]]|
|&mons1525; 義愛龍 全属性必須	|50|7|[[カネツグ降臨！>スペシャルダンジョン/カネツグ降臨！]]&br;超地獄級|&mons752;|[[光の宝玉>モンスター図鑑/1328]]|
|&mons648; 煌女神		|50|4|[[アテナ降臨！>スペシャルダンジョン/アテナ降臨！]]&br;超地獄級|&mons750;|[[木の宝玉>モンスター図鑑/1327]]|
|&mons226; 聖女神		|50|5|[[女神降臨！>スペシャルダンジョン/女神降臨！]]&br;超地獄級|&mons748;|[[水の宝玉>モンスター図鑑/1326]]|
|&mons187; 全能神		|50|5|[[ゼウス降臨！>スペシャルダンジョン/ゼウス降臨！]]&br;超地獄級|&mons746;|[[火の宝玉>モンスター図鑑/1325]]|
|&mons778; 修験者 コスト12以下のみ	|50|5|[[大天狗 降臨！>スペシャルダンジョン/大天狗 降臨！]]&br;地獄級||[[ノエルドラゴン・ブルー>モンスター図鑑/0521]]&br;（Lv最大）|
|&mons565; 大義賊			|50|5|[[大泥棒参上！>スペシャルダンジョン/大泥棒参上！]]&br;地獄級||[[ぷれドラ>モンスター図鑑/2250]]|
|&mons1061; 屍霊龍 ドラゴン限定	|50|4|[[ドラゴンゾンビ降臨！>スペシャルダンジョン/ドラゴンゾンビ降臨！]]&br;地獄級||[[たまドラ>モンスター図鑑/0797]]&br;（HP+5、攻撃+5、回復+5）|
|&mons189; 神王妃		|40|10|[[ヘラ降臨！>スペシャルダンジョン/ヘラ降臨！]]&br;地獄級||5000友情ポイント|
|&mons221; 双勇者	|40|5|[[勇者降臨！>スペシャルダンジョン/勇者降臨！]]&br;地獄級||500万コイン|


* コメント [#x2d93143]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
