*炎の歴龍【3色限定】 [#z238cef0]

#style(class=panelNote){{
このダンジョンは[[歴龍の大魔境>テクニカルダンジョン/歴龍の大魔境]]で常設化されたため、今後登場する可能性が低いです。
}}

#ginclude(Parts/関連,notitle,or,spd4)

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|紅の孤島 地獄級（テクニカル）	|50|10|33000|19000|&color(#080){''380''};|
|紅の孤島 超級（テクニカル）		|40|10|25000|16000|&color(#080){''400''};|
|紅の孤島 上級（テクニカル）		|25|10|19000|10000|&color(#080){''400''};|
|紅の孤島 中級（テクニカル）		|15|5|5300|3000|&color(#080){''200''};|

- 3色限定なので光・闇のドロップが出ない。（ボスのスキルで光ドロップは出てくるが道中は無し）
- 中級・上級のボスの難易度を調整（2012/12/31 5:00）
- ボスHPが下方修正された模様（地獄級：10584899→5209800、超級：7174210→3502145）（2013/12/23 0:00）

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|10|[[火の歴龍・アードベッグ>モンスター図鑑/0441]]	|BGCOLOR(#f1bba6):火|&color(#b00){''6446''};|&color(#b00){1};|3502145|0|豊穣の守り（999ターン状態異常無効）&br;太陽の恵み・水（水ドロップ→光ドロップ）&br;ブレイズボール（9669）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):紅の孤島 上級|
||[[パイロデビル>モンスター図鑑/0191]]			|BGCOLOR(#f1bba6):火|&color(#b00){''2359''};|&color(#b00){1};|12912|980|怒り（3ターン攻撃力1.3倍）|
||[[パイロデーモン>モンスター図鑑/0192]]		|BGCOLOR(#f1bba6):火|&color(#b00){''3701''};|&color(#b00){1};|31618|1540|ウォーターバインド|
||[[フレイムナイト>モンスター図鑑/0069]]		|BGCOLOR(#f1bba6):火|&color(#b00){''3335''};|&color(#b00){2};|16165|189||
||[[アカムギドラ>モンスター図鑑/0523]]			|BGCOLOR(#f1bba6):火|&color(#b00){''5348''};|&color(#b00){2};|59475|70|バインドアタック|
|5|[[爆炎龍ティラノス>モンスター図鑑/0004]]   		|BGCOLOR(#f1bba6):火|&color(#b00){''5958''};|&color(#b00){2};|184525|315|マグマブレス（11916）|
|9|[[ナーガ>モンスター図鑑/0088]]x2			|BGCOLOR(#f1bba6):火|&color(#b00){''810''};|&color(#b00){2};|11700|80||
|~|[[エキドナ>モンスター図鑑/0089]]			|BGCOLOR(#f1bba6):火|&color(#b00){''5040''};|&color(#b00){2};|144300|240||
|10|[[火の歴龍・アードベッグ>モンスター図鑑/0441]]	|BGCOLOR(#f1bba6):火|&color(#b00){''2360''};|&color(#b00){1};|2626623|0|豊穣の守り（999ターン状態異常無効）&br;太陽の恵み・水（水ドロップ→光ドロップ）&br;ブレイズボール（3540）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):紅の孤島 中級|
||[[パイロデビル>モンスター図鑑/0191]]			|BGCOLOR(#f1bba6):火|&color(#b00){''1611''};|&color(#b00){1};|8819|700|怒り（3ターン攻撃力1.3倍）|
||[[アカムギドラ>モンスター図鑑/0523]]			|BGCOLOR(#f1bba6):火|&color(#b00){''3653''};|&color(#b00){2};|40625|50|バインドアタック|
||[[フレイムファイター>モンスター図鑑/0068]]		|BGCOLOR(#f1bba6):火|&color(#b00){''1140''};|&color(#b00){3};|3750|100||
|5|[[火の歴龍・アードベッグ>モンスター図鑑/0441]]	|BGCOLOR(#f1bba6):火|&color(#b00){''317''};|&color(#b00){1};|352830|0|豊穣の守り（999ターン状態異常無効）&br;太陽の恵み・水（水ドロップ→光ドロップ）&br;ブレイズボール（476）|

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

* コメント [#f529f3e5]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
