* 真・無限回廊 [#e3e7c440]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|真・無限回廊（テクニカル）	|0|30|0|0|&color(#080){''0''};|

- [[無限回廊>スペシャルダンジョン/無限回廊]]

- 上級者のやり込み要素的なダンジョン。
- [[無限回廊>スペシャルダンジョン/新・無限回廊]]をクリアすると出現。
- クリアすると[[絶・無限回廊>スペシャルダンジョン/絶・無限回廊]]が出現

|~面|~名前	|~ |~属性|~攻撃力|~後|~HP|~防御|~備考|
|2|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか4体が出現|
|~|&mons262; %%%[[フレイムキメラ>モンスター図鑑/0262]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''7650''};|&color(#b00){2};|34500|500||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（10710）|
|~|&mons264; %%%[[バブルキメラ>モンスター図鑑/0264]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''7440''};|&color(#b00){2};|33000|500||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（10416）|
|~|&mons266; %%%[[リーフキメラ>モンスター図鑑/0266]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''7200''};|&color(#b00){2};|31500|500||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（10080）|
|~|&mons268; %%%[[ボルトキメラ>モンスター図鑑/0268]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''7890''};|&color(#b00){2};|36000|500||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（11046）|
|~|&mons270; %%%[[ミストキメラ>モンスター図鑑/0270]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''8100''};|&color(#b00){2};|39500|500||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（11340）|
|3|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons142; %%%[[炎龍・ムスプルヘイム>モンスター図鑑/0142]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){3};|454650|930||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):マグマブレス（連続攻撃13320）|
|~|&mons143; %%%[[氷龍・ニブルヘイム>モンスター図鑑/0143]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){8};|484650|310||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ブリザードブレス（連続攻撃68910）|
|~|&mons144; %%%[[島龍・ユグドラシル>モンスター図鑑/0144]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){4};|34650|62000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ガイアブレス（連続攻撃17160）|
|~|&mons145; %%%[[機龍・ヴァルハラ>モンスター図鑑/0145]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|379650|930||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ホーリーブレス（連続攻撃5910）|
|~|&mons146; %%%[[邪龍・ヘルヘイム>モンスター図鑑/0146]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){2};|454650|620||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ヘルブレス（連続攻撃11070）|
|4|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか5体が出現|
|~|&mons191; %%%[[パイロデビル>モンスター図鑑/0191]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''3480''};|&color(#b00){1};|19050|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons193; %%%[[フロストデビル>モンスター図鑑/0193]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''3510''};|&color(#b00){1};|19200|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons195; %%%[[タウロスデビル>モンスター図鑑/0195]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''3570''};|&color(#b00){1};|19350|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons197; %%%[[ハーピィデビル>モンスター図鑑/0197]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''3600''};|&color(#b00){1};|19650|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons199; %%%[[ブラッドデビル>モンスター図鑑/0199]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''3690''};|&color(#b00){1};|19800|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|5|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons063; %%%[[サムライオーガ>モンスター図鑑/0063]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''13500''};|&color(#b00){3};|61500|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):気合溜め（次回攻撃力2倍）|
|~|&mons065; %%%[[アイスオーガ>モンスター図鑑/0065]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''13740''};|&color(#b00){3};|62250|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):気合溜め（次回攻撃力2倍）|
|~|&mons067; %%%[[アーマーオーガ>モンスター図鑑/0067]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''13950''};|&color(#b00){3};|63000|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):気合溜め（次回攻撃力2倍）|
|6|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons772; %%%[[緋天蒼龍・エルドラド>モンスター図鑑/0772]]%%%	||BGCOLOR(#f1bba6):火水|&color(#b00){''-''};|&color(#b00){1};|664375|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):<火>天龍飛翔（先制攻撃2144）&br;<火>緋天の息吹（1608x3～4の連続攻撃）&br;<水>冷炎（残りHP50％ダメージ）&br;<水>蒼天の息吹（2144x2～3の連続攻撃）|
|~|&mons773; %%%[[蒼天夜龍・ニライカナイ>モンスター図鑑/0773]]%%%	||BGCOLOR(#a6f1f1):水闇|&color(#b00){''-''};|&color(#b00){1};|1115764|670||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):<水>天龍飛翔（先制攻撃3228）&br;<水>蒼天の息吹（3228x2～3の連続攻撃）==HP100％で使用==&br;滅びの咆哮（次回からロストユートピア、1度きり）&br;ロストユートピア（3カウント後、連続攻撃88760）|
|~|&mons774; %%%[[樹天緋龍・ホウライ>モンスター図鑑/0774]]%%%	||BGCOLOR(#bbf1a6):木火|&color(#b00){''-''};|&color(#b00){3};|1046319|670||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):<木>天龍飛翔（先制攻撃5144）&br;<木>樹天の息吹（連続攻撃15434）&br;<火>逆鱗（999ターン攻撃力2倍）&br;<火>緋天の息吹（2倍時、7716x3～4の連続攻撃）|
|~|&mons775; %%%[[聖天樹龍・シャングリラ>モンスター図鑑/0775]]%%%	||BGCOLOR(#f1f1a6):光木|&color(#b00){''-''};|&color(#b00){2};|490764|670||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):<光>天龍飛翔（先制攻撃3144）&br;<光>聖天の息吹（1572x5～6の連続攻撃）&br;<木>茨の呪縛（フレンドを3ターンバインド）&br;<木>樹天の息吹（連続攻撃9434）|
|~|&mons776; %%%[[夜天聖龍・エリュシオン>モンスター図鑑/0776]]%%%	||BGCOLOR(#bba6f1):闇光|&color(#b00){''-''};|&color(#b00){1};|594931|670||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):<闇>天龍飛翔（先制攻撃2061）&br;<闇>夜天の息吹（1288x4～5の連続攻撃）&br;<光>白光（3607ダメージ＆ランダム1色排除）&br;<光>聖天の息吹（1031x5～6の連続攻撃）|
|7|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか4体が出現|
|~|&mons171; %%%[[神化の紅面>モンスター図鑑/0171]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''9999''};|&color(#b00){6};|18|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウォーターバインド|
|~|&mons172; %%%[[神化の蒼面>モンスター図鑑/0172]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''9999''};|&color(#b00){6};|18|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):リーフバインド|
|~|&mons173; %%%[[神化の碧面>モンスター図鑑/0173]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''9999''};|&color(#b00){6};|18|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ファイアバインド|
|~|&mons174; %%%[[神化の金面>モンスター図鑑/0174]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''9999''};|&color(#b00){6};|18|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダークバインド|
|~|&mons175; %%%[[神化の黒面>モンスター図鑑/0175]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''9999''};|&color(#b00){6};|18|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラッシュバインド|
|8|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons897; %%%[[フレイムチェイサー>モンスター図鑑/0897]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|647400|4800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):レッドヒート（4368ダメージ＆ランダム1色→火ドロップ）&br;フレイムブレード（5460）&br;チェイスモード（5ターン攻撃力2倍）==HP50％以下で使用==&br;オーバーヒート（8736＆ランダム1色→火ドロップ）==HP25％以下で使用==|
|~|&mons899; %%%[[アクアチェイサー>モンスター図鑑/0899]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|654900|4800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ハイドロレーザー（4176ダメージ＆ランダム1色→水ドロップ）&br;アクアランス（5220）&br;チェイスモード（5ターン攻撃力2倍）==HP50％以下で使用==&br;ハイドロバースト（8352ダメージ＆ランダム1色→水ドロップ）==HP25％以下で使用==|
|9|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons283; %%%[[砲炎機龍・ベテルギウス>モンスター図鑑/0283]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''15570''};|&color(#b00){2};|1133400|1120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP60％以下で使用==&br;メギドキャノン（連続攻撃43596）==HP30％以下で使用==|
|~|&mons284; %%%[[氷砕機龍・アルデバラン>モンスター図鑑/0284]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''15120''};|&color(#b00){2};|1095900|1120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP60％以下で使用==&br;アイスクラッシャー（10584x2～5の連続攻撃）==HP30％以下で使用==|
|~|&mons285; %%%[[旋風機龍・カノープス>モンスター図鑑/0285]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''10620''};|&color(#b00){1};|1058400|1120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP60％以下で使用==&br;サイクロンブラスト（連続攻撃26550）==HP30％以下で使用==|
|~|&mons286; %%%[[皇爪機龍・レグルス>モンスター図鑑/0286]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''7020''};|&color(#b00){1};|1035900|1120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（9828）&br;オートリペア（HP中回復）==HP60％以下で使用==&br;皇爪連牙（連続攻撃19656）==HP30％以下で使用==|
|~|&mons287; %%%[[殲滅機龍・ハダル>モンスター図鑑/0287]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''16020''};|&color(#b00){2};|1208400|1120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP60％以下で使用==&br;ジェノサイドミサイル（連続攻撃43254）==HP30％以下で使用==|
|10|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons192; %%%[[パイロデーモン>モンスター図鑑/0192]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''5460''};|&color(#b00){1};|46650|2200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウォーターバインド|
|~|&mons194; %%%[[フロストデーモン>モンスター図鑑/0194]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''5490''};|&color(#b00){1};|48150|2200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):リーフバインド|
|~|&mons196; %%%[[タウロスデーモン>モンスター図鑑/0196]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''5670''};|&color(#b00){1};|49650|2200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ファイアバインド|
|~|&mons198; %%%[[ハーピィデーモン>モンスター図鑑/0198]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''5550''};|&color(#b00){1};|51150|2200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダークバインド|
|~|&mons200; %%%[[ブラッドデーモン>モンスター図鑑/0200]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''5580''};|&color(#b00){1};|52650|2200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラッシュバインド|
|11|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons523; %%%[[アカムギドラ>モンスター図鑑/0523]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''7890''};|&color(#b00){2};|87750|100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):バインドアタック|
|~|&mons524; %%%[[アオムギドラ>モンスター図鑑/0524]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''7650''};|&color(#b00){2};|89250|100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):バインドアタック|
|~|&mons525; %%%[[ミドムギドラ>モンスター図鑑/0525]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''7440''};|&color(#b00){2};|90750|100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):太陽の恵み・火（火ドロップ→光ドロップ）|
|~|&mons577; %%%[[キンムギドラ>モンスター図鑑/0577]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''7440''};|&color(#b00){2};|90750|100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):太陽の恵み・闇（闇ドロップ→光ドロップ）|
|~|&mons578; %%%[[クロムギドラ>モンスター図鑑/0578]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''7440''};|&color(#b00){2};|90750|100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):バインドアタック|
|12|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons441; %%%[[火の歴龍・アードベッグ>モンスター図鑑/0441]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''7467''};|&color(#b00){1};|4071362|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):豊穣の守り（999ターン状態異常無効）&br;太陽の恵み・水（水ドロップ→光ドロップ）==HP75％以下で使用==&br;ブレイズボール（11201）==HP50％以下で使用==|
|~|&mons442; %%%[[水の歴龍・ボウモア>モンスター図鑑/0442]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){6};|37210|403333||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):メイルシュトローム（連続攻撃325130）|
|~|&mons443; %%%[[木の歴龍・ラガヴーリン>モンスター図鑑/0443]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''16260''};|&color(#b00){2};|3759900|6600||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):豊穣の守り（999ターン状態異常無効）&br;バーレイストーム（連続攻撃19512）==HP50％以下で使用==&br;火消しのツタ（火属性5ターンバインド）==HP10％以下で使用==|
|~|&mons444; %%%[[光の歴龍・ラフロイグ>モンスター図鑑/0444]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''3420''};|&color(#b00){1};|4909800|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):サンパワー（999ターン攻撃力5倍）==HP75％以下で使用==&br;プラズマボール（5倍時、連続攻撃23085）&br;浄化の光（闇属性3ターンバインド）==HP10％以下で使用==|
|~|&mons445; %%%[[闇の歴龍・カリラ>モンスター図鑑/0445]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''10860''};|&color(#b00){1};|4909800|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):豊穣の守り（999ターン状態異常無効）&br;カースボール（連続攻撃17376）==HP50％以下で使用==&br;混沌の闇（光属性3ターンバインド）==HP25％以下で使用==|
|13|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons206; %%%[[マーズライトカーバンクル>モンスター図鑑/0206]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''14040''};|&color(#b00){2};|451800|1200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):キュアー|
|~|&mons207; %%%[[マーキュライトカーバンクル>モンスター図鑑/0207]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''14490''};|&color(#b00){2};|481800|1200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):キュアー|
|~|&mons208; %%%[[アースライトカーバンクル>モンスター図鑑/0208]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''14940''};|&color(#b00){2};|511800|1200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):キュアー|
|~|&mons209; %%%[[サンライトカーバンクル>モンスター図鑑/0209]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''15390''};|&color(#b00){2};|541800|1200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):キュアー|
|~|&mons210; %%%[[ムーンライトカーバンクル>モンスター図鑑/0210]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''16290''};|&color(#b00){2};|601800|1200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):キュアー|
|14|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons263; %%%[[マグマキマイラ>モンスター図鑑/0263]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''14580''};|&color(#b00){2};|842100|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダブルバインド&br;連続攻撃（20412）|
|~|&mons265; %%%[[ディープキマイラ>モンスター図鑑/0265]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''14370''};|&color(#b00){2};|834600|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダブルバインド&br;連続攻撃（20118）|
|~|&mons267; %%%[[フラワーキマイラ>モンスター図鑑/0267]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''14130''};|&color(#b00){2};|827100|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダブルバインド&br;連続攻撃（19782）|
|~|&mons269; %%%[[サンダーキマイラ>モンスター図鑑/0269]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''14820''};|&color(#b00){2};|849600|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダブルバインド&br;連続攻撃（20748）|
|~|&mons271; %%%[[フォッグキマイラ>モンスター図鑑/0271]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''15030''};|&color(#b00){2};|857100|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダブルバインド&br;連続攻撃（21042）|
|15|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons408; %%%[[究極炎龍・ムスプルヘイム>モンスター図鑑/0408]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''23069''};|&color(#b00){3};|836250|630||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ゴッドマグマブレス（連続攻撃34604）==HP50％以下で使用==&br;炎の逆鱗（99ターン攻撃力2倍）==HP25％以下で使用==|
|~|&mons409; %%%[[究極氷龍・ニブルヘイム>モンスター図鑑/0409]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){5};|891806|210||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):大きく口をひらいた（何もしない、初回1度きり）&br;ゴッドブリザードブレス（連続攻撃529580）|
|~|&mons410; %%%[[究極島龍・ユグドラシル>モンスター図鑑/0410]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''29000''};|&color(#b00){4};|8472|350000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ゴッドガイアブレス（連続攻撃43500）==HP50％以下で使用==&br;プラントネット（4体を9ターンバインド）==HP10％以下で使用==|
|~|&mons411; %%%[[究極機龍・ヴァルハラ>モンスター図鑑/0411]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''11292''};|&color(#b00){1};|6#7361|630||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):バリアフィールド（999ターン状態異常無効）&br;ゴッドホーリーブレス（連続攻撃16940）==HP50％以下で使用==|
|~|&mons412; %%%[[究極邪龍・ヘルヘイム>モンスター図鑑/0412]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''18583''};|&color(#b00){2};|836250|420||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):暗黒の息吹（ドロップが見えなくなる）&br; ゴッドヘルブレス（連続攻撃41811）==HP75％以下で使用==|
|16|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか4体が出現|
|~|&mons545; %%%[[火の下忍>モンスター図鑑/0545]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''6390''};|&color(#b00){1};|12000|3000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):影縫いの術（1体を5ターンバインド）==HP25％以下で使用==|
|~|&mons547; %%%[[水の下忍>モンスター図鑑/0547]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''6300''};|&color(#b00){1};|12300|3000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):影縫いの術（1体を5ターンバインド）==HP25％以下で使用==|
|~|&mons549; %%%[[木の下忍>モンスター図鑑/0549]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''6360''};|&color(#b00){1};|12150|3000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):影縫いの術（1体を5ターンバインド）==HP25％以下で使用==|
|~|&mons551; %%%[[光の下忍>モンスター図鑑/0551]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''6540''};|&color(#b00){1};|12600|3000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===電光石火（3270）|
|~|&mons553; %%%[[闇の下忍>モンスター図鑑/0553]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''6480''};|&color(#b00){1};|12750|3000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):煙幕（ドロップが見えなくなる）|
|~|&mons546; %%%[[火の中忍>モンスター図鑑/0546]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''4050''};|&color(#b00){1};|15|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):剛力の丸薬（5ターン攻撃力3倍）==HP25％以下で使用==|
|~|&mons548; %%%[[水の中忍>モンスター図鑑/0548]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''4050''};|&color(#b00){1};|15|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):剛力の丸薬（5ターン攻撃力3倍）==HP25％以下で使用==|
|~|&mons550; %%%[[木の中忍>モンスター図鑑/0550]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''4050''};|&color(#b00){1};|15|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):剛力の丸薬（5ターン攻撃力3倍）==HP25％以下で使用==|
|~|&mons552; %%%[[光の中忍>モンスター図鑑/0552]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''4050''};|&color(#b00){1};|15|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):暁光の術（2835ダメージ＆ランダム1色→光ドロップ）|
|~|&mons554; %%%[[闇の中忍>モンスター図鑑/0554]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){6};|18|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):鮮血の鉤爪（連続攻撃82620）|
|17|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons558; %%%[[蒼扇の夜叉・初芽局>モンスター図鑑/0558]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){2};|505950|1150||
