* リーダースキル [#e57a0767]

- リーダーと助っ人のモンスターのみ効果を発動する。
|&font2(80%){ひょうかいりゅうのちから};氷塊龍の力		|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力と回復力が2倍。|氷塊龍・デプスプレシオス|&aname(ls0481,full,super){ls0481};|
|&font2(80%){しょうぎょうしんのしゅくふく};商業神の祝福		|>|BGCOLOR(#a6f1f1):水|水属性のHPと攻撃力が2倍。|商業神・ヘルメス&br;還魂の商業神・ヘルメス|&aname(ls0570,full,super){ls0570};|
|&font2(80%){しょうぎょうしんのひほう};商業神の秘法		|BGCOLOR(#a6f1f1):水|BGCOLOR(#f1f1a6):光|水と光属性のHPと攻撃力が2倍。|夢来の商業神・ヘルメス|&aname(ls0890,full,super){ls0890};|
|&font2(80%){きのちから};木の力			|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が1.5倍。|ブラッキィ&br;ブラッキオ&br;ブラキオス&br;ドラゴネット&br;風狸&br;豹紋の妖異・風狸&br;CoC・ゴブリン&br;CoC・フォレストゴブリン|&aname(ls0009,full,super){ls0009};|
|&font2(80%){だいちのちから};大地の力			|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が2倍。|大花龍ブラキオス&br;ファフニール&br;樹天龍・ホウライ&br;樹天緋龍・ホウライ&br;旋風機龍・カノープス&br;アルテミス&br;翠天龍・エリュシオン|&aname(ls0012,full,super){ls0012};|
|&font2(80%){れいざんしんのきとう};麗山神の祈祷		|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力が3倍。|翠金の仙女神・パールヴァティー|&aname(ls1117,full,super){ls1117};|
|&font2(80%){わるいことはゆるしません！};悪い事はゆるしません！	|>|BGCOLOR(#bbf1a6):木|木属性のHPが1.25倍、攻撃力は3倍。|風紀委員長・アテナ&br;学級委員長・アテナ|&aname(ls2015,full,super){ls2015};|
|&font2(80%){もうかりゅうのゆうこん};猛花龍の勇魂		|>|BGCOLOR(#bbf1a6):木|ドラゴンタイプの回復力が1.5倍。&br;木属性の攻撃力が3倍。|猛花龍・ハウルブラキオス|&aname(ls1921,full,super){ls1921};|
|&font2(80%){だいかりゅうのちから};大花龍の力		|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力と回復力が2倍。|大花龍・ガイアブラキオス|&aname(ls0482,full,super){ls0482};|
|&font2(80%){しゅりょうしんのしゅくふく};狩猟神の祝福		|>|BGCOLOR(#bbf1a6):木|木属性のHPと攻撃力が2倍。|狩猟神・アルテミス&br;月華の狩猟神・アルテミス|&aname(ls0572,full,super){ls0572};|
|&font2(80%){しゅりょうしんのひほう};狩猟神の秘法		|BGCOLOR(#bbf1a6):木|BGCOLOR(#f1f1a6):光|木と光属性のHPと攻撃力が2倍。|聖弓の狩猟神・アルテミス|&aname(ls0891,full,super){ls0891};|
|&font2(80%){ひかりのちから};光の力			|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力が1.5倍。|プテーラ&br;プテラス&br;プテラドス&br;白龍&br;ズラトロク&br;煌角の番獣・ズラトロク&br;CoC・バーバリアン&br;CoC・レイジバーバリアン|&aname(ls0013,full,super){ls0013};|
|&font2(80%){せんこうのちから};閃光の力			|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力が2倍。|太陽龍プテラドス&br;神龍&br;聖天龍・シャングリラ&br;聖天樹龍・シャングリラ&br;皇爪機龍・レグルス|&aname(ls0016,full,super){ls0016};|
|&font2(80%){げっこうのしんげき};月光の神撃		|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力が3倍。|夜刻武神・ツクヨミ|&aname(ls0989,full,super){ls0989};|
|げっこうのしんげき		|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力が3倍。|夜刻武神・ミニつくよみ|&aname(ls1791,full,super){ls1791};|
|&font2(80%){たいようりゅうのちから};太陽龍の力		|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力と回復力が2倍。|太陽龍・ソルプテラドス|&aname(ls0483,full,super){ls0483};|
|&font2(80%){やみのちから};闇の力			|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が1.5倍。|スピノン&br;スピナス&br;デスピナス&br;バジリスク&br;キャスパリーグ&br;魔爪の怪猫・キャスパリーグ|&aname(ls0017,full,super){ls0017};|
|&font2(80%){あんこくのちから};暗黒の力			|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が2倍。|月光龍デスピナス&br;ティアマット&br;ヴァンパイアロード&br;夜天龍・エリュシオン&br;夜天聖龍・エリュシオン&br;殲滅機龍・ハダル|&aname(ls0020,full,super){ls0020};|
|&font2(80%){しっこくのちから};漆黒の力			|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が2.5倍。|ヘラ・イース&br;覚醒ヘラ・イース|&aname(ls0596,full,super){ls0596};|
|&font2(80%){やみけんぞくのはき};闇眷属の覇気		|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力が3倍。|魔焉皇帝・ヴァンパイアデューク|&aname(ls0895,full,super){ls0895};|
|&font2(80%){きょくやのびしょう};極夜の微笑		|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力と回復力が2倍。|闇黒魔王・ヴァンパイアデューク|&aname(ls0894,full,super){ls0894};|
|&font2(80%){げっこうりゅうのちから};月光龍の力		|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力と回復力が2倍。|月光龍・ルナデスピナス|&aname(ls0484,full,super){ls0484};|
|&font2(80%){そうえんのほし};蒼炎の星			|BGCOLOR(#f1bba6):火|BGCOLOR(#a6f1f1):水|火と水属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|蒼炎星・イフリート|&aname(ls0322,full,super){ls0322};|
|&font2(80%){へきえんのほし};碧炎の星			|BGCOLOR(#f1bba6):火|BGCOLOR(#bbf1a6):木|火と木属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|碧炎星・イフリート|&aname(ls0323,full,super){ls0323};|
|&font2(80%){きえんのほし};輝炎の星			|BGCOLOR(#f1bba6):火|BGCOLOR(#f1f1a6):光|火と光属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|輝炎星・イフリート|&aname(ls0324,full,super){ls0324};|
|&font2(80%){こくえんのほし};黒炎の星			|BGCOLOR(#f1bba6):火|BGCOLOR(#bba6f1):闇|火と闇属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|黒炎星・イフリート|&aname(ls0325,full,super){ls0325};|
|&font2(80%){こうひょうのほし};紅氷の星			|BGCOLOR(#a6f1f1):水|BGCOLOR(#f1bba6):火|水と火属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|紅氷星・リヴァイアサン|&aname(ls0326,full,super){ls0326};|
|&font2(80%){へきひょうのほし};碧氷の星			|BGCOLOR(#a6f1f1):水|BGCOLOR(#bbf1a6):木|水と木属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|碧氷星・リヴァイアサン|&aname(ls0327,full,super){ls0327};|
|&font2(80%){きひょうのほし};輝氷の星			|BGCOLOR(#a6f1f1):水|BGCOLOR(#f1f1a6):光|水と光属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|輝氷星・リヴァイアサン|&aname(ls0328,full,super){ls0328};|
|&font2(80%){こくひょうのほし};黒氷の星			|BGCOLOR(#a6f1f1):水|BGCOLOR(#bba6f1):闇|水と闇属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|黒氷星・リヴァイアサン|&aname(ls0329,full,super){ls0329};|
|&font2(80%){こうじゅのほし};紅樹の星			|BGCOLOR(#bbf1a6):木|BGCOLOR(#f1bba6):火|木と火属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|紅樹星・ファフニール|&aname(ls0330,full,super){ls0330};|
|&font2(80%){そうじゅのほし};蒼樹の星			|BGCOLOR(#bbf1a6):木|BGCOLOR(#a6f1f1):水|木と水属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|蒼樹星・ファフニール|&aname(ls0331,full,super){ls0331};|
|&font2(80%){きじゅのほし};輝樹の星			|BGCOLOR(#bbf1a6):木|BGCOLOR(#f1f1a6):光|木と光属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|輝樹星・ファフニール|&aname(ls0332,full,super){ls0332};|
|&font2(80%){こくじゅのほし};黒樹の星			|BGCOLOR(#bbf1a6):木|BGCOLOR(#bba6f1):闇|木と闇属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|黒樹星・ファフニール|&aname(ls0333,full,super){ls0333};|
|&font2(80%){こうこうのほし};紅光の星			|BGCOLOR(#f1f1a6):光|BGCOLOR(#f1bba6):火|光と火属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|紅光星・神龍|&aname(ls0334,full,super){ls0334};|
|&font2(80%){そうこうのほし};蒼光の星			|BGCOLOR(#f1f1a6):光|BGCOLOR(#a6f1f1):水|光と水属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|蒼光星・神龍|&aname(ls0335,full,super){ls0335};|
|&font2(80%){へきこうのほし};碧光の星			|BGCOLOR(#f1f1a6):光|BGCOLOR(#bbf1a6):木|光と木属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|碧光星・神龍|&aname(ls0336,full,super){ls0336};|
|&font2(80%){こくこうのほし};黒光の星			|BGCOLOR(#f1f1a6):光|BGCOLOR(#bba6f1):闇|光と闇属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|黒光星・神龍|&aname(ls0337,full,super){ls0337};|
|&font2(80%){こうあんのほし};紅闇の星			|BGCOLOR(#bba6f1):闇|BGCOLOR(#f1bba6):火|闇と火属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|紅闇星・ティアマット|&aname(ls0338,full,super){ls0338};|
|&font2(80%){そうあんのほし};蒼闇の星			|BGCOLOR(#bba6f1):闇|BGCOLOR(#a6f1f1):水|闇と水属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|蒼闇星・ティアマット|&aname(ls0339,full,super){ls0339};|
|&font2(80%){へきあんのほし};碧闇の星			|BGCOLOR(#bba6f1):闇|BGCOLOR(#bbf1a6):木|闇と木属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|碧闇星・ティアマット|&aname(ls0340,full,super){ls0340};|
|&font2(80%){きあんのほし};輝闇の星			|BGCOLOR(#bba6f1):闇|BGCOLOR(#f1f1a6):光|闇と光属性のHPが1.5倍((ver7.2で追加))、攻撃力は2倍。|輝闇星・ティアマット|&aname(ls0341,full,super){ls0341};|
|&font2(80%){ひのたましい};火の魂			|>|BGCOLOR(#f1bba6):火|火属性の攻撃力と回復力が1.5倍。|フレイ&br;シヴァ&br;迷宮の獣人・ミノタウロス&br;ECO・サラマンダー&br;ECO・サラマンダー・アルマ|&aname(ls0236,full,super){ls0236};|
|&font2(80%){ほのおのたましい};焔の魂			|>|BGCOLOR(#f1bba6):火|火属性の攻撃力と回復力が2倍。|勝利の神・フレイ|&aname(ls0369,full,super){ls0369};|
|&font2(80%){ばくえんのたましい};爆炎の魂			|>|BGCOLOR(#f1bba6):火|火属性の全パラメータが1.5倍。|破壊神・シヴァ|&aname(ls0237,full,super){ls0237};|
|&font2(80%){みずのたましい};水の魂			|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力と回復力が1.5倍。|イズン＆イズーナ&br;ラクシュミー&br;魔眼の怪鳥・コカトリス&br;ECO・ペペン&br;ECO・ペペン・アルマ|&aname(ls0238,full,super){ls0238};|
|&font2(80%){こおりのたましい};氷の魂			|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力と回復力が2倍。|双星の女神・イズン＆イズーナ|&aname(ls0371,full,super){ls0371};|
|&font2(80%){げきりゅうのたましい};激流の魂			|>|BGCOLOR(#a6f1f1):水|水属性の全パラメータが1.5倍。|幸運の女神・ラクシュミー|&aname(ls0239,full,super){ls0239};|
|&font2(80%){きのたましい};木の魂			|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力と回復力が1.5倍。|フレイヤ&br;パールヴァティー&br;疾駆の人馬・ケンタウロス&br;ECO・シャボタン&br;ECO・シャボタン・アルマ|&aname(ls0240,full,super){ls0240};|
|&font2(80%){たいじゅのたましい};大樹の魂			|>|BGCOLOR(#bbf1a6):木|木属性の攻撃力と回復力が2倍。|大地の女神・フレイヤ|&aname(ls0373,full,super){ls0373};|
|&font2(80%){だいちのたましい};大地の魂			|>|BGCOLOR(#bbf1a6):木|木属性の全パラメータが1.5倍。|金色の女神・パールヴァティー|&aname(ls0241,full,super){ls0241};|
|&font2(80%){ひかりのたましい};光の魂			|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力と回復力が1.5倍。|トール&br;アポロン&br;雷光の巨漢・サイクロプス|&aname(ls0374,full,super){ls0374};|
|&font2(80%){かみなりのたましい};雷の魂			|>|BGCOLOR(#f1f1a6):光|光属性の攻撃力と回復力が2倍。|雷の戦神・トール|&aname(ls0375,full,super){ls0375};|
|&font2(80%){せんこうのたましい};閃光の魂			|>|BGCOLOR(#f1f1a6):光|光属性の全パラメータが1.5倍。|光明神・アポロン&br;渾天の光明神・アポロン|&aname(ls0574,full,super){ls0574};|
|&font2(80%){こうめいしんのたましい};光明神の魂		|BGCOLOR(#f1bba6):火|BGCOLOR(#f1f1a6):光|火と光属性の全パラメータが1.5倍。|天弓の光明神・アポロン|&aname(ls0892,full,super){ls0892};|
|&font2(80%){やみのたましい};闇の魂			|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力と回復力が1.5倍。|ロキ&br;ペルセポネ&br;魅惑の夜魔・ダークレディ|&aname(ls0376,full,super){ls0376};|
|&font2(80%){あくのたましい};悪の魂			|>|BGCOLOR(#bba6f1):闇|闇属性の攻撃力と回復力が2倍。|狡知の神・ロキ|&aname(ls0377,full,super){ls0377};|
|&font2(80%){あんこくのたましい};暗黒の魂			|>|BGCOLOR(#bba6f1):闇|闇属性の全パラメータが1.5倍。|冥府神・ペルセポネ&br;揺籃の冥府神・ペルセポネ|&aname(ls0576,full,super){ls0576};|
|&font2(80%){めいふしんのたましい};冥府神の魂		|BGCOLOR(#f1bba6):火|BGCOLOR(#bba6f1):闇|火と闇属性の全パラメータが1.5倍。|断罪の冥府神・ペルセポネ|&aname(ls0893,full,super){ls0893};|
|&font2(80%){ほのおのちかい};炎の誓い			|>|BGCOLOR(#f1bba6):火|火属性のHPが2倍。|焔の霊魂・ウィルオーウィスプ&br;大天使・ウリエル|&aname(ls0580,full,super){ls0580};|
|&font2(80%){ほのおのいのり};炎の祈り			|>|BGCOLOR(#f1bba6):火|火属性のHPが2.5倍((ver4.3で2倍→2.5倍に修正))。|シャイターン&br;怒りと炎の精霊・シャイターン&br;炎戒の大精霊・シャイターン|&aname(ls0352,full,super){ls0352};|
|&font2(80%){ほのおのしんたく};炎の神託			|>|BGCOLOR(#f1bba6):火|火属性のHPと回復力が2倍。|神炎の熾天使・ウリエル|&aname(ls0621,full,super){ls0621};|
|&font2(80%){こうてんしのてんけい};紅天使の天啓			|>|BGCOLOR(#f1bba6):火|火属性のHPと回復力が2倍、攻撃力は1.35倍。|龍焔の熾天使・ウリエル|&aname(ls1253,full,super){ls1253};|
|&font2(80%){こうてんしのどういん};紅天使の導引			|>|BGCOLOR(#f1bba6):火|火属性のHPと回復力が2倍、攻撃力は1.5倍。|灼龍の熾天使・ウリエル|&aname(ls2498,full,super){ls2498};|
|&font2(80%){みずのちかい};水の誓い			|>|BGCOLOR(#a6f1f1):水|水属性のHPが2倍。|湖の幻馬・ケルピー&br;大天使・ガブリエル|&aname(ls0582,full,super){ls0582};|
|&font2(80%){みずのいのり};水の祈り			|>|BGCOLOR(#a6f1f1):水|水属性のHPが2.5倍((ver4.3で2倍→2.5倍に修正))。|ウンディーネ&br;愛と水の精霊・ウンディーネ&br;慈水の大精霊・ウンディーネ|&aname(ls0354,full,super){ls0354};|
|&font2(80%){みずのしんたく};水の神託			|>|BGCOLOR(#a6f1f1):水|水属性のHPと回復力が2倍。|神託の大天使・ガブリエル|&aname(ls0623,full,super){ls0623};|
|&font2(80%){そうてんしのてんけい};蒼天使の天啓			|>|BGCOLOR(#a6f1f1):水|水属性のHPと回復力が2倍、攻撃力は1.35倍。|神導の大天使・ガブリエル|&aname(ls1254,full,super){ls1254};|
|&font2(80%){かぜのちかい};風の誓い			|>|BGCOLOR(#bbf1a6):木|木属性のHPが2倍。|森の賢人・トレント&br;大天使・ミカエル|&aname(ls0584,full,super){ls0584};|
|&font2(80%){かぜのいのり};風の祈り			|>|BGCOLOR(#bbf1a6):木|木属性のHPが2.5倍((ver4.3で2倍→2.5倍に修正))。|シルフ&br;自由と風の精霊・シルフ&br;風来の大精霊・シルフ|&aname(ls0356,full,super){ls0356};|
|&font2(80%){かぜのしんたく};風の神託			|>|BGCOLOR(#bbf1a6):木|木属性のHPと回復力が2倍。|護法の大天使・ミカエル|&aname(ls0625,full,super){ls0625};|
|&font2(80%){へきてんしのてんけい};碧天使の天啓			|>|BGCOLOR(#bbf1a6):木|木属性のHPと回復力が2倍、攻撃力は1.35倍。|退滅の大天使・ミカエル|&aname(ls1255,full,super){ls1255};|
|&font2(80%){ひかりのちかい};光の誓い			|>|BGCOLOR(#f1f1a6):光|光属性のHPが2倍。|光の妖精・ピクシー&br;大天使・ラファエル|&aname(ls0586,full,super){ls0586};|
|&font2(80%){ひかりのいのり};光の祈り			|>|BGCOLOR(#f1f1a6):光|光属性のHPが2.5倍((ver4.3で2倍→2.5倍に修正))。|ジーニャ&br;富と光の精霊・ジーニャ&br;宝輝の大精霊・ジーニャ|&aname(ls0358,full,super){ls0358};|
|&font2(80%){ひかりのしんたく};光の神託			|>|BGCOLOR(#f1f1a6):光|光属性のHPと回復力が2倍。|神癒の大天使・ラファエル|&aname(ls0627,full,super){ls0627};|
|&font2(80%){きてんしのてんけい};輝天使の天啓			|>|BGCOLOR(#f1f1a6):光|光属性のHPと回復力が2倍、攻撃力は1.35倍。|救聖の大天使・ラファエル|&aname(ls1256,full,super){ls1256};|
|&font2(80%){このわたしについてこないか};この私についてこないか	|>|BGCOLOR(#f1f1a6):光|光属性のHPと回復力が2倍、攻撃力は1.35倍。|生徒会長・ルシファー|&aname(ls2014,full,super){ls2014};|
|&font2(80%){やみのちかい};闇の誓い			|>|BGCOLOR(#bba6f1):闇|闇属性のHPが2倍。|月夜の魔人・ワーウルフ&br;大天使・ルシファー|&aname(ls0588,full,super){ls0588};|
|&font2(80%){やみのいのり};闇の祈り			|>|BGCOLOR(#bba6f1):闇|闇属性のHPが2.5倍((ver4.3で2倍→2.5倍に修正))。|タナトス&br;死と闇の精霊・タナトス&br;死兆の大精霊・タナトス|&aname(ls0360,full,super){ls0360};|
|&font2(80%){やみのしんたく};闇の神託			|>|BGCOLOR(#bba6f1):闇|闇属性のHPと回復力が2倍。|黎明の熾天使・ルシファー|&aname(ls0629,full,super){ls0629};|
|&font2(80%){めいあんのしんげん};冥闇の箴言			|>|BGCOLOR(#bba6f1):闇|闇属性のHPと回復力が2倍、攻撃力は1.35倍。|反逆の熾天使・ルシファー|&aname(ls1216,full,super){ls1216};|
|めいあんのしんげん		|>|BGCOLOR(#bba6f1):闇|闇属性のHPと回復力が2倍、攻撃力は1.35倍。|反逆の熾天使・ミニるしふぁー|&aname(ls1794,full,super){ls1794};|
|&font2(80%){こうかのちから};紅果の力			|>|BGCOLOR(#f1bba6):火|火属性のHPと回復力が1.5倍。|いちドラ|&aname(ls1075,full,super){ls1075};|
|&font2(80%){こうかのめぐみ};紅果の恵み		|>|BGCOLOR(#f1bba6):火|火属性のHPと回復力が2倍。|紅天の果実・いちごドラゴン|&aname(ls1076,full,super){ls1076};|
|&font2(80%){せいやのいのり・ひ};聖夜の祈り・火		|>|BGCOLOR(#f1bba6):火|火属性のHPと回復力が2倍。|ノエルドラゴン・ルージュ|&aname(ls0520,full,super){ls0520};|
|&font2(80%){そうかのちから};蒼果の力			|>|BGCOLOR(#a6f1f1):水|水属性のHPと回復力が1.5倍。|べりドラ|&aname(ls1077,full,super){ls1077};|
|&font2(80%){そうかのめぐみ};蒼果の恵み		|>|BGCOLOR(#a6f1f1):水|水属性のHPと回復力が2倍。|蒼天の果実・ベリードラゴン|&aname(ls1078,full,super){ls1078};|
|&font2(80%){せいやのいのり・みず};聖夜の祈り・水		|>|BGCOLOR(#a6f1f1):水|水属性のHPと回復力が2倍。|ノエルドラゴン・ブルー|&aname(ls0521,full,super){ls0521};|
|&font2(80%){へきかのちから};碧果の力			|>|BGCOLOR(#bbf1a6):木|木属性のHPと回復力が1.5倍。|めろドラ|&aname(ls1079,full,super){ls1079};|
|&font2(80%){へきかのめぐみ};碧果の恵み		|>|BGCOLOR(#bbf1a6):木|木属性のHPと回復力が2倍。|碧天の果実・メロンドラゴン|&aname(ls1080,full,super){ls1080};|
|&font2(80%){せいやのいのり・き};聖夜の祈り・木		|>|BGCOLOR(#bbf1a6):木|木属性のHPと回復力が2倍。|ノエルドラゴン・ヴェール|&aname(ls0522,full,super){ls0522};|
|&font2(80%){おうかのちから};黄果の力			|>|BGCOLOR(#f1f1a6):光|光属性のHPと回復力が1.5倍。|れもドラ|&aname(ls1081,full,super){ls1081};|
|&font2(80%){おうかのめぐみ};黄果の恵み		|>|BGCOLOR(#f1f1a6):光|光属性のHPと回復力が2倍。|黄天の果実・レモンドラゴン|&aname(ls1082,full,super){ls1082};|
|&font2(80%){せいやのいのり・ひかり};聖夜の祈り・光		|>|BGCOLOR(#f1f1a6):光|光属性のHPと回復力が2倍。|ノエルドラゴン・ブラン|&aname(ls1005,full,super){ls1005};|
|&font2(80%){しかのちから};紫果の力			|>|BGCOLOR(#bba6f1):闇|闇属性のHPと回復力が1.5倍。|ぶどドラ|&aname(ls1083,full,super){ls1083};|
|&font2(80%){しかのめぐみ};紫果の恵み		|>|BGCOLOR(#bba6f1):闇|闇属性のHPと回復力が2倍。|紫天の果実・ぶどうドラゴン|&aname(ls1084,full,super){ls1084};|
|&font2(80%){せいやのいのり・やみ};聖夜の祈り・闇		|>|BGCOLOR(#bba6f1):闇|闇属性のHPと回復力が2倍。|ノエルドラゴン・ノワール|&aname(ls1006,full,super){ls1006};|
|ストロベリーキャンディ	|>|BGCOLOR(#f1bba6):火|火属性のHPと回復力が1.3倍。|キティホノりん|&aname(ls1136,full,super){ls1136};|
|&font2(80%){きてぃのりぼん・ひ};キティのリボン・火		|>|BGCOLOR(#f1bba6):火|火属性の全パラメータが1.3倍。|キティホノワルりん|&aname(ls1137,full,super){ls1137};|
|ブルーベリーキャンディ	|>|BGCOLOR(#a6f1f1):水|水属性のHPと回復力が1.3倍。|キテイアワりん|&aname(ls1138,full,super){ls1138};|
|&font2(80%){きてぃのりぼん・みず};キティのリボン・水		|>|BGCOLOR(#a6f1f1):水|水属性の全パラメータが1.3倍。|キティアワホノりん|&aname(ls1139,full,super){ls1139};|
|メロンキャンディ		|>|BGCOLOR(#bbf1a6):木|木属性のHPと回復力が1.3倍。|キティモリりん|&aname(ls1140,full,super){ls1140};|
|&font2(80%){きてぃのりぼん・き};キティのリボン・木		|>|BGCOLOR(#bbf1a6):木|木属性の全パラメータが1.3倍。|キティモリアワりん|&aname(ls1141,full,super){ls1141};|
