*伝説龍の足跡 [#s58610b4]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|奈落の底		|30|10|24480|13600|&color(#080){''453''};|
|弾幕の雨		|30|10|24480|13600|&color(#080){''453''};|
|難攻不落		|30|10|24480|13600|&color(#080){''453''};|
|絶対零度		|30|10|24480|13600|&color(#080){''453''};|
|灼熱地獄		|30|10|24480|13600|&color(#080){''453''};|

- 「[[天上の海原>ダンジョン/天上の海原]]」のクリアで出現
- スペシャルダンジョン「[[伝説の炎龍>スペシャルダンジョン/伝説の炎龍]]」「[[伝説の氷龍>スペシャルダンジョン/伝説の氷龍]]」「[[伝説の島龍>スペシャルダンジョン/伝説の島龍]]」「[[伝説の機龍>スペシャルダンジョン/伝説の機龍]]」「[[伝説の邪龍>スペシャルダンジョン/伝説の邪龍]]」の超級と同じ構成。消費スタミナが異なる。（50→30）
- 2015/06/02 妖精シリーズが追加

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
||[[木の精・リリー>モンスター図鑑/1183]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){1};||0|※稀に出現、確定ドロップ|
|5|[[大花龍ブラキオス>モンスター図鑑/0012]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''11940''};|&color(#b00){5};|302250|450||
|9|[[アルラウネ>モンスター図鑑/0093]]x2		|BGCOLOR(#bbf1a6):木|&color(#b00){''5490''};|&color(#b00){2};|159300|240||
|10|[[島龍・ユグドラシル>モンスター図鑑/0144]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''17160''};|&color(#b00){4};|34650|62000||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):弾幕の雨|
||[[ハーピィデビル>モンスター図鑑/0197]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''3600''};|&color(#b00){1};|19650|1400||
||[[ホワイトナイト>モンスター図鑑/0075]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''5280''};|&color(#b00){2};|26100|270||
||[[光の魔剣士>モンスター図鑑/0104]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''6660''};|&color(#b00){3};|76350|900||
||[[光の精・サンリッチ>モンスター図鑑/1185]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){1};||0|※稀に出現、確定ドロップ|
|5|[[ホーリードラゴン>モンスター図鑑/0032]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''3390''};|&color(#b00){3};|47250|450||
|9|[[エンジェル>モンスター図鑑/0095]]x2		|BGCOLOR(#f1f1a6):光|&color(#b00){''5730''};|&color(#b00){2};|166800|240||
|10|[[機龍・ヴァルハラ>モンスター図鑑/0145]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''5910''};|&color(#b00){1};|379650|930||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):奈落の底|
||[[ブラッドデビル>モンスター図鑑/0199]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''3690''};|&color(#b00){1};|19800|1400||
||[[ブラックナイト>モンスター図鑑/0077]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''5370''};|&color(#b00){2};|26850|270||
||[[闇の魔剣士>モンスター図鑑/0108]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''6720''};|&color(#b00){3};|76350|900||
||[[闇の精・カトレヤ>モンスター図鑑/1187]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){1};||0|※稀に出現、確定ドロップ|
|5|[[デビルドラゴン>モンスター図鑑/0035]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''3600''};|&color(#b00){3};|54750|450||
|9|[[リリス>モンスター図鑑/0097]]x2		|BGCOLOR(#bba6f1):闇|&color(#b00){''5940''};|&color(#b00){2};|174300|240||
|10|[[邪龍・ヘルヘイム>モンスター図鑑/0146]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''11070''};|&color(#b00){2};|454650|620||

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

* コメント [#ve05d2db]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
